domain	pval	odds_ratio	log2_odds	count_in_set	count_in_bg	set	fdr
3-OHacyl-CoA_DH	0.042533577053855694	45.56979554737467	5.510005992693405	1	2	Lost_psI	0.0995809813488375
3-OHacyl-CoA_DH_CS	0.08326206777956274	15.190338731005676	3.925082135898749	1	4	Lost_psI	0.143148937876232
3-OHacyl-CoA_DH_NAD-bd	0.08326206777956274	15.190338731005676	3.925082135898749	1	4	Lost_psI	0.143148937876232
3-oxo-5_a-steroid_4-DH_C	0.10297341967714367	11.401765886082718	3.5111853787332947	1	5	Lost_psI	0.16498011671516424
3HC_DH_C	0.08326206777956274	15.190338731005676	3.925082135898749	1	4	Lost_psI	0.143148937876232
5-3_exonuclease_C_sf	0.004416660189239302	30.442591325330493	4.928019263619941	2	5	Lost_psI	0.07509024955889737
6-blade_b-propeller_TolB-like	0.20434848209598175	2.467201208247307	1.3028753768879469	2	39	Lost_psI	0.2711230532374619
6-Pfructokinase_euk	0.06311860365583044	22.78417108057041	4.509959979176672	1	3	Lost_psI	0.1217991804921103
6-PGluconate_DH-like_C_sf	0.262393263298141	3.506727503733698	1.8101253278573235	1	14	Lost_psI	0.3227110507948921
6hp_glycosidase-like_sf	0.3383979480793238	2.5321106586230506	1.340340454986715	1	19	Lost_psI	0.3927218160168816
6PGD_dom2	0.15960630336473663	6.513625817387964	2.703460844863677	1	8	Lost_psI	0.22189169004365825
A_deamin	0.12226190780921063	9.119186147197487	3.1889050750704473	1	6	Lost_psI	0.18526804434892652
A_deaminase	0.021497331537732554	Inf	Inf	1	1	Lost_psI	0.07509024955889737
A_deaminase_dom	0.06311860365583044	22.78417108057041	4.509959979176672	1	3	Lost_psI	0.1217991804921103
a-kinase_dom	0.12226190780921063	9.119186147197487	3.1889050750704473	1	6	Lost_psI	0.18526804434892652
A/AMP_deam_AS	0.08326206777956274	15.190338731005676	3.925082135898749	1	4	Lost_psI	0.143148937876232
Aa-tRNA-synt_II	0.004416660189239302	30.442591325330493	4.928019263619941	2	5	Lost_psI	0.07509024955889737
aa-tRNA-synth_I_CS	0.04024606842621623	7.02831224140551	2.81317828626957	2	15	Lost_psI	0.0995809813488375
aa-tRNA-synth_II	0.05623168263840915	5.710299625521827	2.5135664473242785	2	18	Lost_psI	0.1217991804921103
aa-tRNA-synth_II/BPL/LPL	0.019685930336872347	5.721304579156285	2.5163441496754064	3	27	Lost_psI	0.07509024955889737
