dataset	event_type	exon_location_class	n_events	frac
UFM1_dependent_dPSI_positive	RI	all_coding_exons	0	0.0
UFM1_dependent_dPSI_positive	RI	all_non_coding_exons	8	0.017391304347826087
UFM1_dependent_dPSI_positive	RI	some_non_coding_exons	452	0.9826086956521739
UFM1_dependent_dPSI_negative	RI	all_coding_exons	0	0.0
UFM1_dependent_dPSI_negative	RI	all_non_coding_exons	4	0.02666666666666667
UFM1_dependent_dPSI_negative	RI	some_non_coding_exons	146	0.9733333333333334
UFM1_independent_dPSI_positive	RI	all_coding_exons	0	0.0
UFM1_independent_dPSI_positive	RI	all_non_coding_exons	3	0.012048192771084338
UFM1_independent_dPSI_positive	RI	some_non_coding_exons	246	0.9879518072289156
UFM1_independent_dPSI_negative	RI	all_coding_exons	0	0.0
UFM1_independent_dPSI_negative	RI	all_non_coding_exons	0	0.0
UFM1_independent_dPSI_negative	RI	some_non_coding_exons	100	1.0
