RI_Position	Group	Reference	Odds_Ratio	P_Value	Significance	Label
Start_Codon	UFM1_dependent_dPSI_negative	Genome	inf	1.0626226096933583e-10	***	UFM1_dependent_dPSI_negative vs Genome
Start_Codon	UFM1_dependent_dPSI_positive	Genome	inf	1.951315042724594e-23	***	UFM1_dependent_dPSI_positive vs Genome
Start_Codon	UFM1_independent_dPSI_negative	Genome	inf	6.63141041848955e-36	***	UFM1_independent_dPSI_negative vs Genome
Start_Codon	UFM1_independent_dPSI_positive	Genome	inf	4.895283186854117e-10	***	UFM1_independent_dPSI_positive vs Genome
Stop_Codon	UFM1_dependent_dPSI_negative	Genome	inf	2.60227295433812e-98	***	UFM1_dependent_dPSI_negative vs Genome
Stop_Codon	UFM1_dependent_dPSI_positive	Genome	inf	3.46905905109825e-184	***	UFM1_dependent_dPSI_positive vs Genome
Stop_Codon	UFM1_independent_dPSI_negative	Genome	inf	4.0642556692167826e-104	***	UFM1_independent_dPSI_negative vs Genome
Stop_Codon	UFM1_independent_dPSI_positive	Genome	inf	4.8102904183493234e-104	***	UFM1_independent_dPSI_positive vs Genome
CDS	UFM1_dependent_dPSI_negative	Genome	0.11393353951742445	6.793802350689716e-36	***	UFM1_dependent_dPSI_negative vs Genome
CDS	UFM1_dependent_dPSI_positive	Genome	0.07814885386036209	2.6555231673127506e-134	***	UFM1_dependent_dPSI_positive vs Genome
CDS	UFM1_independent_dPSI_negative	Genome	0.0740408436079621	2.7566514692226813e-31	***	UFM1_independent_dPSI_negative vs Genome
CDS	UFM1_independent_dPSI_positive	Genome	0.05732194343842227	7.824776542736992e-85	***	UFM1_independent_dPSI_positive vs Genome
5UTR	UFM1_dependent_dPSI_negative	Genome	0.6934535267775729	0.2230798522298857		UFM1_dependent_dPSI_negative vs Genome
5UTR	UFM1_dependent_dPSI_positive	Genome	0.7666127539194476	0.09456861267301442		UFM1_dependent_dPSI_positive vs Genome
5UTR	UFM1_independent_dPSI_negative	Genome	0.2806835703623509	0.004293665828877269	**	UFM1_independent_dPSI_negative vs Genome
5UTR	UFM1_independent_dPSI_positive	Genome	0.6204584186957232	0.036947427551648246	*	UFM1_independent_dPSI_positive vs Genome
3UTR	UFM1_dependent_dPSI_negative	Genome	12.7197265625	3.4233824092164712e-37	***	UFM1_dependent_dPSI_negative vs Genome
3UTR	UFM1_dependent_dPSI_positive	Genome	17.86082576667609	5.883967716083326e-155	***	UFM1_dependent_dPSI_positive vs Genome
3UTR	UFM1_independent_dPSI_negative	Genome	8.24094960387324	1.6440858223033167e-15	***	UFM1_independent_dPSI_negative vs Genome
3UTR	UFM1_independent_dPSI_positive	Genome	21.68932684536638	1.8479362120765128e-100	***	UFM1_independent_dPSI_positive vs Genome
Intronic	UFM1_dependent_dPSI_negative	Genome	0.0	1.2367366336701207e-07	***	UFM1_dependent_dPSI_negative vs Genome
Intronic	UFM1_dependent_dPSI_positive	Genome	0.0	2.6379868317013867e-22	***	UFM1_dependent_dPSI_positive vs Genome
Intronic	UFM1_independent_dPSI_negative	Genome	0.0	4.115884551361251e-05	***	UFM1_independent_dPSI_negative vs Genome
Intronic	UFM1_independent_dPSI_positive	Genome	0.0	3.21862049038098e-12	***	UFM1_independent_dPSI_positive vs Genome
NonCoding	UFM1_dependent_dPSI_negative	Genome	inf	8.797515656814459e-41	***	UFM1_dependent_dPSI_negative vs Genome
NonCoding	UFM1_dependent_dPSI_positive	Genome	inf	6.296933816438235e-138	***	UFM1_dependent_dPSI_positive vs Genome
NonCoding	UFM1_independent_dPSI_negative	Genome	inf	5.3698555327640695e-43	***	UFM1_independent_dPSI_negative vs Genome
NonCoding	UFM1_independent_dPSI_positive	Genome	inf	1.0066634884201621e-97	***	UFM1_independent_dPSI_positive vs Genome
