Length	GC	MaxEnt5	MaxEnt3	Group
282	0.5602836879432624	10.03	5.55	Constitutive
464	0.41379310344827586	7.76	8.15	Constitutive
4167	0.37868970482361414	9.79	9.47	Constitutive
826	0.42009685230024213	8.49	9.12	Constitutive
319	0.5172413793103449	9.89	8.97	Constitutive
16582	0.4308889156917139	6.92	6.49	Constitutive
1437	0.3743910925539318	8.88	6.31	Constitutive
1477	0.2985781990521327	9.14	8.88	Constitutive
56107	0.4606198870016219	7.16	8.2	Constitutive
2311	0.447858070099524	11.37	9.38	Constitutive
58697	0.5081179617356935	9.77	6.56	Constitutive
112	0.36607142857142855	10.47	5.77	Constitutive
6228	0.4365767501605652	9.45	12.34	Constitutive
4161	0.4520547945205479	10.22	13.17	Constitutive
772	0.38341968911917096	6.34	4.56	Constitutive
4114	0.384297520661157	9.27	8.57	Constitutive
28464	0.3621767847105115	8.59	11.1	Constitutive
2391	0.3316603931409452	9.01	11.5	Constitutive
6196	0.5127501613944481	11.37	4.17	Constitutive
4310	0.37331786542923434	5.07	4.23	Constitutive
5809	0.38440351179204685	9.04	6.42	Constitutive
4207	0.4250059424768243	9.99	8.52	Constitutive
86	0.6511627906976745	10.67	-2.94	Constitutive
17168	0.3708061509785648	9.88	9.38	Constitutive
8932	0.3696820420958352	2.98	10.32	Constitutive
536	0.47947761194029853	8.84	6.59	Constitutive
109	0.6055045871559633	7.53	7.71	Constitutive
2199	0.3797180536607549	6.63	7.01	Constitutive
1378	0.4702467343976778	9.25	8.8	Constitutive
408	0.5784313725490197	6.22	2.65	Constitutive
15822	0.44507647579319937	1.18	8.27	Constitutive
9276	0.39672272531263475	10.44	7.19	Constitutive
2234	0.39122649955237243	8.88	11.55	Constitutive
2383	0.3780948384389425	8.78	9.83	Constitutive
3147	0.4534477279949158	10.28	8.89	Constitutive
1879	0.34220329962746143	10.47	8.37	Constitutive
311	0.6270096463022508	9.48	9.61	Constitutive
1387	0.40951694304253783	8.56	2.85	Constitutive
169	0.35502958579881655	8.17	10.05	Constitutive
104	0.6153846153846154	8.16	10.79	Constitutive
81	0.5925925925925926	5.91	8.14	Constitutive
17499	0.49294245385450597	7.66	8.75	Constitutive
5062	0.5647965231133939	10.51	6.45	Constitutive
1131	0.3925729442970822	6.49	7.62	Constitutive
1189	0.37510513036164844	7.31	8.45	Constitutive
2464	0.5068993506493507	7.07	9.04	Constitutive
670	0.5746268656716418	7.61	7.94	Constitutive
869	0.5845799769850403	9.6	10.36	Constitutive
350	0.6142857142857143	8.56	11.12	Constitutive
1763	0.48099829835507657	11.0	6.51	Constitutive
2461	0.4124339699309224	9.79	9.63	Constitutive
4183	0.3779584030600048	5.46	5.61	Constitutive
416	0.6850961538461539	7.61	4.93	Constitutive
1510	0.3443708609271523	8.92	7.99	Constitutive
172	0.6104651162790697	10.07	9.97	Constitutive
1888	0.4078389830508475	9.72	4.34	Constitutive
2640	0.4954545454545455	8.95	12.7	Constitutive
117318	0.3728242895378373	8.94	6.09	Constitutive
16928	0.3567462192816635	7.96	6.41	Constitutive
1800	0.37444444444444447	8.59	7.02	Constitutive
3514	0.3969834945930563	10.36	12.48	Constitutive
3042	0.40433925049309666	8.76	10.64	Constitutive
480	0.66875	10.03	2.73	Constitutive
6578	0.3777743995135299	8.83	6.7	Constitutive
2880	0.5138888888888888	9.44	9.65	Constitutive
2460	0.47520325203252034	10.1	8.57	Constitutive
57915	0.39319692653025984	8.82	7.27	Constitutive
1349	0.3921423276501112	6.87	8.91	Constitutive
14016	0.3921232876712329	10.28	10.77	Constitutive
1470	0.49863945578231295	6.39	7.84	Constitutive
2986	0.5261219022103149	9.6	7.02	Constitutive
3072	0.494140625	9.22	12.39	Constitutive
3572	0.4185330347144457	11.37	7.89	Constitutive
97	0.6494845360824743	10.13	8.95	Constitutive
301	0.6013289036544851	6.74	6.72	Constitutive
2493	0.36341756919374246	8.98	9.81	Constitutive
257	0.7237354085603113	6.71	9.28	Constitutive
79	0.189873417721519	9.46	7.35	Constitutive
578	0.34429065743944637	-4.66	2.51	Constitutive
5619	0.45666488699056773	7.16	10.29	Constitutive
1558	0.36649550706033374	10.65	7.7	Constitutive
124	0.6612903225806451	7.21	9.17	Constitutive
1373	0.3219227967953387	7.54	5.02	Constitutive
133	0.556390977443609	8.91	6.25	Constitutive
1138	0.3998242530755712	11.08	5.77	Constitutive
343	0.3236151603498542	7.35	6.94	Constitutive
2187	0.35665294924554186	8.68	9.52	Constitutive
32834	0.3651093378814643	9.63	6.44	Constitutive
29219	0.41411410383654473	10.91	9.01	Constitutive
2884	0.3457004160887656	8.3	10.2	Constitutive
1046	0.4961759082217973	7.61	10.37	Constitutive
1364	0.374633431085044	10.67	5.35	Constitutive
389	0.596401028277635	8.73	10.36	Constitutive
736	0.36820652173913043	9.12	5.26	Constitutive
113	0.6194690265486725	9.16	7.5	Constitutive
1332	0.4219219219219219	9.13	10.28	Constitutive
23955	0.43097474431225213	9.88	5.71	Constitutive
2131	0.337400281557954	7.44	7.13	Constitutive
315	0.6730158730158731	10.24	10.38	Constitutive
1625	0.528	10.65	9.29	Constitutive
41796	0.3807302134175519	8.49	4.14	Constitutive
2644	0.42208774583963693	11.08	7.42	Constitutive
776	0.5554123711340206	9.65	8.65	Constitutive
879	0.5392491467576792	10.47	13.01	Constitutive
920	0.6826086956521739	6.79	3.39	Constitutive
436	0.43119266055045874	9.72	9.06	Constitutive
1701	0.5120517342739564	7.0	7.48	Constitutive
874	0.3146453089244851	10.08	7.68	Constitutive
951	0.38380651945320715	2.76	6.44	Constitutive
228	0.5921052631578947	9.22	8.86	Constitutive
27523	0.44755295570977	3.3	7.45	Constitutive
457	0.6520787746170679	9.6	13.34	Constitutive
6852	0.45504962054874487	8.66	4.73	Constitutive
388	0.5103092783505154	2.88	7.5	Constitutive
285	0.5719298245614035	8.68	8.23	Constitutive
67538	0.37035446711480946	10.65	7.98	Constitutive
15550	0.4982636655948553	10.51	13.1	Constitutive
1508	0.5431034482758621	9.88	10.32	Constitutive
3923	0.37649757838388986	6.53	11.57	Constitutive
7018	0.46665716728412654	7.15	10.83	Constitutive
79035	0.4181059024482824	8.68	11.58	Constitutive
11001	0.3532406144895919	10.67	12.79	Constitutive
9880	0.3797570850202429	11.0	8.62	Constitutive
565	0.7929203539823009	4.0	9.07	Constitutive
684	0.4093567251461988	9.06	7.71	Constitutive
2641	0.518742900416509	9.24	8.88	Constitutive
29464	0.3855552538691284	10.67	5.48	Constitutive
3649	0.48643463962729516	9.25	10.33	Constitutive
2407	0.46032405484004985	4.88	8.94	Constitutive
111	0.6306306306306306	5.06	9.26	Constitutive
725	0.5144827586206897	6.71	11.19	Constitutive
207	0.7342995169082126	4.44	11.88	Constitutive
813	0.2829028290282903	8.27	5.58	Constitutive
188	0.30319148936170215	4.58	9.18	Constitutive
2934	0.4161554192229039	4.58	9.33	Constitutive
227	0.5726872246696035	0.67	9.09	Constitutive
4447	0.4405217000224871	9.85	10.6	Constitutive
1193	0.5247275775356245	6.35	6.2	Constitutive
149	0.21476510067114093	8.88	10.44	Constitutive
152	0.5131578947368421	10.86	8.91	Constitutive
81	0.345679012345679	5.02	6.84	Constitutive
547	0.3016453382084095	1.76	10.01	Constitutive
5654	0.3547930668553237	8.49	6.64	Constitutive
1092	0.3516483516483517	11.0	6.57	Constitutive
1714	0.40373395565927656	7.54	9.95	Constitutive
86	0.37209302325581395	10.06	9.68	Constitutive
15593	0.3843391265311358	8.56	-13.31	Constitutive
872	0.37270642201834864	9.45	6.94	Constitutive
13500	0.3662222222222222	3.27	11.41	Constitutive
2373	0.4407922461019806	10.47	7.39	Constitutive
1062	0.4293785310734463	6.6	7.99	Constitutive
2780	0.410431654676259	10.06	4.09	Constitutive
720	0.6097222222222223	10.75	4.87	Constitutive
2841	0.4948961633227737	8.37	7.25	Constitutive
318	0.6069182389937107	7.43	10.64	Constitutive
87	0.26436781609195403	9.45	9.4	Constitutive
1069	0.42282507015902715	6.14	8.39	Constitutive
151	0.25165562913907286	7.0	5.53	Constitutive
3065	0.36541598694942906	7.43	8.84	Constitutive
