Length	GC	MaxEnt5	MaxEnt3	Group
895	0.5519553072625698	9.79	11.55	Constitutive
121	0.6033057851239669	7.39	7.07	Constitutive
224	0.6160714285714286	8.99	7.62	Constitutive
2061	0.3153808830664726	8.76	8.86	Constitutive
4286	0.3929071395240317	9.67	7.44	Constitutive
8650	0.4052023121387283	8.49	6.56	Constitutive
198	0.5151515151515151	10.22	10.2	Constitutive
24297	0.4417006214759024	9.93	8.86	Constitutive
7059	0.38475704774047315	9.82	10.51	Constitutive
12884	0.3842750698540826	8.95	6.65	Constitutive
654	0.4954128440366973	10.07	8.45	Constitutive
3742	0.3741314804917157	4.58	9.03	Constitutive
312	0.34615384615384615	4.9	9.0	Constitutive
5367	0.3797279672070058	9.25	10.52	Constitutive
11917	0.42468742133087184	9.25	11.0	Constitutive
3073	0.47770907907582166	4.94	7.44	Constitutive
3260	0.4138036809815951	7.84	8.13	Constitutive
2910	0.3577319587628866	9.14	10.19	Constitutive
948	0.40717299578059074	9.65	7.34	Constitutive
87993	0.4126578250542657	10.75	8.0	Constitutive
4303	0.4699047176388566	5.22	9.73	Constitutive
627	0.5677830940988836	9.16	8.16	Constitutive
5176	0.45015455950540956	8.46	5.9	Constitutive
10804	0.38791188448722697	10.47	7.41	Constitutive
20768	0.4217064714946071	10.45	6.04	Constitutive
1881	0.5906432748538012	7.93	5.56	Constitutive
1410	0.5347517730496454	8.46	8.78	Constitutive
677	0.5391432791728212	8.17	10.5	Constitutive
16026	0.41351553725196555	9.22	9.15	Constitutive
1826	0.452354874041621	10.05	6.81	Constitutive
3410	0.46803519061583576	11.01	13.63	Constitutive
520	0.5365384615384615	9.22	13.39	Constitutive
89	0.30337078651685395	6.36	12.34	Constitutive
780	0.4115384615384615	9.79	10.09	Constitutive
365	0.5452054794520548	9.85	8.62	Constitutive
167	0.4431137724550898	5.39	11.25	Constitutive
113294	0.34425477077338607	8.54	10.88	Constitutive
1142	0.34413309982486867	5.61	10.24	Constitutive
495	0.30505050505050507	8.94	6.79	Constitutive
2342	0.4701110162254483	10.24	9.25	Constitutive
184	0.6684782608695652	8.04	6.79	Constitutive
1963	0.3509933774834437	6.99	8.51	Constitutive
142	0.6408450704225352	9.68	11.18	Constitutive
1312	0.5571646341463414	10.2	5.24	Constitutive
3784	0.39561310782241016	8.08	8.55	Constitutive
4319	0.49942116230608935	8.41	10.32	Constitutive
3399	0.46072374227714036	7.05	7.8	Constitutive
