Length	GC	MaxEnt5	MaxEnt3	Group
174	0.21839080459770116	8.38	9.01	Constitutive
6832	0.4092505854800937	8.4	6.08	Constitutive
88	0.7045454545454546	8.69	7.0	Constitutive
70702	0.36436027269384175	9.14	9.93	Constitutive
1795	0.40668523676880225	4.78	7.12	Constitutive
7742	0.4549212089899251	8.83	7.27	Constitutive
4499	0.3705267837297177	10.03	10.4	Constitutive
16813	0.38940105870457387	7.43	7.08	Constitutive
23833	0.359795241891495	8.76	10.77	Constitutive
2669	0.5496440614462346	0.49	7.22	Constitutive
893	0.3381858902575588	6.39	7.51	Constitutive
3537	0.3290924512298558	7.88	9.39	Constitutive
3791	0.5149037193352677	8.73	9.94	Constitutive
101	0.7227722772277227	8.28	7.81	Constitutive
1920	0.3723958333333333	10.67	11.21	Constitutive
3702	0.4430037817396002	8.59	7.25	Constitutive
880	0.43636363636363634	8.59	6.73	Constitutive
5263	0.3678510355310659	8.38	10.18	Constitutive
2308	0.3496533795493934	9.66	8.2	Constitutive
103	0.2815533980582524	10.22	10.47	Constitutive
4700	0.3129787234042553	11.01	11.36	Constitutive
112	0.5803571428571429	7.65	2.31	Constitutive
525	0.5942857142857143	7.83	8.95	Constitutive
98	0.3469387755102041	4.85	7.62	Constitutive
1818	0.42684268426842686	8.34	7.8	Constitutive
978	0.5112474437627812	7.65	9.16	Constitutive
1099	0.3903548680618744	7.65	9.9	Constitutive
246	0.6585365853658537	9.22	9.34	Constitutive
2328	0.37328178694158076	6.66	13.3	Constitutive
446	0.6636771300448431	10.53	6.66	Constitutive
948	0.45464135021097046	8.34	10.59	Constitutive
2693	0.5610842926104715	10.03	10.29	Constitutive
2951	0.5574381565570993	10.03	10.43	Constitutive
1583	0.3063802905874921	4.54	3.69	Constitutive
25141	0.3921085080147966	6.38	11.48	Constitutive
5292	0.4996220710506425	6.71	6.56	Constitutive
1863	0.33494363929146537	4.8	8.98	Constitutive
488	0.555327868852459	8.7	12.56	Constitutive
1689	0.3925399644760213	10.47	6.99	Constitutive
32341	0.40162641847809283	11.0	11.24	Constitutive
971	0.48094747682801237	10.86	11.4	Constitutive
1285	0.5774319066147859	8.99	10.15	Constitutive
713	0.38429172510518933	4.19	11.79	Constitutive
4166	0.4409505520883341	9.22	7.87	Constitutive
324	0.47530864197530864	6.99	7.67	Constitutive
2705	0.41922365988909427	7.64	8.57	Constitutive
239	0.606694560669456	8.23	2.18	Constitutive
539	0.7012987012987013	8.07	8.96	Constitutive
2599	0.5325125048095422	8.91	5.52	Constitutive
2160	0.449537037037037	11.01	9.93	Constitutive
7676	0.44254820218863994	10.47	13.23	Constitutive
120	0.6	5.66	8.95	Constitutive
340	0.3911764705882353	10.57	11.2	Constitutive
10557	0.4092071611253197	8.07	12.74	Constitutive
960	0.2760416666666667	7.04	7.91	Constitutive
1742	0.47876004592422505	9.65	9.89	Constitutive
6187	0.4267011475674802	6.18	2.98	Constitutive
2208	0.3446557971014493	5.68	9.57	Constitutive
2780	0.4762589928057554	10.07	9.75	Constitutive
24877	0.3733569160268521	10.03	8.09	Constitutive
3675	0.3980952380952381	10.77	11.77	Constitutive
567	0.582010582010582	9.22	10.53	Constitutive
10417	0.37678794278583083	11.08	6.54	Constitutive
1961	0.36511983681795	5.02	5.65	Constitutive
3300	0.5321212121212121	10.28	11.33	Constitutive
339	0.504424778761062	7.48	8.16	Constitutive
9121	0.37945400723604866	11.0	10.66	Constitutive
662	0.41842900302114805	5.91	6.9	Constitutive
2970	0.37575757575757573	7.52	8.49	Constitutive
404	0.35396039603960394	6.42	7.43	Constitutive
17919	0.38372677046710196	6.69	7.84	Constitutive
76	0.6973684210526315	9.04	6.53	Constitutive
34322	0.36416875473457255	11.11	10.01	Constitutive
1926	0.4158878504672897	7.82	8.06	Constitutive
941	0.38788522848034007	8.55	6.95	Constitutive
69959	0.3439871924984634	10.57	11.64	Constitutive
756	0.5357142857142857	7.82	11.37	Constitutive
1997	0.37105658487731596	9.72	5.35	Constitutive
26959	0.43362142512704477	10.19	4.76	Constitutive
1244	0.4453376205787781	10.44	7.2	Constitutive
