class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,PCBP2_count,PCBP2_density,CpG_count,CpG_density
1,1483,0.5940660822656777,0.4666666666666667,4,8,5.394470667565745,31,20.903573836817262,31,20.903573836817262
1,362,0.643646408839779,0.4666666666666667,3,3,8.287292817679559,12,33.149171270718234,9,24.861878453038674
1,362,0.643646408839779,0.4666666666666667,3,3,8.287292817679559,12,33.149171270718234,9,24.861878453038674
1,648,0.3256172839506173,0.3333333333333333,8,4,6.172839506172839,3,4.62962962962963,5,7.716049382716049
1,337,0.5400593471810089,0.26666666666666666,7,2,5.9347181008902075,3,8.90207715133531,13,38.57566765578635
1,1532,0.5221932114882507,0.4666666666666667,6,9,5.87467362924282,16,10.443864229765014,22,14.360313315926893
1,387,0.5839793281653747,0.4,4,2,5.167958656330749,6,15.503875968992247,12,31.007751937984494
1,395,0.40759493670886077,0.4,4,2,5.063291139240506,2,5.063291139240506,7,17.72151898734177
1,415,0.5975903614457831,0.3333333333333333,6,3,7.228915662650603,12,28.91566265060241,11,26.506024096385545
1,313,0.6261980830670927,0.4,2,3,9.584664536741213,2,6.389776357827476,15,47.92332268370607
1,478,0.6234309623430963,0.6666666666666666,3,4,8.368200836820083,13,27.196652719665273,16,33.47280334728033
1,1088,0.6194852941176471,0.8,4,8,7.352941176470588,31,28.49264705882353,26,23.89705882352941
1,399,0.7192982456140351,0.4666666666666667,3,1,2.506265664160401,13,32.581453634085214,42,105.26315789473684
1,404,0.6905940594059405,0.26666666666666666,2,1,2.4752475247524752,9,22.277227722772277,29,71.78217821782178
1,157,0.6369426751592356,0.4666666666666667,5,1,6.369426751592357,2,12.738853503184714,12,76.43312101910828
1,2538,0.6808510638297872,0.4666666666666667,3,2,0.7880220646178093,87,34.27895981087471,114,44.917257683215134
1,1116,0.5152329749103942,0.3333333333333333,23,9,8.064516129032258,16,14.336917562724013,41,36.738351254480285
1,460,0.6630434782608695,0.6666666666666666,3,1,2.1739130434782608,15,32.608695652173914,24,52.17391304347826
1,3117,0.5213346166185435,0.4666666666666667,11,27,8.662175168431183,59,18.928456849534808,53,17.00352903432788
1,605,0.6429752066115703,0.4,4,1,1.6528925619834711,14,23.140495867768596,18,29.75206611570248
1,806,0.6712158808933002,0.6,3,7,8.6848635235732,47,58.31265508684863,35,43.424317617866
1,597,0.644891122278057,0.5333333333333333,4,4,6.700167504187605,10,16.750418760469014,40,67.00167504187606
1,1108,0.5667870036101083,0.5333333333333333,8,8,7.2202166064981945,27,24.368231046931406,33,29.78339350180505
1,261,0.5977011494252874,0.3333333333333333,3,5,19.157088122605362,8,30.65134099616858,11,42.1455938697318
1,1639,0.6137888956680903,0.3333333333333333,8,6,3.6607687614399023,53,32.33679072605247,50,30.50640634533252
1,334,0.6347305389221557,0.2,3,1,2.994011976047904,8,23.95209580838323,13,38.92215568862275
1,1299,0.6728252501924558,0.26666666666666666,4,7,5.388760585065436,65,50.03849114703618,42,32.33256351039261
1,192,0.5364583333333334,0.4666666666666667,5,1,5.208333333333333,2,10.416666666666666,4,20.833333333333332
1,866,0.5923787528868361,0.5333333333333333,7,8,9.237875288683602,28,32.33256351039261,38,43.87990762124711
1,359,0.5738161559888579,0.4666666666666667,3,2,5.571030640668524,8,22.284122562674096,8,22.284122562674096
1,378,0.626984126984127,0.3333333333333333,3,5,13.227513227513228,9,23.80952380952381,22,58.2010582010582
1,391,0.7135549872122762,0.3333333333333333,3,4,10.230179028132993,9,23.017902813299234,50,127.8772378516624
1,304,0.7335526315789473,0.4666666666666667,4,2,6.578947368421053,12,39.473684210526315,43,141.44736842105263
1,1609,0.5444375388440025,0.5333333333333333,9,12,7.458048477315103,32,19.888129272840274,35,21.75264139216905
