class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,SRSF5_count,SRSF5_density,SRSF11_count,SRSF11_density,SRSF1_count,SRSF1_density,SRSF2_count,SRSF2_density,SRSF7_count,SRSF7_density,PCBP2_count,PCBP2_density,PCBP2_long_count,PCBP2_long_density,PCBP3_count,PCBP3_density,HNRNPH1_count,HNRNPH1_density,HNRNPF_count,HNRNPF_density,HNRNPA2B1_count,HNRNPA2B1_density,RBM25_count,RBM25_density,RBM6_count,RBM6_density,RBM39_count,RBM39_density,RBM24_count,RBM24_density,PTBP1_count,PTBP1_density,ESRP1_count,ESRP1_density,SS5_score,SS3_score,BP_count,rel_position,is_first_intron,upstream_exon_GC,upstream_exon_length,codon_optimality,decoy_5ss_count,decoy_3ss_count,decoy_total,SS5_accessibility,SS3_accessibility
1,1483,0.5940660822656777,0.4666666666666667,4,8,5.394470667565745,7,4.720161834120026,3,2.0229265003371544,10,6.743088334457181,0,0,0,0,31,20.903573836817262,0,0,2,1.3486176668914363,2,1.3486176668914363,1,0.6743088334457181,6,4.045853000674309,8,5.394470667565745,2,1.3486176668914363,4,2.6972353337828725,5,3.3715441672285906,2,1.3486176668914363,5,3.3715441672285906,3.666666666666667,4,0,0,1,0.74,50,0.375,8,17,25,0.4444444444444444,0.21739130434782608
1,362,0.643646408839779,0.4666666666666667,3,3,8.287292817679559,3,8.287292817679559,1,2.7624309392265194,2,5.524861878453039,0,0,0,0,12,33.149171270718234,0,0,0,0,1,2.7624309392265194,1,2.7624309392265194,2,5.524861878453039,2,5.524861878453039,1,2.7624309392265194,3,8.287292817679559,2,5.524861878453039,2,5.524861878453039,2,5.524861878453039,3.666666666666667,4,0,0,1,0.54,50,0.4375,9,17,26,0.4444444444444444,0.21739130434782608
1,362,0.643646408839779,0.4666666666666667,3,3,8.287292817679559,3,8.287292817679559,1,2.7624309392265194,2,5.524861878453039,0,0,0,0,12,33.149171270718234,0,0,0,0,1,2.7624309392265194,1,2.7624309392265194,2,5.524861878453039,2,5.524861878453039,1,2.7624309392265194,3,8.287292817679559,2,5.524861878453039,2,5.524861878453039,2,5.524861878453039,3.666666666666667,4,0,0,1,0.54,50,0.4375,9,17,26,0.4444444444444444,0.21739130434782608
1,362,0.643646408839779,0.4666666666666667,3,3,8.287292817679559,3,8.287292817679559,1,2.7624309392265194,2,5.524861878453039,0,0,0,0,12,33.149171270718234,0,0,0,0,1,2.7624309392265194,1,2.7624309392265194,2,5.524861878453039,2,5.524861878453039,1,2.7624309392265194,3,8.287292817679559,2,5.524861878453039,2,5.524861878453039,2,5.524861878453039,3.666666666666667,4,0,0,1,0.54,50,0.4375,9,17,26,0.4444444444444444,0.21739130434782608
1,569,0.6063268892794376,0.26666666666666666,3,3,5.272407732864675,4,7.029876977152901,0,0,0,0,0,0,0,0,16,28.119507908611602,1,1.7574692442882252,3,5.272407732864675,0,0,0,0,0,0,1,1.7574692442882252,0,0,1,1.7574692442882252,0,0,0,0,1,1.7574692442882252,4.333333333333334,2.2222222222222223,1,0,1,0.68,50,0.25,8,19,27,0,0.17391304347826086
1,648,0.3256172839506173,0.3333333333333333,8,4,6.172839506172839,1,1.5432098765432098,0,0,0,0,0,0,0,0,3,4.62962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666667,3.5555555555555554,0,0,1,0.2,50,0.875,3,13,16,0.3333333333333333,0.6521739130434783
1,337,0.5400593471810089,0.26666666666666666,7,2,5.9347181008902075,0,0,0,0,2,5.9347181008902075,0,0,0,0,3,8.90207715133531,0,0,0,0,1,2.9673590504451037,0,0,1,2.9673590504451037,1,2.9673590504451037,1,2.9673590504451037,0,0,1,2.9673590504451037,0,0,2,5.9347181008902075,3,1.7777777777777777,1,0,1,0.62,50,0.375,13,9,22,0,0.4782608695652174
1,387,0.5839793281653747,0.4,4,2,5.167958656330749,1,2.5839793281653747,1,2.5839793281653747,2,5.167958656330749,0,0,0,0,6,15.503875968992247,0,0,1,2.5839793281653747,1,2.5839793281653747,0,0,3,7.751937984496124,2,5.167958656330749,0,0,2,5.167958656330749,2,5.167958656330749,1,2.5839793281653747,1,2.5839793281653747,2.3333333333333335,4,0,0,1,0.6,50,0.4375,11,9,20,0.1111111111111111,0.6086956521739131
1,415,0.5975903614457831,0.3333333333333333,6,3,7.228915662650603,1,2.4096385542168677,0,0,4,9.63855421686747,0,0,0,0,12,28.91566265060241,0,0,1,2.4096385542168677,1,2.4096385542168677,0,0,1,2.4096385542168677,2,4.819277108433735,0,0,1,2.4096385542168677,1,2.4096385542168677,1,2.4096385542168677,0,0,2.666666666666667,3.5555555555555554,0,0,1,0.68,50,0.25,8,17,25,0.4444444444444444,0.4347826086956522
1,313,0.6261980830670927,0.4,2,3,9.584664536741213,0,0,1,3.194888178913738,3,9.584664536741213,0,0,0,0,2,6.389776357827476,0,0,1,3.194888178913738,0,0,0,0,2,6.389776357827476,1,3.194888178913738,0,0,3,9.584664536741213,1,3.194888178913738,0,0,0,0,1.6666666666666667,3.111111111111111,1,0,1,0.64,50,0.1875,12,11,23,0.3333333333333333,0.34782608695652173
