gene_id	gene_name	Col0_ANS_Cytosol_Rep1	Col0_ANS_Cytosol_Rep2	Col0_ANS_Cytosol_Rep3	Col0_ANS_Nuclear_Rep1	Col0_ANS_Nuclear_Rep2	Col0_ANS_Nuclear_Rep3	X.Col0_DMSO_Cytosol_Rep1	Col0_DMSO_Cytosol_Rep2	Col0_DMSO_Cytosol_Rep3	Col0_DMSO_Nuclear_Rep1	Col0_DMSO_Nuclear_Rep2	Col0_DMSO_Nuclear_Rep3	Col0_DMSO_Rep1	Col0_DMSO_Rep2	Col0_DMSO_Rep3	Col0_for_siRNA_Rep1	Col0_for_siRNA_Rep2	Col0_TUN_Rep1	Col0_TUN_Rep2	Col0_TUN_Rep3	ski2_DMSO_Rep1	ski2_DMSO_Rep2	ski2_DMSO_Rep3	ski2_TUN_Rep1	ski2_TUN_Rep2	ski2_TUN_Rep3	ufm1_ANS_Cytosol_Rep1	ufm1_ANS_Cytosol_Rep2	ufm1_ANS_Cytosol_Rep3	ufm1_ANS_Nuclear_Rep1	ufm1_ANS_Nuclear_Rep2	ufm1_ANS_Nuclear_Rep3	ufm1_DMSO_Cytosol_Rep1	ufm1_DMSO_Cytosol_Rep2	ufm1_DMSO_Cytosol_Rep3	ufm1_DMSO_Nuclear_Rep1	ufm1_DMSO_Nuclear_Rep2	ufm1_DMSO_Nuclear_Rep3	UFM1_for_siRNA_Rep1	UFM1_for_siRNA_Rep2	UFM1.His_for_siRNA_Rep1	UFM1.His_for_siRNA_Rep2	xrn4_DMSO_Rep1	xrn4_DMSO_Rep2	xrn4_DMSO_Rep3	xrn4_TUN_Rep1	xrn4_TUN_Rep2	xrn4_TUN_Rep3
AT1G01010	NAC001	12.231838	11.934362	15.28824	10.328343	10.82263	9.207452	7.686171	6.905982	9.753128	4.87735	4.837695	6.908027	7.111661	9.240993	4.141879	3.302378	2.869924	12.380481	17.42531	12.274286	9.1083	6.060867	3.700559	12.153368	11.084457	10.100235	8.12263	9.944303	10.507478	12.922311	19.645965	14.492894	9.233498	3.555065	5.583925	14.332463	6.378728	9.573573	5.521264	5.869629	8.276034	6.807978	7.505988	6.765538	7.655721	13.0928	7.521542	10.256359
AT1G01020	ARV1	21.96054	19.248322	18.737279	40.687997	37.423054	35.795836	22.359371	14.208581	14.278713	24.512362	24.458281	39.336001	17.986775	17.809372	12.693038	10.451909	11.103263	15.144598	16.215222	20.053985	25.460372	23.942971	14.88718	14.730484	19.051954	15.454222	14.702612	18.581662	12.072082	38.853531	43.368405	32.905859	7.723084	13.520369	14.139813	40.052085	31.187906	27.85273	11.257099	8.413274	9.346577	7.552501	19.077193	13.281081	19.012457	16.345473	10.941933	18.997716
AT1G01030	NGA3	6.578076	10.955656	4.43323	11.335887	12.747914	5.004867	6.02341	6.109989	7.830171	9.048491	9.695099	10.48022	2.722631	4.122805	6.866153	4.992434	3.535508	2.19231	0	3.222867	2.225768	3.092846	3.989311	1.220668	2.594386	3.501414	10.545117	6.179566	5.739218	8.409772	5.353092	6.392423	11.569778	9.533829	4.996583	8.560089	10.309795	10.53741	2.446215	4.209696	5.745142	1.519258	2.713945	4.43423	4.119346	1.437475	0	1.753649
AT1G01040	DCL1	0.975315	1.000788	1.174037	4.126144	10.184814	7.373616	2.468203	1.502734	1.89619	11.129066	8.528545	20.910377	4.457452	4.694967	5.365125	11.64303	9.674781	10.465543	5.845477	11.375838	4.482962	8.59057	5.153208	6.244081	8.362909	8.628957	0.67713	0.357696	0.530528	10.158018	20.520104	19.388643	2.98781	1.862493	1.166809	31.904658	20.918534	18.911218	9.079186	7.887658	6.937302	7.222139	8.348984	8.007226	5.765421	6.375362	10.209565	10.023052
AT1G01046	ath-MIR838	0	0	0	0	1.369363	2.558034	0	0	0	1.702964	0	0	0	0	0	1.033003	0	0	5.969146	0	0	0	0	0	0	7.558351	0	0	0	0	5.349401	0	0	0	0	1.834371	9.407524	2.960565	2.255598	1.222924	2.241744	1.00855	0	0	0	0	0	0
AT1G01050	PPa1	69.404205	73.201023	62.809826	53.690341	54.108261	63.492347	91.166147	99.099951	110.367281	86.655533	105.123702	117.729775	131.173492	90.562758	95.074696	96.222991	94.734277	96.70339	121.524648	92.422768	120.65219	98.760869	114.906398	110.811444	129.671753	136.354627	48.831001	57.664683	55.578481	61.208593	63.964315	55.89808	96.210453	69.675454	80.672983	115.039537	119.460139	117.74646	94.606889	109.109997	103.88074	107.417571	157.743231	103.46304	102.918625	144.772506	72.29514	122.279706
AT1G01060	LHY	0.560717	0.327109	5.700799	0.461171	0.768893	10.256961	0.693705	0.066979	9.01839	0.386446	0.272147	15.325505	80.918844	82.158946	72.630534	39.174519	32.65418	59.827782	60.099126	52.063425	31.93195	43.997445	33.373502	39.238308	24.629107	31.64988	0.120963	0.829532	7.865162	0.998934	1.146683	22.191542	9.188953	0.18688	0.315507	24.84157	0.590119	2.244495	27.622085	18.77463	13.707003	18.319033	83.186333	85.209606	74.829268	81.017509	50.105445	68.359797
AT1G01070	UMAMIT28	1.773802	1.118632	2.198717	1.606932	1.187108	0.922875	2.507988	3.779796	4.193137	0.984386	1.495957	2.341074	1.81842	7.296972	4.053923	9.304927	7.10146	5.701229	0	2.317897	11.031163	5.867637	3.964141	5.399891	5.608347	6.475903	2.94325	0.749398	1.998432	1.159644	0.538629	2.675665	3.009729	3.4478	1.393487	3.471337	0.90875	1.740694	9.988201	7.694988	5.860136	11.762707	2.963653	2.949417	6.531408	5.856008	6.227093	3.966539
AT1G01080	AT1G01080	6.191249	4.240803	4.8423	4.61381	7.504729	4.273613	14.32942	10.161143	9.149705	13.047558	9.471878	7.517659	42.952853	48.048736	34.450404	41.632514	48.917647	32.57836	30.379967	33.408194	49.315721	56.568653	45.901518	37.389069	36.857024	33.645748	10.318072	3.517915	9.174429	5.882383	2.908582	5.810997	7.126689	13.401981	11.60341	8.07098	7.960234	13.554965	28.491363	40.77076	25.380543	23.706021	36.852835	39.957048	35.139618	29.789504	14.937616	38.856428
AT1G01090	PDH-E1	55.604235	61.622613	59.868463	58.678636	60.389625	54.919826	91.144107	76.311371	90.720458	114.809129	93.405051	92.265263	111.239245	115.782277	85.524604	130.936208	136.269084	149.513948	92.541057	161.029925	131.399728	111.651594	160.043568	151.766057	169.003487	157.116539	52.953942	51.825735	50.871581	55.224307	53.640696	55.397539	85.79735	67.174212	75.362663	122.060924	123.874047	123.350045	123.550787	125.054701	107.250918	118.543028	114.610036	138.954339	115.580025	137.872827	135.6541	143.776144
