gene_id	gene_name	AAVS1_CYTO_DMSO_ANS_rep1	AAVS1_CYTO_DMSO_CTRL_rep1	AAVS1_CYTO_DOX_ANS_rep1	AAVS1_CYTO_DOX_CTRL_rep1	AAVS1_NUCL_DMSO_ANS_rep1	AAVS1_NUCL_DMSO_CTRL_rep1	AAVS1_NUCL_DOX_ANS_rep1	AAVS1_NUCL_DOX_CTRL_rep1	UFM1_CYTO_DMSO_ANS_rep1	UFM1_CYTO_DMSO_CTRL_rep1	UFM1_CYTO_DOX_ANS_rep1	UFM1_CYTO_DOX_CTRL_rep1	UFM1_NUCL_DMSO_ANS_rep1	UFM1_NUCL_DMSO_CTRL_rep1	UFM1_NUCL_DOX_ANS_rep1	UFM1_NUCL_DOX_CTRL_rep1	UFM2_CYTO_DMSO_ANS_rep2	UFM2_CYTO_DMSO_CTRL_rep2	UFM2_CYTO_DOX_ANS_rep2	UFM2_CYTO_DOX_CTRL_rep2	UFM2_NUCL_DMSO_ANS_rep2	UFM2_NUCL_DMSO_CTRL_rep2	UFM2_NUCL_DOX_ANS_rep2	UFM2_NUCL_DOX_CTRL_rep2	UFM3_CYTO_DMSO_ANS_rep3	UFM3_CYTO_DMSO_CTRL_rep3	UFM3_CYTO_DOX_ANS_rep3	UFM3_CYTO_DOX_CTRL_rep3	UFM3_NUCL_DMSO_ANS_rep3	UFM3_NUCL_DMSO_CTRL_rep3	UFM3_NUCL_DOX_ANS_rep3	UFM3_NUCL_DOX_CTRL_rep3	SE_AAVS1_NUCL_DMSO_ANS_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep2	SE_AAVS1_NUCL_DMSO_CTRL_rep3	SE_AAVS1_NUCL_DOX_ANS_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep2	SE_AAVS1_NUCL_DOX_CTRL_rep3
ENSG00000000003.16	TSPAN6	12.151026	13.53146	8.313025	9.121831	3.381753	10.087262	11.246758	10.432711	11.499178	10.708528	8.563326	9.945159	10.850061	11.445163	9.593142	18.043476	11.07942	12.702977	11.863996	10.890533	12.827783	22.231466	12.312343	14.308109	10.747147	10.941925	11.770268	13.150892	9.587521	11.382009	9.767077	10.16674	5.835736	9.730815	14.327703	9.786649	13.281808	9.885692	10.440064	9.28327
ENSG00000000005.6	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	126.83359	155.279696	120.248768	141.495843	249.139859	163.232302	250.564957	167.865501	149.097875	151.020588	145.541918	150.83997	270.392114	164.724486	292.08033	146.340383	152.723831	144.555986	144.367468	139.335102	253.537463	165.615393	258.764619	171.83768800000001	148.318746	148.382119	152.847703	139.847875	276.607814	183.911064	276.965126	164.321845	245.037071	157.336011	140.583756	152.293751	241.691296	147.458677	166.126132	155.921654
ENSG00000000457.14	SCYL3	2.366401	1.505527	1.436899	1.869647	4.278814	6.099972	4.673074	5.106915	1.343995	1.007694	1.335095	1.334967	4.478216	5.964859	4.542618	4.632647	1.071581	0.817819	1.279332	1.780611	3.733895	3.308124	4.056054	6.412799	1.328468	1.275534	1.826312	0.958231	5.795953	5.479516	4.142567	8.808814	3.590205	4.759654	3.730938	5.108228	3.732242	4.568266	4.954776	5.287645
ENSG00000000460.17	FIRRM	13.467665	10.970971	13.005782	13.100353	38.188742	35.572618	35.255024	27.44765	12.836909	13.227797	11.304785	12.278587	30.598649	25.957444	29.693621	32.44101	11.815052	12.419968	12.267614	11.245835	17.957007	27.3945	21.115268	23.587639	12.313744	12.409908	13.37453	8.672168	23.16779	26.342941	21.50201	26.41125	31.909478	30.018263	26.561177	30.413097	31.973646	21.555992	29.465963	29.227799
ENSG00000000938.13	FGR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971.17	CFH	0	0	0	0	0.020328	0	0	0.882389	0	0.012594	0	0	0	0	0	0	0	0.055677	0	0	0	0.045962	0	0	0	0.041546	0	0	0	0	0.128114	0.076744	0	0.125779	0	0	0	0.75797	0	0
ENSG00000001036.14	FUCA2	78.44476	90.678976	74.294813	90.944259	53.422359	77.55464	50.224136	77.135372	80.749903	92.360444	83.563632	94.275521	57.72001	83.225422	63.249637	73.786318	90.797481	86.706727	94.921721	93.87143	72.686219	104.443345	65.510669	116.258954	84.778589	89.312703	89.786167	83.932597	66.83964	106.237221	79.229676	105.461083	54.113867	72.839276	92.033645	85.05499	49.390199	72.686696	84.558904	74.167697
ENSG00000001084.13	GCLC	31.56032	30.556935	32.198829	29.750036	32.116831	50.531146	41.528442	35.583891	20.951955	28.580138	22.593451	28.713631	36.78861	45.005459	41.258176	41.258424	25.092368	27.235446	24.974938	28.78815	29.083842	44.631771	29.94741	44.738616	28.487817	25.666852	27.975002	26.099556	29.66874	44.067013	29.966083	48.37522	36.544986	50.800604	47.309866	53.081693	36.396269	38.41812	49.896119	54.792574
ENSG00000001167.15	NFYA	23.131627	18.951332	22.735269	19.188081	28.098985	19.244953	22.825173	26.240068	24.600017	20.914698	24.736106	22.347084	24.070675	24.124252	21.870099	28.526608	22.541366	19.116423	24.412702	20.104943	22.417249	20.931363	26.26728	19.977491	20.859666	14.15746	19.916745	17.212113	26.162655	22.761471	24.440934	23.886976	27.111186	16.842329	18.665955	19.07751	21.815348	24.246435	20.538659	19.217873
