gene_id	gene_name	ufm1_KO_ANS_Neuron_Rep1	ufm1_KO_ANS_Neuron_Rep2	ufm1_KO_CTRL_Neuron_Rep1	ufm1_KO_CTRL_Neuron_Rep2	WT_ANS_Neuron_Rep1	WT_ANS_Neuron_Rep2	WT_ANS_Neuron_Rep3	WT_ANS_Neuron_Rep4	WT_CTRL_Neuron_Rep1	WT_CTRL_Neuron_Rep2	WT_CTRL_Neuron_Rep3	WT_CTRL_Neuron_Rep4
ENSMUSG00000000001	Gnai3	62.530607	63.225031	54.108165	67.068013	51.080339	58.509226	52.399735	51.586918	48.68532	56.680635	54.44286	43.711489
ENSMUSG00000000003	Pbsn	0	0	0	0	0.147217	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	4.452447	3.432055	3.002867	4.956666	7.397766	7.749696	5.32753	5.768353	6.518473	7.262688	5.571614	4.199187
ENSMUSG00000000031	H19	2.097708	3.326711	7.150229	11.684999	16.925574	5.8285	0.318674	1.306189	10.246107	15.802867000000001	1.154993	1.370649
ENSMUSG00000000037	Scml2	1.026994	1.691869	1.092392	1.477345	1.180311	1.38589	0.911877	0.857544	1.919979	1.391907	1.285746	0.842098
ENSMUSG00000000049	Apoh	1.278711	0.882569	0.441938	1.787458	0.373366	0.411615	0.259844	0.623816	1.038916	1.283807	2.176128	0.451524
ENSMUSG00000000056	Narf	9.088912	11.506414	30.309443	11.804035	14.288739	13.798695	17.529471	16.08566	26.740543	16.665114	17.639676	40.888939
ENSMUSG00000000058	Cav2	67.250909	78.591273	68.20593	91.881476	37.470007	27.190965	19.059891	17.651994	32.922124	47.642903	55.909088	25.620369
ENSMUSG00000000078	Klf6	128.508882	140.149491	31.346379	47.453516	117.961439	96.779112	66.828754	80.844084	26.228076	31.991768	21.96754	15.979835
ENSMUSG00000000085	Scmh1	66.437373	62.227347	52.759305	46.830807	56.690452	61.710586	50.201435	57.254473	46.496116	41.826544	41.464485	40.225642
ENSMUSG00000000088	Cox5a	470.011304	438.36477	537.383118	431.353657	432.94224	482.631579	457.030421	483.067683	534.171793	543.887375	613.533999	630.386252
ENSMUSG00000000093	Tbx2	0.355101	0.311867	0.330389	0.647597	0.357358	0.350567	0.499628	0.391892	0.379846	0.285153	0.315127	0.358304
ENSMUSG00000000094	Tbx4	0	0.024808	0.007769	0.023506	0.032389	0.016803	0.023645	0.024019	0	0.040382	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	1.835596	1.96257	2.028133	1.222029	2.113912	1.331695	2.091027	1.146882	1.48607	1.245927	0.979045	0.683926
ENSMUSG00000000125	Wnt3	0.29785	0.309148	0.580865	0.195286	0.326002	0.201344	0.135995	0.19187	0.235289	0.147099	0.214064	0.090113
ENSMUSG00000000126	Wnt9a	20.269009	18.925563	3.717809	7.631159	6.170188	6.17198	3.806748	2.976225	1.741579	3.223377	1.421049	1.272745
ENSMUSG00000000127	Fer	17.32825	19.193889	14.912268	15.743416	15.053681	15.173694	16.065286	12.611328	10.299148	9.742585	10.303674000000001	9.973344
ENSMUSG00000000131	Xpo6	53.570884	54.188741	49.208688	37.56077	49.170815	51.232112	41.456378	45.784293	44.291169	44.453083	40.872035	42.061015
ENSMUSG00000000134	Tfe3	43.374938	39.212134	29.455507	32.953711	30.584969	33.17439	22.498742	27.473645	26.132905	25.902724	26.05072	22.922723
ENSMUSG00000000142	Axin2	17.190456	15.807945	11.94769	14.499481	11.380214	15.240209	11.934003	15.958988	11.66163	17.112886	11.698339	10.233301
ENSMUSG00000000148	Brat1	17.129003	17.373169	12.843153	11.872412	18.758269	21.250751	19.109115	18.593545	15.707063	15.772704	14.505295	14.803657
ENSMUSG00000000149	Gna12	48.757781	53.894823	50.053736	59.675797	46.653677	60.33598	59.181045	69.115616	56.683224	74.73838	74.144727	63.276123
ENSMUSG00000000154	Slc22a18	0.980261	0.737927	1.204939	1.54001	0.55583	0.468155	0.200952	0.057429	0.298007	0.386496	0.439645	0.116511
ENSMUSG00000000157	Itgb2l	0	0	0	0	0.00941	0	0	0	0	0	0	0
