GeneId	Cluster
AT1G02890	Both_Down
AT1G03290	Both_Down
AT1G04950	Both_Down
AT1G05120	Both_Down
AT1G07720	Both_Down
AT1G07950	Both_Down
AT1G08600	Both_Down
AT1G13160	Both_Down
AT1G22440	Both_Down
AT1G23230	Both_Down
AT1G27050	Both_Down
AT1G31280	Both_Down
AT1G47870	Both_Down
AT1G49730	Both_Down
AT1G51380	Both_Down
AT1G51560	Both_Down
AT1G52980	Both_Down
AT1G53800	Both_Down
AT1G54140	Both_Down
AT1G55500	Both_Down
AT1G60850	Both_Down
AT1G62820	Both_Down
AT1G63980	Both_Down
AT1G64370	Both_Down
AT1G67870	Both_Down
AT1G78610	Both_Down
AT2G23090	Both_Down
AT2G32950	Both_Down
AT2G34357	Both_Down
AT2G34750	Both_Down
AT2G36930	Both_Down
AT2G39260	Both_Down
AT2G40430	Both_Down
AT2G47250	Both_Down
AT2G47680	Both_Down
AT3G04670	Both_Down
AT3G13940	Both_Down
AT3G19680	Both_Down
AT3G20540	Both_Down
AT3G25470	Both_Down
AT3G27670	Both_Down
AT3G46220	Both_Down
AT3G48530	Both_Down
AT3G54350	Both_Down
AT3G54460	Both_Down
AT3G56510	Both_Down
AT3G62800	Both_Down
AT4G01000	Both_Down
AT4G05420	Both_Down
AT4G14340	Both_Down
AT4G16150	Both_Down
AT4G16420	Both_Down
AT4G18905	Both_Down
AT4G19610	Both_Down
AT4G24020	Both_Down
AT4G27490	Both_Down
AT4G29160	Both_Down
AT4G31570	Both_Down
AT4G38130	Both_Down
AT5G01090	Both_Down
AT5G01270	Both_Down
AT5G02850	Both_Down
AT5G04240	Both_Down
AT5G06360	Both_Down
AT5G06830	Both_Down
AT5G10810	Both_Down
AT5G12260	Both_Down
AT5G15680	Both_Down
AT5G20170	Both_Down
AT5G21160	Both_Down
AT5G23610	Both_Down
AT5G35910	Both_Down
AT5G42540	Both_Down
AT5G49930	Both_Down
AT5G53620	Both_Down
AT5G54940	Both_Down
AT5G60990	Both_Down
AT5G61020	Both_Down
AT5G61140	Both_Down
AT5G61770	Both_Down
AT5G64680	Both_Down
AT5G65540	Both_Down
AT5G67240	Both_Down
AT1G01710	Both_Up
AT1G07990	Both_Up
AT1G11870	Both_Up
AT1G16270	Both_Up
AT1G26880	Both_Up
AT1G60550	Both_Up
AT1G71950	Both_Up
AT2G13540	Both_Up
AT2G27200	Both_Up
AT2G29400	Both_Up
AT2G31810	Both_Up
AT2G34700	Both_Up
AT2G40690	Both_Up
AT3G02090	Both_Up
AT3G16440	Both_Up
AT3G51800	Both_Up
AT4G27440	Both_Up
AT4G34555	Both_Up
AT4G39990	Both_Up
AT5G02870	Both_Up
AT5G20080	Both_Up
AT5G23530	Both_Up
AT1G01950	Col0_only_Down
AT1G04400	Col0_only_Down
AT1G06220	Col0_only_Down
AT1G06700	Col0_only_Down
AT1G07370	Col0_only_Down
AT1G09320	Col0_only_Down
AT1G10390	Col0_only_Down
AT1G12110	Col0_only_Down
AT1G12650	Col0_only_Down
AT1G13020	Col0_only_Down
AT1G13190	Col0_only_Down
AT1G15440	Col0_only_Down
AT1G15780	Col0_only_Down
AT1G15810	Col0_only_Down
AT1G15910	Col0_only_Down
AT1G16280	Col0_only_Down
AT1G16810	Col0_only_Down
AT1G17070	Col0_only_Down
AT1G17760	Col0_only_Down
AT1G21170	Col0_only_Down
AT1G21580	Col0_only_Down
AT1G21610	Col0_only_Down
AT1G24310	Col0_only_Down
AT1G25055	Col0_only_Down
AT1G29320	Col0_only_Down
AT1G32490	Col0_only_Down
AT1G43140	Col0_only_Down
AT1G44810	Col0_only_Down
AT1G48920	Col0_only_Down
AT1G50240	Col0_only_Down
AT1G52760	Col0_only_Down
AT1G53165	Col0_only_Down
AT1G55325	Col0_only_Down
AT1G60640	Col0_only_Down
AT1G60650	Col0_only_Down
AT1G61040	Col0_only_Down
AT1G62740	Col0_only_Down
AT1G62830	Col0_only_Down
AT1G62970	Col0_only_Down
AT1G65280	Col0_only_Down
AT1G68410	Col0_only_Down
AT1G69340	Col0_only_Down
AT1G72160	Col0_only_Down
AT1G72320	Col0_only_Down
AT1G72390	Col0_only_Down
AT1G72440	Col0_only_Down
AT1G73330	Col0_only_Down
AT1G73460	Col0_only_Down
AT1G76140	Col0_only_Down
AT1G76510	Col0_only_Down
AT1G76850	Col0_only_Down
AT1G76870	Col0_only_Down
AT1G77300	Col0_only_Down
AT1G79000	Col0_only_Down
AT1G79350	Col0_only_Down
AT1G80010	Col0_only_Down
AT1G80940	Col0_only_Down
AT2G02570	Col0_only_Down
AT2G02790	Col0_only_Down
AT2G03070	Col0_only_Down
AT2G05230	Col0_only_Down
AT2G15430	Col0_only_Down
AT2G15620	Col0_only_Down
AT2G16070	Col0_only_Down
AT2G17410	Col0_only_Down
AT2G17510	Col0_only_Down
AT2G17930	Col0_only_Down
AT2G18220	Col0_only_Down
AT2G18750	Col0_only_Down
AT2G19540	Col0_only_Down
AT2G21150	Col0_only_Down
AT2G21440	Col0_only_Down
AT2G22100	Col0_only_Down
AT2G22480	Col0_only_Down
AT2G24590	Col0_only_Down
AT2G25320	Col0_only_Down
AT2G25930	Col0_only_Down
AT2G26890	Col0_only_Down
