file	gene_id	external_gene_name	description	log2fc_wt	log2fc_ufm1	pval_wt	pval_ufm1	significant_in_wt	cluster
4hr_60S	cont_C00161	NA	NA	NA	NA	NA	NA	NS	NA
4hr_60S	cont_C00205	NA	NA	NA	NA	NA	NA	NS	NA
4hr_60S	AT3G22910	AT3G22910	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:821863]	NA	NA	NA	NA	NS	NA
4hr_60S	AT3G14040	AT3G14040	Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:820618]	NA	NA	NA	NA	NS	NA
4hr_60S	AT5G05980	DFB	DHFS-FPGS homolog B [Source:NCBI gene (formerly Entrezgene);Acc:830484]	NA	NA	NA	NA	NS	NA
4hr_60S	AT1G32470	AT1G32470	Single hybrid motif superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:840141]	NA	NA	NA	NA	NS	NA
4hr_60S	AT5G62930	AT5G62930	SGNH hydrolase-type esterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836413]	NA	NA	NA	NA	NS	NA
4hr_60S	AT1G13100	CYP71B29	cytochrome P450, family 71, subfamily B, polypeptide 29 [Source:NCBI gene (formerly Entrezgene);Acc:837867]	NA	NA	NA	NA	NS	NA
4hr_60S	AT5G45890	SAG12	senescence-associated 12 [Source:NCBI gene (formerly Entrezgene);Acc:834629]	NA	NA	NA	NA	NS	NA
4hr_60S	AT3G11800	AT3G11800	Expp1 protein [Source:NCBI gene (formerly Entrezgene);Acc:820353]	NA	NA	NA	NA	NS	NA
4hr_60S	AT3G14690	CYP72A15	cytochrome P450, family 72, subfamily A, polypeptide 15 [Source:NCBI gene (formerly Entrezgene);Acc:820697]	NA	NA	NA	NA	NS	NA
4hr_60S	AT3G19400	AT3G19400	Cysteine proteinases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821474]	NA	NA	NA	NA	NS	NA
4hr_60S	AT4G29330	DER1	DERLIN-1 [Source:NCBI gene (formerly Entrezgene);Acc:829054]	NA	NA	NA	NA	NS	NA
4hr_60S	AT4G10100	CNX7	co-factor for nitrate, reductase and xanthine dehydrogenase 7 [Source:NCBI gene (formerly Entrezgene);Acc:826601]	NA	NA	NA	NA	NS	NA
4hr_60S	AT5G05860	UGT76C2	UDP-glucosyl transferase 76C2 [Source:NCBI gene (formerly Entrezgene);Acc:830471]	NA	NA	NA	NA	NS	NA
4hr_60S	AT4G34960	AT4G34960	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:829648]	NA	NA	NA	NA	NS	NA
4hr_60S	AT4G34138	UGT73B1	UDP-glucosyl transferase 73B1 [Source:NCBI gene (formerly Entrezgene);Acc:829561]	NA	NA	NA	NA	NS	NA
