Accession_clean	logFC_col	P_col	logFC_ufm1	P_ufm1	Col0_state	ufm1_state	Dep_Accumulation	Dep_Depletion	external_name	description
AT3G54460	-0.4097602683473251	8.472913415167133e-7	-0.10816864179797037	0.00265923877178374	Down	Down	FALSE	FALSE	NA	NA
AT3G13360	2.0179401387622775	1.0182683375941236e-6	0.02999737599377283	0.80550548218883955	Up	NS	FALSE	FALSE	WIP3	NA
AT5G61020	-0.7071301762309368	4.997454591324482e-6	-0.39071354937432545	1.974129347473923e-4	Down	Down	FALSE	FALSE	ECT3	NA
AT1G77710	2.089641620999732	1.0423377036672428e-5	0	1	Up	NS	FALSE	FALSE	AtCCP2	NA
AT1G77710	2.089641620999732	1.0423377036672428e-5	0	1	Up	NS	FALSE	FALSE	CCP2	NA
AT5G01270	-1.0670392616378237	1.3912238517170394e-5	-0.32065476238688717	0.01195199692075284	Down	Down	FALSE	FALSE	ATCPL2	Encodes CPL2, a carboxyl-terminal domain (CTD) phosphatase that dephosphorylates CTD Ser5-PO4 of the RNA polymerase II complex.  Regulates plant growth, stress and auxin responses.
AT5G01270	-1.0670392616378237	1.3912238517170394e-5	-0.32065476238688717	0.01195199692075284	Down	Down	FALSE	FALSE	CER11	Encodes CPL2, a carboxyl-terminal domain (CTD) phosphatase that dephosphorylates CTD Ser5-PO4 of the RNA polymerase II complex.  Regulates plant growth, stress and auxin responses.
AT5G01270	-1.0670392616378237	1.3912238517170394e-5	-0.32065476238688717	0.01195199692075284	Down	Down	FALSE	FALSE	CPL2	Encodes CPL2, a carboxyl-terminal domain (CTD) phosphatase that dephosphorylates CTD Ser5-PO4 of the RNA polymerase II complex.  Regulates plant growth, stress and auxin responses.
AT1G52980	-0.5612413304098354	6.175480706290618e-5	-0.39900281645295976	4.733693311768623e-4	Down	Down	FALSE	FALSE	AtNug2	NA
AT1G52980	-0.5612413304098354	6.175480706290618e-5	-0.39900281645295976	4.733693311768623e-4	Down	Down	FALSE	FALSE	Nug2	NA
AT2G18193	0.8760423020635884	7.850456596869707e-5	0.6218783189972008	5.979109853253347e-4	Up	Up	FALSE	FALSE	NA	NA
AT4G33050	0.9156893184463932	8.375409643359583e-5	0.9613665604826842	6.21878487823491e-5	Up	Up	FALSE	FALSE	AtIQM1	NA
AT4G33050	0.9156893184463932	8.375409643359583e-5	0.9613665604826842	6.21878487823491e-5	Up	Up	FALSE	FALSE	EDA39	NA
AT4G33050	0.9156893184463932	8.375409643359583e-5	0.9613665604826842	6.21878487823491e-5	Up	Up	FALSE	FALSE	IQM1	NA
AT1G06460	-0.6462578962974668	9.848757553553584e-5	-0.3593563278441181	0.002790693327098	Down	Down	FALSE	FALSE	ACD31.2	ACD32.1 encodes an alpha-crystallin domain  containing protein with homology to small heat shock proteins.
AT1G06460	-0.6462578962974668	9.848757553553584e-5	-0.3593563278441181	0.002790693327098	Down	Down	FALSE	FALSE	ACD32.1	ACD32.1 encodes an alpha-crystallin domain  containing protein with homology to small heat shock proteins.
AT5G52820	-0.6134781371107358	1.2195085382594572e-4	-0.36654924352330553	0.00230347178477295	Down	Down	FALSE	FALSE	AtNLE	NA
AT5G52820	-0.6134781371107358	1.2195085382594572e-4	-0.36654924352330553	0.00230347178477295	Down	Down	FALSE	FALSE	NLE	NA
