gene_id	log2FC_Col0	padj_Col0	log2FC_ufm1	padj_ufm1	external_name	description
AT1G01010	0.9813604591734658	8.589178760263285e-4	0.7586948621941864	0.04525001068555149	NAC001	NAC domain containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:839580]
AT1G01020	0.46949840700764583	0.11256438812827836	0.3768417649942369	0.17689929217881997	ARV1	ARV1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839569]
AT1G01030	0.055326702063798	0.9294062148456704	-0.404485899585851	0.34566405569997166	NGA3	AP2/B3-like transcriptional factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:839321]
AT1G01040	-0.7996518566620122	0.05182398242738109	-0.407144496438678	0.27892710822642497	DCL1	dicer-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:839574]
AT1G01050	-0.7270025169428602	0.00188647817622068	-0.8306528690297742	2.5652977054789452e-5	PPa1	pyrophosphorylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839579]
AT1G01070	-0.3217425201920544	0.7215016257518297	-0.3944341389329501	0.7301861159565809	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:839550]
AT1G01080	-0.8082095781022036	0.06199290735649324	-0.8638394156190125	0.08485904378133183	AT1G01080	RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839463]
AT1G01090	-0.7000288902340597	0.00212652504278337	-1.049448430434535	6.954877105188002e-9	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha [Source:NCBI gene (formerly Entrezgene);Acc:839429]
AT1G01100	-0.7715864832337365	1.1347295553392416e-4	-0.7683101848282862	5.795345298275009e-5	AT1G01100	60S acidic ribosomal protein family [Source:NCBI gene (formerly Entrezgene);Acc:839410]
AT1G01110	0.31581819066909816	0.5605315138052337	0.02541653091846517	0.9715085878922882	IQD18	IQ-domain 18 [Source:NCBI gene (formerly Entrezgene);Acc:839394]
AT1G01120	1.2226502048119232	2.2598794590842244e-8	0.9411020111847348	6.08992719195962e-5	KCS1	3-ketoacyl-CoA synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839395]
AT1G01130	-1.1261967283848873	0.22152805765909037	0.06088044789277112	0.9729906748568468	AT1G01130	CBL-interacting Serine/Threonine-kinase [Source:NCBI gene (formerly Entrezgene);Acc:839359]
