Accession_clean	logFC_col	P_col	logFC_ufm1	P_ufm1	Col0_state	ufm1_state	Dep_Accumulation	Dep_Depletion	external_gene_name	description
AT1G69870	-1.52288362882262	3.12006372684319e-10	-1.26748138579337	6.381004427644311e-9	Down	Down	FALSE	FALSE	NRT1.7	nitrate transporter 1.7 [Source:NCBI gene (formerly Entrezgene);Acc:843323]
AT1G02816	-1.73084727830398	8.120751286960721e-10	0.750888180599727	8.98611162862104e-6	Down	Up	TRUE	FALSE	AT1G02816	pectinesterase (Protein of unknown function, DUF538) [Source:NCBI gene (formerly Entrezgene);Acc:839308]
AT2G17230	-1.28937297613464	1.984114287515e-9	-1.3828860133939	3.0315021000874905e-9	Down	Down	FALSE	FALSE	EXL5	EXORDIUM like 5 [Source:NCBI gene (formerly Entrezgene);Acc:816228]
AT3G50830	-1.61262013465615	2.26393018126665e-9	-0.0280607783000146	0.777794978107113	Down	NS	FALSE	FALSE	COR413-PM2	cold-regulated 413-plasma membrane 2 [Source:NCBI gene (formerly Entrezgene);Acc:824247]
AT1G61800	-1.44381940352675	2.59357788211797e-9	-0.596489057775445	3.8233586624361e-5	Down	Down	FALSE	FALSE	GPT2	glucose-6-phosphate/phosphate translocator 2 [Source:NCBI gene (formerly Entrezgene);Acc:842477]
AT4G25440	-3.11708057760931	5.2795767654467e-9	-0.11529117263266	0.485168219893409	Down	NS	FALSE	FALSE	ZFWD1	zinc finger WD40 repeat protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:828649]
AT5G14280	-1.32882070206754	6.2436281147613e-9	0.0959695355787122	0.301053034542865	Down	NS	FALSE	FALSE	AT5G14280	DNA-binding storekeeper-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831278]
AT3G48250	2.03493091238892	8.87380589830865e-9	-1.06744555673731	1.34756776908001e-5	Up	Down	FALSE	TRUE	BIR6	Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:823983]
AT1G80890	-1.50788379022275	9.51683988082415e-9	0.326714023926606	0.0101053572916798	Down	Up	TRUE	FALSE	AT1G80890	GAG1At protein [Source:NCBI gene (formerly Entrezgene);Acc:844429]
AT2G43150	-1.26705572651008	1.33460468360944e-8	-1.28372420321379	3.59193363545966e-8	Down	Down	FALSE	FALSE	AT2G43150	Proline-rich extensin-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:818917]
AT5G61820	-0.935728487378011	1.39306582175332e-8	-0.37967706443793	1.7901901297932e-4	Down	Down	FALSE	FALSE	AT5G61820	stress up-regulated Nod 19 protein [Source:NCBI gene (formerly Entrezgene);Acc:836304]
AT1G29740	-0.726083756081895	1.49647160788241e-8	0.117458625988318	0.0482510332902233	Down	Up	TRUE	FALSE	AT1G29740	Leucine-rich repeat transmembrane protein kinase [Source:NCBI gene (formerly Entrezgene);Acc:839852]
AT5G09510	-1.13542623975034	2.14328302109722e-8	0.408550176310323	6.3595490586164e-4	Down	Up	TRUE	FALSE	AT5G09510	Ribosomal protein S19 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830810]
AT5G21090	-1.13734682920469	2.24012985602352e-8	-1.05235796496061	1.47532759266798e-7	Down	Down	FALSE	FALSE	AT5G21090	Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:832233]
AT2G01850	-1.23694434919119	2.34783872512031e-8	-0.697007878695523	1.68519365558e-5	Down	Down	FALSE	FALSE	EXGT-A3	endoxyloglucan transferase A3 [Source:NCBI gene (formerly Entrezgene);Acc:814716]
AT1G05680	1.01294721937412	2.73567510396798e-8	0.694395601960746	3.21342359517818e-6	Up	Up	FALSE	FALSE	UGT74E2	Uridine diphosphate glycosyltransferase 74E2 [Source:NCBI gene (formerly Entrezgene);Acc:837075]
AT5G07010	-0.752655644430293	2.9827657557399e-8	-0.602594233799305	7.98446481577109e-7	Down	Down	FALSE	FALSE	ST2A	sulfotransferase 2A [Source:NCBI gene (formerly Entrezgene);Acc:830592]
AT1G72180	-0.768305711502847	3.26369042389449e-8	-0.537829550528046	3.11480622977177e-6	Down	Down	FALSE	FALSE	AT1G72180	Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843550]
AT1G61740	-0.89753331523233	5.73235701806684e-8	-0.971953628766887	7.87430166660297e-8	Down	Down	FALSE	FALSE	AT1G61740	Sulfite exporter TauE/SafE family protein [Source:NCBI gene (formerly Entrezgene);Acc:842471]
AT5G02610	-1.3039426440272	6.48016042146256e-8	0.119752783716519	0.297569822018312	Down	NS	FALSE	FALSE	AT5G02610	Ribosomal L29 family protein [Source:NCBI gene (formerly Entrezgene);Acc:831853]
AT5G41760	-1.01164909523243	8.77538303554488e-8	0.354328647326348	0.00209291355818775	Down	Up	TRUE	FALSE	AT5G41760	Nucleotide-sugar transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:834180]
AT2G18193	1.01117333869805	1.17207152490375e-7	0.892757867669253	1.16733799087215e-6	Up	Up	FALSE	FALSE	AT2G18193	P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816333]
AT3G53630	-0.921421042898736	1.31518301704042e-7	-0.0860985067227826	0.322447774068552	Down	NS	FALSE	FALSE	AT3G53630	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:824531]
