Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Acanthamoeba castellanii str. Neff	1257118	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/135/GCA_000313135.1_Acastellanii.strNEFF_v1/GCA_000313135.1_Acastellanii.strNEFF_v1_genomic.fna.gz	UP000011083_1257118	Uniprot
Albugo candida	65357	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/306/755/GCA_001306755.1_ASM130675v1/GCA_001306755.1_ASM130675v1_genomic.fna.gz	UP000053237_65357	Uniprot
Alligator mississippiensis	8496	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/125/GCA_000281125.4_ASM28112v4/GCA_000281125.4_ASM28112v4_genomic.fna.gz	UP000050525_8496	Uniprot
Amborella trichopoda	13333	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/471/905/GCA_000471905.1_AMTR1.0/GCA_000471905.1_AMTR1.0_genomic.fna.gz	UP000017836_13333	Uniprot
Amphimedon queenslandica	400682	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/795/GCA_000090795.1_v1.0/GCA_000090795.1_v1.0_genomic.fna.gz	UP000007879_400682	Uniprot
Aphanomyces astaci	112090	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/075/GCA_000520075.1_Apha_asta_APO3_V1/GCA_000520075.1_Apha_asta_APO3_V1_genomic.fna.gz	UP000019040_112090	Uniprot
Arabidopsis thaliana	3702	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/735/GCA_000001735.2_TAIR10.1/GCA_000001735.2_TAIR10.1_genomic.fna.gz	UP000006548_3702	Uniprot
Aspergillus oryzae RIB40	510516	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/455/GCA_000184455.3_ASM18445v3/GCA_000184455.3_ASM18445v3_genomic.fna.gz	UP000006564_510516	Uniprot
Aureococcus anophagefferens	44056	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/865/GCA_000186865.1_v_1.0/GCA_000186865.1_v_1.0_genomic.fna.gz	UP000002729_44056	Uniprot
Auxenochlorella protothecoides	3075	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/215/GCA_000733215.1_ASM73321v1/GCA_000733215.1_ASM73321v1_genomic.fna.gz	UP000028924_3075	Uniprot
Babesia bovis	5865	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/395/GCA_000165395.1_ASM16539v1/GCA_000165395.1_ASM16539v1_genomic.fna.gz	UP000002173_5865	Uniprot
Bathycoccus prasinos	41875	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/235/GCA_002220235.1_ASM222023v1/GCA_002220235.1_ASM222023v1_genomic.fna.gz	UP000198341_41875	Uniprot
Batrachochytrium dendrobatidis JAM81	684364	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/795/GCA_000203795.1_v1.0/GCA_000203795.1_v1.0_genomic.fna.gz	UP000007241_684364	Uniprot
Besnoitia besnoiti	94643	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/563/875/GCA_002563875.1_Bbes1.0/GCA_002563875.1_Bbes1.0_genomic.fna.gz	UP000224006_94643	Uniprot
Bigelowiella natans	227086	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/545/GCA_000320545.1_Bigna1/GCA_000320545.1_Bigna1_genomic.fna.gz	https://genome.jgi.doe.gov/portal/Bigna1/download/Bigna1_filtered_proteins.fasta.gz	JGI
Blastocystis hominis	12968	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/665/GCA_000151665.1_ASM15166v1/GCA_000151665.1_ASM15166v1_genomic.fna.gz	UP000008312_12968	Uniprot
Bodo saltans	75058	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/460/835/GCA_001460835.1_BSAL/GCA_001460835.1_BSAL_genomic.fna.gz	UP000051952_75058	Uniprot
Bos taurus	9913	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/795/GCA_002263795.2_ARS-UCD1.2/GCA_002263795.2_ARS-UCD1.2_genomic.fna.gz	UP000009136_9913	Uniprot
Branchiostoma floridae	7739	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.1_Version_2/GCA_000003815.1_Version_2_genomic.fna.gz	UP000001554_7739	Uniprot
Cafeteria roenbergensis	33653	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/330/645/GCA_008330645.1_CrBVI/GCA_008330645.1_CrBVI_genomic.fna.gz	UP000323011_33653	Uniprot
Candida albicans SC5314	237561	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/965/GCA_000182965.3_ASM18296v3/GCA_000182965.3_ASM18296v3_genomic.fna.gz	UP000000559_237561	Uniprot
