cluster	type	pvalue	present_median	present_average	present_consistency	absent_median	absent_average	absent_consistency	pbc
I14_OG001953	not significant	0.09386	1.0	0.5454545454545454	0.5454545454545454	0.0	0.125	0.125	0.4524
I20_OG005167	not significant	0.86665	0	0.22727272727272727	0.2727272727272727	0.0	0.3125	0.3125	-0.0957
I14_OG003618	not significant	0.58653	1.0	0.7272727272727273	0.8181818181818181	0.5	0.5	0.5	0.2365
I14_OG009134	not significant	0.28021	1	0.5454545454545454	0.5454545454545454	0.0	0.25	0.25	0.3006
I14_OG001411	not significant	0.85335	0	0.2727272727272727	0.36363636363636365	0.0	0.1875	0.1875	0.1066
I60_OG000161	present_enriched	0.00019	1	0.5909090909090909	0.6363636363636364	0.0	0.34375	0.375	0.2541
I60_OG001794	not significant	0.92775	0	0.22727272727272727	0.2727272727272727	0.0	0.1875	0.1875	0.05
I14_OG001947	not significant	0.54142	1	0.9545454545454546	1.0	1.0	1.0	1.0	-0.2365
I60_OG001460	not significant	0.78766	0	0.18181818181818182	0.2727272727272727	0.0	0.09375	0.125	0.1484
I14_OG008840	not significant	0.49679	0	0.13636363636363635	0.18181818181818177	0.0	0.0625	0.0625	0.1327
I14_OG000988	not significant	0.84493	1.0	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I60_OG000001	not significant	0.01986	0	0.13636363636363635	0.18181818181818177	0.0	0.1875	0.1875	-0.0698
I14_OG001327	not significant	0.95536	1	0.8636363636363636	0.9090909090909091	1.0	0.84375	0.875	0.0298
I60_OG007372	not significant	0.7286	1	0.7272727272727273	0.7272727272727273	1.0	0.5625	0.5625	0.1677
I14_OG000698	not significant	0.155	1	0.9090909090909091	0.9090909090909091	1.0	0.6875	0.6875	0.2619
I14_OG001593	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG003432	not significant	0.19321	1	1.0	1.0	1.0	0.71875	0.75	0.3838
I60_OG002891	not significant	0.93022	0	0.22727272727272727	0.2727272727272727	0.0	0.1875	0.1875	0.05
I14_OG003170	not significant	0.7987	0	0.2727272727272727	0.2727272727272727	0.0	0.1875	0.1875	0.1007
I20_OG000415	not significant	0.18788	1	1.0	1.0	1.0	0.78125	0.8125	0.334
I20_OG000629	not significant	0.96479	1.0	0.7727272727272727	0.8181818181818181	1.0	0.75	0.75	0.0268
I14_OG000391	not significant	0.54332	0	0.3181818181818182	0.36363636363636365	0.0	0.15625	0.1875	0.2025
I20_OG003877	not significant	0.7353	0	0.09090909090909091	0.09090909090909094	0.0	0.21875	0.25	-0.1745
I14_OG000475	not significant	0.86721	1.0	0.5454545454545454	0.5454545454545454	0.5	0.5	0.5	0.0447
I14_OG002024	not significant	0.58542	1	1.0	1.0	1.0	0.90625	0.9375	0.2216
I14_OG005796	not significant	0.74072	1.0	0.5454545454545454	0.5454545454545454	0.0	0.40625	0.4375	0.1398
I60_OG000114	not significant	0.02165	1.0	0.6363636363636364	0.6363636363636364	0.0	0.4375	0.4375	0.1956
I20_OG003862	not significant	0.88275	0	0.13636363636363635	0.18181818181818177	0.0	0.1875	0.1875	-0.0698
I14_OG001370	not significant	0.99906	1.0	0.6818181818181818	0.7272727272727273	1.0	0.6875	0.6875	-0.0061
I14_OG004569	not significant	0.10402	0.0	0.45454545454545453	0.4545454545454546	0.0	0.125	0.125	0.3695
I20_OG000957	not significant	0.82984	1	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I14_OG000413	not significant	0.45287	0.0	0.4090909090909091	0.4545454545454546	0.0	0.25	0.25	0.172
I14_OG000808	not significant	0.07924	1.0	0.8636363636363636	0.9090909090909091	0.25	0.46875	0.5	0.4188
I14_OG000537	not significant	0.67997	0	0.36363636363636365	0.4545454545454546	1.0	0.5625	0.5625	-0.2032
I14_OG004115	not significant	0.91508	1.0	0.5909090909090909	0.6363636363636364	0.75	0.53125	0.5625	0.0613
I20_OG000658	not significant	0.6784	0	0.09090909090909091	0.09090909090909094	0.0	0.25	0.25	-0.2012
I14_OG001917	not significant	0.73125	1	0.7272727272727273	0.7272727272727273	1.0	0.5625	0.5625	0.1677
I20_OG002167	not significant	0.79652	0	0.36363636363636365	0.36363636363636365	0.0	0.25	0.25	0.1223
I14_OG001875	not significant	0.96631	1.0	0.7272727272727273	0.7272727272727273	1.0	0.75	0.75	-0.0255
I14_OG004606	not significant	0.23033	1	0.8181818181818182	0.8181818181818181	0.25	0.46875	0.5	0.3593
I20_OG002269	not significant	0.28858	0.5	0.5	0.5454545454545454	0.0	0.1875	0.1875	0.3379
