RefName	sample1and2	sample3and4	m5and6	m7and8	TD_pt	TT_pt	length	Col.DMSO.Mo	Col.Tun.Mo	Col.DMSO.Di	Col.Tun.Di	TD.tpm	TT.tpm	CD.tpm	CT.tpm	MD.tpm	MT.tpm	MDvsCD	MTvsCT	CTvsCD	MTvsMD	TTvsTD	Colision_Col.DMSO	Colision_Col.Tun	tiles	CDS.gtf	five_prime_UTR.gtf	three_prime_UTR.gtf	m6aPerc.Total_DMSO2	m6aPerc.Total_Tunica	m6aPerc.CD.m6a	m6aPerc.sample3and4	m6aPerc.MD.m6a	m6aPerc.MT.m6a
AT1G01010	92.75	60.5	42.5	59.75	44	49	2268	0.23669	0.215641	0.0667	0.176995	16.981841559409226	25.976196768565764	31.052238055245745	28.649190660367708	25.482052827107783	30.190693456333037	-0.28521574743252526	0.07560951137218598	-0.1162028693976347	0.24462238940707656	0.6131973007845376	-1.8272400879016597	-0.2849228993248953	2	2268	128	268	1.993757862	1.339301994	2.5658421948	0.8892650463	1.05375259995	1.3934942325000002
AT1G01020	99.5	53	77	69.5	147	72	2342	0.083642	0.107572	0.200538	0.044009	19.407818925039116	27.105596628068614	42.05891450963347	50.136083655643496	11.290130067151516	15.546680725750164	-1.897349509640019	-1.6892427130133487	0.25343768916704873	0.4615444857937192	0.4819527675062846	1.2615761749020735	-1.2894321111386702	1	2342	106.5	141.5	3.258955026	3.243107923	4.125734885	3.333275862	4.8491626625	5.137311475000001
AT1G01030	35	37	43.25	51	71	65	2065	0.038415	0.036498	0.015119	0.012838	9.70390946251956	10.164598735525734	13.86858285832728	35.811488325459635	10.46057802926919	12.341500964986178	-0.40685780138154326	-1.5369046135591986	1.36860210288527	0.23855529070761464	0.06691526822744082	-1.3453070335916764	-1.507396943940502	2	2065	305.5	214	1.272698413	1.077685446	3.558854167	1.072557756	1.1492279905	1.6573969965000002
AT1G01040	109	26	83.25	97.5	141	95.5	8106	0.069325	0.060511	0.012784	0.038858	26.68575102192878	14.68219817353717	31.958569924548996	14.324595330183854	20.21973185410976	28.60653504049219	-0.6604389873613453	0.9978503787388088	-1.1577084688689845	0.5005808972311695	-0.8620016337110762	-2.4390363978862264	-0.6389857786234857	1	7905	249.5	93.5	2.834649785	1.158573421	4.635042924	8.185555556	2.5028156145	3.155880591
AT1G01050	64.5	32	43.5	40.5	55	43	2001	2.168838	2.512447	1.610583	2.366785	303.2471707037362	394.16055096649785	214.51597675606175	257.8427159433094	105.5314282056645	129.86223210047206	-1.02341239056191	-0.9895093779290808	0.2654061889741397	0.2993092016069692	0.37828920833269386	-0.4293392851534716	-0.08616450615566093	1	1814	156	211	3.149118375	3.609916846	3.069359938	3.365504016	3.6804630245	3.8086909665
AT1G01060	63	38	36.5	63.75	56	43	4506	0.062251	0.047879	0	0.013473	43.667592581338006	63.24639213216012	73.56431849953083	42.97378599055156	52.65524168834364	30.798458018842016	-0.4824290189801168	-0.48059876258315726	-0.7755492896646006	-0.773719033267641	0.5344201874004206	-Inf	-1.8293218925401011	2	4146	174	217	1.99183209	1.547617647	2.6184914815	2.28332381	2.289315503	2.3402370835
AT1G01070	52	75	57.75	57.5	74	49.5	2573	0.143536	0.074126	0.019966	0.01412	14.555864193779335	5.646999297514296	NA	7.162297665091927	13.49049855552765	8.602282499877797	NA	0.26429703200955224	NA	-0.6491522501475301	-1.366044139048665	-2.8457953854897085	-2.3922395739205022	NA	2383	243	299	1.134422311	2.261862948	NA	.	1.527421456	1.559586641
AT1G01080	79	77	69.5	52.5	73	51	2089	0.778419	0.559922	0.498526	0.46108	66.71437755482197	44.046594520611514	33.616106093844586	50.13608365564349	47.966217086320526	37.81658210287896	0.5128660438009046	-0.4068303283922612	0.576696685143739	-0.3429996870494269	-0.5989672278772825	-0.6428781759552367	-0.28020877820499823	3	2089	269	532	1.532938672	1.222837037	2.064066396	3.899472789	1.6872112255	1.783415434
AT1G01100	49.5	33	32	37.5	38	37	1301	16.190435	15.460666	19.21135	17.297184	2423.5513882642344	1922.238560873855	2149.977248499183	2248.9614668388635	949.3508008317252	954.0357403037414	-1.179308202429625	-1.2371437236147134	0.06493754953975737	0.00710202835466915	-0.33433527932132057	0.24681715404958424	0.16193471702883705	1	1102	26	193	4.416935674	4.387015051	5.9259398150000004	5.933333333	5.9376962965	5.348535096
AT1G01120	50.75	50	40	43.5	45.5	46.5	2051	2.291882	1.311984	1.783093	0.960451	NA	1.1293998595028594	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.3621508163690924	-0.4499662081071621	NA	2051	236	227	1.233664745	0.9238309179	0.7918544060999999	0.9662765957	1.14069275535	0.83193508755
AT1G01140	75.5	61	53	67	80.5	60.5	3608	0.919733	0.635086	0.578794	0.468008	65.50138887200703	49.69359381812584	111.85499473592148	78.78527431601121	93.60393785081118	115.82598393239816	-0.25698855011439087	0.5559610308282595	-0.5056317722892908	0.30731780865335945	-0.39846561674104186	-0.6681651387918538	-0.44041877622307773	2	3458	112	230	1.662877619	1.532810759	2.014578704	2.324909441	1.9808260425	1.660290796
AT1G01160	65.75	114	68.25	61	63	48	1757	0.504696	0.602358	0.452427	0.486628	99.46507199082536	81.3167898842059	79.44325887672085	57.298381320735416	46.435240844009584	63.475977886183195	-0.7747046877933711	0.1477163322185263	-0.4714304220822494	0.450990597929648	-0.29063673639064025	-0.1577296232634116	-0.30780184656333376	1	1748	234	212	1.92899715	2.738381766	4.2585283585000004	4.910530382	2.9016435685	3.7268377995
AT1G01170	59.75	40.5	46	51	58	47	806	2.778818	2.836554	1.611211	2.012011	61.86242282356217	70.02279128917728	106.7272586587238	107.4344649763789	30.744373800105805	22.491078951622537	-1.7955343670365875	-2.25603210667459	0.00952818961909141	-0.4509695500189106	0.1787612352005088	-0.7863259096331575	-0.4955011365013768	1	803	40.5	173	3.318875335	4.678518797	4.6009161160000005	4.169575355	4.941293312	5.293933333
AT1G01210	40	47	45.5	31	42	45	1880	0.196708	0.246261	0	0.034775	97.039094625195645	100.51658749575432	205.01170890165872	229.19352528294152	41.23698378773843	46.2714128864276	-2.3136955911136647	-2.3083732315023884	0.1608599793320877	0.16618233894336426	0.05079560286416098	-Inf	-2.824065748510228	1	1123	89.5	215	3.215719697	3.062476077	4.375536576	3.422422481	3.2880116485	2.8131512345000003
AT1G01220	79.75	33	49.5	72.5	86	34.5	4339	0.218162	0.18503	0.068554	0.06051	21.833796290669	19.199797611548604	18.089987066221717	21.48689299527578	42.03450386725733	49.40286678902701	1.2163826686120314	1.2011378779553237	0.2482655076668693	0.23302071701016192	-0.18547189340684408	-1.670087079153151	-1.6125137125371776	3	4319.5	301.5	128	2.069883721	1.553962387	6.904761905	1.635	1.509659664	1.833335822
AT1G01225	NA	39.5	69.25	55	29	73	1472	0.065447	0.039897	0	0.024621	4.851954731259779	1.1293998595028594	NA	NA	4.528864810205976	3.9235331105198306	NA	NA	NA	-0.20699609947996303	-2.103009733214871	-Inf	-0.6963909099269664	NA	1472	128	164	2.595286976	.	NA	.	3.557009486	2.593435871
AT1G01230	72	20	36	53.75	53	50	1828	1.031823	1.072236	1.340657	1.154689	123.72484564712434	136.65738299984596	73.56431849953083	35.811488325459635	132.80071294199064	121.81289353682858	0.8521848129072306	1.766172462934024	-1.0385836954983942	-0.1245960454716008	0.14342816208822787	0.3777446679939807	0.10688185431774516	3	1828	207	193	3.304867021	3.500666667	3.3262172285	8.090848485	3.7338694385	4.347393535
