ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	event_type	ID	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM	FDR	IncLevelDifference	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	inc_len_bp	exc_len_bp	inc_cds_overlap_bp	exc_cds_overlap_bp	inc_touches_cds	exc_touches_cds	inc_cds_overlap_mod3	exc_cds_overlap_mod3	delta_cds_overlap_bp	delta_cds_overlap_mod3	frameshift_candidate_inc	frameshift_candidate_delta	cds_overlap_bp	touches_cds	cds_overlap_mod3	frameshift_candidate	advanced_n_transcripts_matched	advanced_any_protein_pair	advanced_transcript_ids	inclusion_transcript_ids	exclusion_transcript_ids	advanced_overlaps_start_codon_any	advanced_overlaps_stop_codon_any	advanced_frameshift_any	advanced_frameshift_frac	advanced_nmd_proxy_any	RI_Position	Event_Position	dataset
14	ENSG00000102125	TAFAZZIN	chrX	+							14	46,21,72	46,37,93	7,15,18	46,19,63	266	149	0.00158052042713	0.0080563185861688	0.359,0.241,0.302	0.079,0.307,0.138	0.126					RI	chrX|+|154420031|154420264|154420031|154420094|154420211|154420264	0.0080563185861688	0.126	0.3006666666666666	0.1746666666666666	483					154420031	154420094	154420211	154420264								154420031	154420264	24,8,45,5,13,10	22,15,31,3,3,8	0,0,0,0,0,0	46,37,93,46,19,63						14	chrX	+							14	35,37,77	23,37,54	13,46,20	68,46,29	266	149	0.00159727994729	0.0078587566769137	0.46,0.359,0.444	0.097,0.359,0.279	0.176					0.0078587566769137	0.176	0.421	0.245	485					154420031	154420094	154420211	154420264								154420031	154420264	7,22,54,9,22,7	28,15,29,6,25,16	0,0,0,0,0,0	23,37,54,68,46,29						0.0080563185861688	0.126	X	+	154420031	154420264	154420031	154420094	154420211	154420264	233	0	1572	0	True	False	0.0		1572	0	False	False	1572	True	0.0	False	1	True	ENST00000369776	ENST00000369776	ENST00000426231;ENST00000439735;ENST00000470127;ENST00000475699;ENST00000483674;ENST00000494912;ENST00000498029;ENST00000601016;ENST00000612012;ENST00000612460;ENST00000613002;ENST00000613634;ENST00000614595;ENST00000615658;ENST00000615986;ENST00000616020;ENST00000617701;ENST00000620808;ENST00000652354;ENST00000652358;ENST00000652390;ENST00000652476;ENST00000652644;ENST00000652682;ENST00000652685;ENST00000698234;ENST00000698317;ENST00000698318;ENST00000698319;ENST00000698320	False	False	True	1.0	True	CDS	CDS	UFM1_independent
19	ENSG00000196924	FLNA	chrX	-							19	6290,5734,6868	1184,1023,1340	10138,9613,11286	1070,960,1152	850	149	2.1368462555e-12	1.2599174268005768e-10	0.482,0.496,0.473	0.624,0.637,0.632	-0.147					RI	chrX|-|154350030|154351696|154350030|154350207|154350908|154351696	1.2599174268005768e-10	-0.147	0.4836666666666666	0.631	56658					154350030	154350207	154350908	154351696								154350030	154351696	1175,1125,1314,1847,1666,2075	960,801,919,1393,1457,1624	4155,3808,4635,6898,6490,7587	1184,1023,1340,1070,960,1152						19	chrX	-							19	5038,6085,7345	931,1474,1542	8945,7875,8977	957,932,1100	850	149	2.31314967181e-12	1.2253606024614548e-10	0.487,0.42,0.455	0.621,0.597,0.589	-0.148					1.2253606024614548e-10	-0.148	0.454	0.6023333333333333	51201					154350030	154350207	154350908	154351696								154350030	154351696	944,1020,1386,1653,1467,1764	718,859,1000,1318,1066,1202	3376,4206,4959,5974,5342,6011	931,1474,1542,957,932,1100						1.2599174268005768e-10	-0.147	X	-	154350030	154351696	154350030	154350207	154350908	154351696	1666	0	1820	0	True	False	2.0		1820	2	True	True	1820	True	2.0	True	1	False	ENST00000490936	ENST00000490936	ENST00000360319;ENST00000369850;ENST00000369856;ENST00000420627;ENST00000422373;ENST00000444578;ENST00000462590;ENST00000498411;ENST00000498491;ENST00000610817;ENST00000673639;ENST00000676696;ENST00000678304	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
85	ENSG00000001497	LAS1L	chrX	-							85	633,678,839	14,10,19	538,489,754	54,26,48	2385	149	3.04985137145e-09	9.122774931576293e-08	0.739,0.809,0.734	0.384,0.54,0.495	0.288					RI	chrX|-|65517986|65522285|65517986|65518465|65520701|65522285	9.122774931576293e-08	0.288	0.7606666666666667	0.473	4102					65517986	65518465	65520701	65522285								65517986	65522285	51,44,53,56,25,41	122,106,173,123,88,117	460,528,613,359,376,596	14,10,19,54,26,48						85	chrX	-							85	677,736,848	6,9,26	556,635,596	43,33,57	2385	149	1.59607267403e-08	3.934156276925376e-07	0.876,0.836,0.671	0.447,0.546,0.395	0.332					3.934156276925376e-07	0.332	0.7943333333333333	0.4626666666666666	4222					65517986	65518465	65520701	65522285								65517986	65522285	56,51,76,41,39,34	156,166,232,134,146,123	465,519,540,381,450,439	6,9,26,43,33,57						9.122774931576293e-08	0.288	X	-	65517986	65522285	65517986	65518465	65520701	65522285	4299	0	2612	0	True	False	2.0		2612	2	True	True	2612	True	2.0	True	2	False	ENST00000679056;ENST00000679277	ENST00000679056;ENST00000679277	ENST00000374804;ENST00000374807;ENST00000374811;ENST00000469091;ENST00000484069;ENST00000676986;ENST00000677056;ENST00000677087;ENST00000677154;ENST00000677834;ENST00000677969;ENST00000677986;ENST00000678074;ENST00000678173;ENST00000678547;ENST00000678570;ENST00000678705;ENST00000678823;ENST00000678848;ENST00000678956;ENST00000679116;ENST00000679261	False	False	False	0.0	False	Stop_Codon	Stop_Codon	UFM1_independent
97	ENSG00000186787	SPIN2B	chrX	-							97	31,48,17	2,0,4	41,2,7	0,0,0	452	149	0.00316983308644	0.0142712309001836	0.836,1.0,0.584	1.0,1.0,1.0	-0.193					RI	chrX|-|57119681|57120631|57119681|57120101|57120404|57120631	0.0142712309001836	-0.193	0.8066666666666666	1.0	152					57119681	57120101	57120404	57120631								57119681	57120631	4,3,0,6,0,1	2,0,0,0,1,0	25,45,17,35,1,6	2,0,4,0,0,0						97	chrX	-							97	24,13,45	7,0,1	11,10,5	0,0,0	452	149	0.000256308307762	0.0016643503984674	0.531,1.0,0.937	1.0,1.0,1.0	-0.177					0.0016643503984674	-0.177	0.8226666666666667	1.0	116					57119681	57120101	57120404	57120631								57119681	57120631	5,1,5,2,4,2	0,1,0,0,3,0	19,11,40,9,3,3	7,0,1,0,0,0						0.0142712309001836	-0.193	X	-	57119681	57120631	57119681	57120101	57120404	57120631	950	0	2979	0	True	False	0.0		2979	0	False	False	2979	True	0.0	False	1	True	ENST00000434397	ENST00000434397	ENST00000275988;ENST00000333933;ENST00000374910;ENST00000460948	True	True	False	0.0	False	CDS	CDS	UFM1_independent
118	ENSG00000102312	PORCN	chrX	+							118	231,147,192	0,0,0	150,163,105	3,0,4	1536	149	0.000763332979749	0.0044834845132383	1.0,1.0,1.0	0.829,1.0,0.718	0.151					RI	chrX|+|48512834|48514365|48512834|48512852|48514239|48514365	0.0044834845132383	0.151	1.0	0.849	995					48512834	48512852	48514239	48514365								48512834	48514365	21,13,9,22,12,7	41,16,27,8,18,16	169,118,156,120,133,82	0,0,0,3,0,4						118	chrX	+							118	317,208,297	0,2,2	141,122,88	0,8,2	1536	149	0.00333926410635	0.0145706762559592	1.0,0.91,0.935	1.0,0.597,0.81	0.146					0.0145706762559592	0.146	0.9483333333333334	0.8023333333333333	1187					48512834	48512852	48514239	48514365								48512834	48514365	5,44,1,3,13,7	19,6,14,8,8,8	293,158,282,130,101,73	0,2,2,0,8,2						0.0044834845132383	0.151	X	+	48512834	48514365	48512834	48512852	48514239	48514365	1531	0	948	0	True	False	0.0		948	0	False	False	948	True	0.0	False	1	False	ENST00000684722	ENST00000684722	ENST00000326194;ENST00000355961;ENST00000359882;ENST00000361988;ENST00000367574;ENST00000472520;ENST00000485288;ENST00000491243;ENST00000537758;ENST00000682661;ENST00000683923	False	False	False	0.0	False	CDS	CDS	UFM1_independent
130	ENSG00000215301	DDX3X	chrX	+							130	559,473,599	460,491,547	1066,860,1233	431,420,463	1027	149	1.11022302463e-16	1.2377977430965744e-14	0.15,0.123,0.137	0.264,0.229,0.279	-0.121					RI	chrX|+|41341483|41342653|41341483|41341616|41342494|41342653	1.2377977430965744e-14	-0.121	0.1366666666666666	0.2573333333333333	7602					41341483	41341616	41342494	41342653								41341483	41342653	94,92,89,209,131,214	66,81,93,199,138,200	399,300,417,658,591,819	460,491,547,431,420,463						130	chrX	+							130	454,354,713	508,586,400	1014,866,1104	363,321,316	1027	149	0.0	0.0	0.115,0.081,0.205	0.288,0.281,0.336	-0.168					0.0	-0.168	0.1336666666666666	0.3016666666666667	6999					41341483	41341616	41342494	41342653								41341483	41342653	104,52,128,181,151,292	69,30,83,183,96,188	281,272,502,650,619,624	508,586,400,363,321,316						1.2377977430965744e-14	-0.121	X	+	41341483	41342653	41341483	41341616	41342494	41342653	1170	0	7332	0	True	False	0.0		7332	0	False	False	7332	True	0.0	False	3	False	ENST00000642722;ENST00000645561;ENST00000646196	ENST00000642722;ENST00000645561;ENST00000646196	ENST00000399959;ENST00000441189;ENST00000457138;ENST00000478993;ENST00000542215;ENST00000610559;ENST00000611546;ENST00000615313;ENST00000615742;ENST00000622198;ENST00000625837;ENST00000626301;ENST00000629496;ENST00000629785;ENST00000630255;ENST00000630370;ENST00000630858;ENST00000631641;ENST00000642161;ENST00000642322;ENST00000642424;ENST00000642589;ENST00000642597;ENST00000642624;ENST00000642687;ENST00000642763;ENST00000642793;ENST00000643963;ENST00000644073;ENST00000644074;ENST00000644109;ENST00000644260;ENST00000644307;ENST00000644513;ENST00000644677;ENST00000644876;ENST00000644958;ENST00000645080;ENST00000645120;ENST00000645253;ENST00000645338;ENST00000645380;ENST00000645574;ENST00000645589;ENST00000645783;ENST00000646107;ENST00000646122;ENST00000646223;ENST00000646319;ENST00000646390;ENST00000646627;ENST00000646679;ENST00000646822;ENST00000646940;ENST00000647219;ENST00000647286	False	False	False	0.0	False	Stop_Codon	Stop_Codon	UFM1_independent
144	ENSG00000182220	ATP6AP2	chrX	+							144	49,40,27	0,8,0	24,62,64	0,0,0	1189	149	0.00231342677758	0.0110224809635746	1.0,0.385,1.0	1.0,1.0,1.0	-0.205					RI	chrX|+|40599591|40600881|40599591|40599741|40600781|40600881	0.0110224809635746	-0.205	0.795	1.0	274					40599591	40599741	40600781	40600881								40599591	40600881	4,3,7,10,24,11	14,11,2,6,24,11	31,26,18,8,14,42	0,8,0,0,0,0						144	chrX	+							144	31,72,53	0,0,0	24,48,41	10,0,0	1189	149	0.0052323153403	0.0210092768218561	1.0,1.0,1.0	0.231,1.0,1.0	0.256					0.0210092768218561	0.256	1.0	0.7436666666666667	279					40599591	40599741	40600781	40600881								40599591	40600881	0,6,0,5,22,15	9,22,6,0,0,0	22,44,47,19,26,26	0,0,0,10,0,0						0.0110224809635746	-0.205	X	+	40599591	40600881	40599591	40599741	40600781	40600881	1290	0	4076	0	True	False	2.0		4076	2	True	True	4076	True	2.0	True	1	False	ENST00000635829	ENST00000635829	ENST00000378438;ENST00000423649;ENST00000447485;ENST00000486558;ENST00000635734;ENST00000635774;ENST00000636196;ENST00000636251;ENST00000636287;ENST00000636409;ENST00000636574;ENST00000636580;ENST00000636639;ENST00000636787;ENST00000636970;ENST00000637019;ENST00000637140;ENST00000637165;ENST00000637327;ENST00000637482;ENST00000637526;ENST00000637614;ENST00000637793;ENST00000637930;ENST00000637955;ENST00000638046;ENST00000638153	False	False	False	0.0	False	CDS	CDS	UFM1_independent
159	ENSG00000100429	HDAC10	chr22	-							159	259,349,279	161,198,214	139,154,135	156,154,221	231	149	1.19758495776e-06	1.7743269750364057e-05	0.509,0.532,0.457	0.365,0.392,0.283	0.153					RI	chr22|-|50245674|50246092|50245674|50245827|50245909|50246092	1.7743269750364057e-05	0.153	0.4993333333333333	0.3466666666666667	2419					50245674	50245827	50245909	50246092								50245674	50246092	218,237,215,96,91,94	66,138,86,50,69,46	0,0,0,0,6,0	161,198,214,156,154,221						159	chr22	-							159	212,318,336	132,221,249	126,152,168	160,243,169	231	149	1.29357167933e-06	1.9099949563505796e-05	0.509,0.481,0.465	0.337,0.287,0.391	0.147					1.9099949563505796e-05	0.147	0.485	0.3383333333333333	2486					50245674	50245827	50245909	50246092								50245674	50246092	139,240,263,98,123,135	82,101,124,45,39,55	0,0,2,0,0,0	132,221,249,160,243,169						1.7743269750364057e-05	0.153	22	-	50245674	50246092	50245674	50245827	50245909	50246092	418	0	1008	0	True	False	0.0		1008	0	False	False	1008	True	0.0	False	2	False	ENST00000454936;ENST00000477814	ENST00000454936;ENST00000477814	ENST00000216271;ENST00000349505;ENST00000415993;ENST00000429374;ENST00000448072;ENST00000483222;ENST00000496235;ENST00000497952;ENST00000498366;ENST00000626012	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
160	ENSG00000100429	HDAC10	chr22	-							160	602,506,549	346,544,533	109,116,115	309,302,441	451	149	0.0	0.0	0.365,0.235,0.254	0.104,0.113,0.079	0.186					RI	chr22|-|50246297|50246735|50246297|50246376|50246678|50246735	0.0	0.186	0.2846666666666667	0.0986666666666666	4472					50246297	50246376	50246678	50246735								50246297	50246735	231,105,154,27,35,15	95,50,78,24,27,36	276,351,317,58,54,64	346,544,533,309,302,441						160	chr22	-							160	478,625,533	363,488,522	90,128,132	251,362,414	451	149	0.0	0.0	0.303,0.297,0.252	0.106,0.105,0.095	0.182					0.0	0.182	0.284	0.102	4386					50246297	50246376	50246678	50246735								50246297	50246735	141,189,154,30,55,37	90,107,90,14,5,22	247,329,289,46,68,73	363,488,522,251,362,414						0.0	0.186	22	-	50246297	50246735	50246297	50246376	50246678	50246735	438	0	408	0	True	False	0.0		408	0	False	False	408	True	0.0	False	1	False	ENST00000497952	ENST00000497952	ENST00000216271;ENST00000349505;ENST00000415993;ENST00000429374;ENST00000448072;ENST00000454936;ENST00000471375;ENST00000477814;ENST00000483222;ENST00000496235;ENST00000498366;ENST00000626012	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
175	ENSG00000100359	SGSM3	chr22	+							175	117,194,209	342,350,343	51,77,81	251,376,358	239	149	2.44535725002e-10	9.58505909036744e-09	0.176,0.257,0.275	0.112,0.113,0.124	0.12					RI	chr22|+|40408793|40409372|40408793|40408842|40408932|40409372	9.58505909036744e-09	0.12	0.236	0.1163333333333333	2749					40408793	40408842	40408932	40409372								40408793	40409372	28,121,118,33,23,18	111,126,144,32,71,76	0,0,0,0,0,0	342,350,343,251,376,358						175	chr22	+							175	90,231,347	222,365,445	84,90,101	262,250,438	239	149	2.91229053317e-07	5.313390492390825e-06	0.202,0.283,0.327	0.167,0.183,0.126	0.112					5.313390492390825e-06	0.112	0.2706666666666666	0.1586666666666666	2925					40408793	40408842	40408932	40409372								40408793	40409372	50,81,160,43,42,39	65,204,257,52,67,79	0,0,0,0,0,0	222,365,445,262,250,438						9.58505909036744e-09	0.12	22	+	40408793	40409372	40408793	40408842	40408932	40409372	579	0	684	0	True	False	0.0		684	0	False	False	684	True	0.0	False	1	False	ENST00000478085	ENST00000478085	ENST00000248929;ENST00000417424;ENST00000427834;ENST00000462457;ENST00000469719;ENST00000470518;ENST00000485962	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
