ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	EventType	event_id	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	reads_cond1.WT	reads_cond2.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	reads_cond1.UFM	reads_cond2.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM
50	ENSG00000196440.12	ARMCX4	chrX	+	NA	NA	NA	NA	NA	NA	50	20,44,15	17,11,12	51,41,11	0,0,17	1220	149	0.00456969569173	0.01906215917121657	0.126,0.328,0.132	1.0,1.0,0.073	-0.496	NA	NA	NA	NA	RI	chrX|+|101531643|101533459|101531643|101532012|101533083|101533459	0.01906215917121657	-0.496	0.19533333333333333	0.691	119	120	239	NA	NA	NA	NA	101531643	101532012	101533083	101533459	NA	NA	NA	NA	NA	NA	NA	101531643	101533459	0,0,7,2,10,2	1,6,0,4,1,2	19,38,8,45,30,7	17,11,12,0,0,17	NA	NA	NA	NA	NA	50	chrX	+	NA	NA	NA	NA	NA	NA	50	16,43,12	0,0,5	25,38,31	0,3,0	1220	149	0.226380084351	0.413774010107654	1.0,1.0,0.227	1.0,0.607,1.0	-0.127	NA	NA	NA	NA	0.413774010107654	-0.127	0.7423333333333333	0.869	76	97	173	NA	NA	NA	NA	101531643	101532012	101533083	101533459	NA	NA	NA	NA	NA	NA	NA	101531643	101533459	0,3,2,0,7,5	0,0,1,0,0,0	16,40,9,25,31,26	0,0,5,0,3,0	NA	NA	NA	NA	NA
136	ENSG00000215301.11	DDX3X	chrX	+	NA	NA	NA	NA	NA	NA	136	19,14,14	2,11,4	47,38,56	0,7,0	232	149	4.00313496676e-4	0.0026394864103411	0.859,0.45,0.692	1.0,0.777,1.0	-0.259	NA	NA	NA	NA	RI	chrX|+|41346228|41346622|41346228|41346410|41346493|41346622	0.0026394864103411	-0.259	0.667	0.9256666666666666	64	148	212	NA	NA	NA	NA	41346228	41346410	41346493	41346622	NA	NA	NA	NA	NA	NA	NA	41346228	41346622	14,12,4,30,19,27	15,4,10,29,22,54	0,0,0,0,0,0	2,11,4,0,7,0	NA	NA	NA	NA	NA	136	chrX	+	NA	NA	NA	NA	NA	NA	136	20,39,24	0,0,0	44,58,33	0,2,0	232	149	1	1	1.0,1.0,1.0	1.0,0.949,1.0	0.017	NA	NA	NA	NA	1	0.017	1	0.983	83	137	220	NA	NA	NA	NA	41346228	41346410	41346493	41346622	NA	NA	NA	NA	NA	NA	NA	41346228	41346622	17,20,13,19,37,13	3,23,14,37,37,25	0,0,0,0,0,0	0,0,0,0,2,0	NA	NA	NA	NA	NA
145	ENSG00000156313.15	RPGR	chrX	-	NA	NA	NA	NA	NA	NA	145	246,165,271	27,48,36	258,246,337	19,26,23	764	149	0.00585858836023	0.02307313026649348	0.64,0.401,0.595	0.726,0.649,0.741	-0.16	NA	NA	NA	NA	RI	chrX|-|38287093|38288041|38287093|38287245|38287860|38288041	0.02307313026649348	-0.16	0.5453333333333333	0.7053333333333334	793	909	1702	NA	NA	NA	NA	38287093	38287245	38287860	38288041	NA	NA	NA	NA	NA	NA	NA	38287093	38288041	76,62,110,80,84,74	16,22,24,43,15,22	154,81,137,135,147,241	27,48,36,19,26,23	NA	NA	NA	NA	NA	145	chrX	-	NA	NA	NA	NA	NA	NA	145	164,246,419	27,10,59	304,243,421	66,46,24	764	149	0.470599187051	0.7050231929052316	0.542,0.828,0.581	0.473,0.507,0.774	0.066	NA	NA	NA	NA	0.7050231929052316	0.066	0.6503333333333333	0.5846666666666667	925	1104	2029	NA	NA	NA	NA	38287093	38287245	38287860	38288041	NA	NA	NA	NA	NA	NA	NA	38287093	38288041	51,77,141,96,76,123	11,15,42,21,15,28	102,154,236,187,152,270	27,10,59,66,46,24	NA	NA	NA	NA	NA
193	ENSG00000241878.12	PISD	chr22	-	NA	NA	NA	NA	NA	NA	193	235,264,309	121,142,164	384,335,377	108,117,127	340	149	2.50161616802e-5	2.5106236239441e-4	0.46,0.449,0.452	0.609,0.556,0.565	-0.123	NA	NA	NA	NA	RI	chr22|-|31620995|31621472|31620995|31621142|31621333|31621472	2.5106236239441e-4	-0.123	0.45366666666666666	0.5766666666666667	1235	1448	2683	NA	NA	NA	NA	31620995	31621142	31621333	31621472	NA	NA	NA	NA	NA	NA	NA	31620995	31621472	182,181,224,276,194,219	53,79,64,100,134,155	0,4,21,8,7,3	121,142,164,108,117,127	NA	NA	NA	NA	NA	193	chr22	-	NA	NA	NA	NA	NA	NA	193	231,278,358	132,107,165	354,219,279	98,90,124	340	149	0.114635304353	0.2471555169538618	0.434,0.532,0.487	0.613,0.516,0.496	-0.057	NA	NA	NA	NA	0.2471555169538618	-0.057	0.48433333333333334	0.5416666666666666	1271	1164	2435	NA	NA	NA	NA	31620995	31621142	31621333	31621472	NA	NA	NA	NA	NA	NA	NA	31620995	31621472	147,188,199,188,168,170	80,73,153,153,51,108	4,17,6,13,0,1	132,107,165,98,90,124	NA	NA	NA	NA	NA
197	ENSG00000185133.14	INPP5J	chr22	+	NA	NA	NA	NA	NA	NA	197	0,0,3	29,8,7	0,4,8	8,11,4	347	149	0.00119271295633	0.00640430459563534	0.0,0.0,0.155	0.0,0.135,0.462	-0.147	NA	NA	NA	NA	RI	chr22|+|31133609|31134696|31133609|31133714|31133912|31134696	0.00640430459563534	-0.147	0.051666666666666666	0.199	47	35	82	NA	NA	NA	NA	31133609	31133714	31133912	31134696	NA	NA	NA	NA	NA	NA	NA	31133609	31134696	0,0,0,0,0,8	0,0,3,0,0,0	0,0,0,0,4,0	29,8,7,8,11,4	NA	NA	NA	NA	NA	197	chr22	+	NA	NA	NA	NA	NA	NA	197	0,10,3	13,26,31	0,4,0	22,3,13	347	149	0.113724639	0.24563057758261805	0.0,0.142,0.04	0.0,0.364,0.0	-0.061	NA	NA	NA	NA	0.24563057758261805	-0.061	0.06066666666666666	0.12133333333333332	83	42	125	NA	NA	NA	NA	31133609	31133714	31133912	31134696	NA	NA	NA	NA	NA	NA	NA	31133609	31134696	0,10,1,0,4,0	0,0,2,0,0,0	0,0,0,0,0,0	13,26,31,22,3,13	NA	NA	NA	NA	NA
318	ENSG00000166913.13	YWHAB	chr20	+	NA	NA	NA	NA	NA	NA	318	494,456,699	122,81,108	702,817,1071	99,50,137	1018	149	0.00352204324408	0.01549294775659868	0.372,0.452,0.486	0.509,0.705,0.534	-0.146	NA	NA	NA	NA	RI	chr20|+|44904967|44906096|44904967|44905131|44906000|44906096	0.01549294775659868	-0.146	0.43666666666666665	0.5826666666666667	1960	2876	4836	NA	NA	NA	NA	44904967	44905131	44906000	44906096	NA	NA	NA	NA	NA	NA	NA	44904967	44906096	90,48,57,65,108,125	70,105,86,80,141,165	334,303,556,557,568,781	122,81,108,99,50,137	NA	NA	NA	NA	NA	318	chr20	+	NA	NA	NA	NA	NA	NA	318	311,612,673	79,67,77	770,667,795	79,115,64	1018	149	0.29283997091	0.502818178591627	0.366,0.572,0.561	0.588,0.459,0.645	-0.064	NA	NA	NA	NA	0.502818178591627	-0.064	0.49966666666666665	0.5640000000000001	1819	2490	4309	NA	NA	NA	NA	44904967	44905131	44906000	44906096	NA	NA	NA	NA	NA	NA	NA	44904967	44906096	36,68,64,97,50,104	45,111,127,121,133,98	230,433,482,552,484,593	79,67,77,79,115,64	NA	NA	NA	NA	NA
514	ENSG00000167595.16	PROSER3	chr19	+	NA	NA	NA	NA	NA	NA	514	16,4,11	39,78,34	31,16,19	36,23,45	265	149	1.40362356508e-4	0.00109226138338458	0.187,0.028,0.154	0.326,0.281,0.192	-0.143	NA	NA	NA	NA	RI	chr19|+|35766767|35768065|35766767|35766955|35767071|35768065	0.00109226138338458	-0.143	0.123	0.26633333333333337	182	170	352	NA	NA	NA	NA	35766767	35766955	35767071	35768065	NA	NA	NA	NA	NA	NA	NA	35766767	35768065	9,1,5,21,15,12	7,3,6,10,1,7	0,0,0,0,0,0	39,78,34,36,23,45	NA	NA	NA	NA	NA	514	chr19	+	NA	NA	NA	NA	NA	NA	514	6,48,32	31,61,34	7,0,17	22,17,16	265	149	0.172685431261	0.33847689691177507	0.098,0.307,0.346	0.152,0.0,0.374	0.075	NA	NA	NA	NA	0.33847689691177507	0.075	0.2503333333333333	0.17533333333333334	212	79	291	NA	NA	NA	NA	35766767	35766955	35767071	35768065	NA	NA	NA	NA	NA	NA	NA	35766767	35768065	6,8,15,3,0,9	0,40,17,4,0,8	0,0,0,0,0,0	31,61,34,22,17,16	NA	NA	NA	NA	NA
526	ENSG00000161265.15	U2AF1L4	chr19	-	NA	NA	NA	NA	NA	NA	526	57,102,111	3,14,24	58,60,29	0,2,0	535	149	1.69285541141e-7	3.203885611964852e-6	0.841,0.67,0.563	1.0,0.893,1.0	-0.273	NA	NA	NA	NA	RI	chr19|-|35744322|35745187|35744322|35744738|35745124|35745187	3.203885611964852e-6	-0.273	0.6913333333333334	0.9643333333333334	311	149	460	NA	NA	NA	NA	35744322	35744738	35745124	35745187	NA	NA	NA	NA	NA	NA	NA	35744322	35745187	15,20,29,11,1,13	27,62,38,20,34,12	15,20,44,27,25,4	3,14,24,0,2,0	NA	NA	NA	NA	NA	526	chr19	-	NA	NA	NA	NA	NA	NA	526	49,107,59	0,1,0	21,36,72	0,0,6	535	149	0.00866321862415	0.0316306996803155	1.0,0.968,1.0	1.0,1.0,0.77	0.066	NA	NA	NA	NA	0.0316306996803155	0.066	0.9893333333333333	0.9233333333333333	216	135	351	NA	NA	NA	NA	35744322	35744738	35745124	35745187	NA	NA	NA	NA	NA	NA	NA	35744322	35745187	23,31,18,10,5,15	18,54,29,6,15,42	8,22,12,5,16,15	0,1,0,0,0,6	NA	NA	NA	NA	NA
621	ENSG00000129347.21	KRI1	chr19	-	NA	NA	NA	NA	NA	NA	621	286,387,305	82,108,135	183,250,252	31,30,66	235	149	5.44657350024e-4	0.00338726051759347	0.689,0.694,0.589	0.789,0.841,0.708	-0.122	NA	NA	NA	NA	RI	chr19|-|10557551|10557895|10557551|10557682|10557768|10557895	0.00338726051759347	-0.122	0.6573333333333333	0.7793333333333333	1303	812	2115	NA	NA	NA	NA	10557551	10557682	10557768	10557895	NA	NA	NA	NA	NA	NA	NA	10557551	10557895	147,257,167,91,103,138	235,226,246,140,201,193	0,0,0,0,0,0	82,108,135,31,30,66	NA	NA	NA	NA	NA	621	chr19	-	NA	NA	NA	NA	NA	NA	621	340,306,438	79,80,121	223,236,241	49,66,77	235	149	0.672444270364	0.8861374468259371	0.732,0.708,0.697	0.743,0.694,0.665	0.012	NA	NA	NA	NA	0.8861374468259371	0.012	0.7123333333333333	0.7006666666666667	1364	892	2256	NA	NA	NA	NA	10557551	10557682	10557768	10557895	NA	NA	NA	NA	NA	NA	NA	10557551	10557895	189,165,256,143,125,111	244,233,346,191,194,201	0,0,0,0,0,0	79,80,121,49,66,77	NA	NA	NA	NA	NA
626	ENSG00000130734.10	ATG4D	chr19	+	NA	NA	NA	NA	NA	NA	626	50,89,57	23,9,3	44,43,38	5,1,0	266	149	0.00453776132397	0.01896415954876308	0.549,0.847,0.914	0.831,0.96,1.0	-0.16	NA	NA	NA	NA	RI	chr19|+|10546838|10547253|10546838|10547071|10547188|10547253	0.01896415954876308	-0.16	0.77	0.9303333333333333	231	131	362	NA	NA	NA	NA	10546838	10547071	10547188	10547253	NA	NA	NA	NA	NA	NA	NA	10546838	10547253	29,30,41,29,10,19	26,59,21,21,36,19	0,0,0,0,0,0	23,9,3,5,1,0	NA	NA	NA	NA	NA	626	chr19	+	NA	NA	NA	NA	NA	NA	626	59,74,76	0,17,5	52,29,42	3,8,6	266	149	0.350884264049	0.5713716564537452	1.0,0.709,0.895	0.907,0.67,0.797	0.077	NA	NA	NA	NA	0.5713716564537452	0.077	0.868	0.7913333333333333	231	140	371	NA	NA	NA	NA	10546838	10547071	10547188	10547253	NA	NA	NA	NA	NA	NA	NA	10546838	10547253	47,34,47,16,18,21	38,44,37,36,17,21	0,0,0,0,0,0	0,17,5,3,8,6	NA	NA	NA	NA	NA
