ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	event_type	ID	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM	FDR	IncLevelDifference	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	inc_len_bp	exc_len_bp	inc_cds_overlap_bp	exc_cds_overlap_bp	inc_touches_cds	exc_touches_cds	inc_cds_overlap_mod3	exc_cds_overlap_mod3	delta_cds_overlap_bp	delta_cds_overlap_mod3	frameshift_candidate_inc	frameshift_candidate_delta	cds_overlap_bp	touches_cds	cds_overlap_mod3	frameshift_candidate	advanced_n_transcripts_matched	advanced_any_protein_pair	advanced_transcript_ids	inclusion_transcript_ids	exclusion_transcript_ids	advanced_overlaps_start_codon_any	advanced_overlaps_stop_codon_any	advanced_frameshift_any	advanced_frameshift_frac	advanced_nmd_proxy_any	RI_Position	Event_Position	dataset
50	ENSG00000196440	ARMCX4	chrX	+							50	20,44,15	17,11,12	51,41,11	0,0,17	1220	149	0.00456969569173	0.0190621591712165	0.126,0.328,0.132	1.0,1.0,0.073	-0.496					RI	chrX|+|101531643|101533459|101531643|101532012|101533083|101533459	0.0190621591712165	-0.496	0.1953333333333333	0.691	239					101531643	101532012	101533083	101533459								101531643	101533459	0,0,7,2,10,2	1,6,0,4,1,2	19,38,8,45,30,7	17,11,12,0,0,17						50	chrX	+							50	16,43,12	0,0,5	25,38,31	0,3,0	1220	149	0.226380084351	0.413774010107654	1.0,1.0,0.227	1.0,0.607,1.0	-0.127					0.413774010107654	-0.127	0.7423333333333333	0.869	173					101531643	101532012	101533083	101533459								101531643	101533459	0,3,2,0,7,5	0,0,1,0,0,0	16,40,9,25,31,26	0,0,5,0,3,0						0.0190621591712165	-0.496	X	+	101531643	101533459	101531643	101532012	101533083	101533459	1816	0	0	0	False	False			0	0		False	0	False			1	False	ENST00000433011	ENST00000433011	ENST00000354842;ENST00000442270;ENST00000452188	False	False	False	0.0	False	3UTR	3UTR	UFM1_dependent
136	ENSG00000215301	DDX3X	chrX	+							136	19,14,14	2,11,4	47,38,56	0,7,0	232	149	0.000400313496676	0.0026394864103411	0.859,0.45,0.692	1.0,0.777,1.0	-0.259					RI	chrX|+|41346228|41346622|41346228|41346410|41346493|41346622	0.0026394864103411	-0.259	0.667	0.9256666666666666	212					41346228	41346410	41346493	41346622								41346228	41346622	14,12,4,30,19,27	15,4,10,29,22,54	0,0,0,0,0,0	2,11,4,0,7,0						136	chrX	+							136	20,39,24	0,0,0	44,58,33	0,2,0	232	149	1.0	1.0	1.0,1.0,1.0	1.0,0.949,1.0	0.017					1.0	0.017	1.0	0.983	220					41346228	41346410	41346493	41346622								41346228	41346622	17,20,13,19,37,13	3,23,14,37,37,25	0,0,0,0,0,0	0,0,0,0,2,0						0.0026394864103411	-0.259	X	+	41346228	41346622	41346228	41346410	41346493	41346622	394	0	7903	0	True	False	1.0		7903	1	True	True	7903	True	1.0	True	1	False	ENST00000643820	ENST00000643820	ENST00000399959;ENST00000441189;ENST00000457138;ENST00000478993;ENST00000542215;ENST00000611968;ENST00000616050;ENST00000625837;ENST00000626301;ENST00000629496;ENST00000629785;ENST00000630255;ENST00000630370;ENST00000630858;ENST00000642161;ENST00000642322;ENST00000642424;ENST00000642589;ENST00000642597;ENST00000642687;ENST00000642722;ENST00000642763;ENST00000642793;ENST00000642801;ENST00000643963;ENST00000644073;ENST00000644074;ENST00000644109;ENST00000644307;ENST00000644513;ENST00000644677;ENST00000644876;ENST00000644958;ENST00000645080;ENST00000645120;ENST00000645338;ENST00000645380;ENST00000645561;ENST00000645574;ENST00000645589;ENST00000646093;ENST00000646107;ENST00000646122;ENST00000646196;ENST00000646223;ENST00000646319;ENST00000646390;ENST00000646627;ENST00000646679;ENST00000646822;ENST00000646940;ENST00000647286;ENST00000647477	False	False	False	0.0	False	3UTR	3UTR	UFM1_dependent
145	ENSG00000156313	RPGR	chrX	-							145	246,165,271	27,48,36	258,246,337	19,26,23	764	149	0.00585858836023	0.0230731302664934	0.64,0.401,0.595	0.726,0.649,0.741	-0.16					RI	chrX|-|38287093|38288041|38287093|38287245|38287860|38288041	0.0230731302664934	-0.16	0.5453333333333333	0.7053333333333334	1702					38287093	38287245	38287860	38288041								38287093	38288041	76,62,110,80,84,74	16,22,24,43,15,22	154,81,137,135,147,241	27,48,36,19,26,23						145	chrX	-							145	164,246,419	27,10,59	304,243,421	66,46,24	764	149	0.470599187051	0.7050231929052316	0.542,0.828,0.581	0.473,0.507,0.774	0.066					0.7050231929052316	0.066	0.6503333333333333	0.5846666666666667	2029					38287093	38287245	38287860	38288041								38287093	38288041	51,77,141,96,76,123	11,15,42,21,15,28	102,154,236,187,152,270	27,10,59,66,46,24						0.0230731302664934	-0.16	X	-	38287093	38288041	38287093	38287245	38287860	38288041	948	0	2505	0	True	False	0.0		2505	0	False	False	2505	True	0.0	False	1	True	ENST00000339363	ENST00000339363	ENST00000474584;ENST00000482855;ENST00000494707;ENST00000642170;ENST00000642395;ENST00000642739;ENST00000644238;ENST00000644337;ENST00000645032;ENST00000645124;ENST00000646020	False	False	False	0.0	False	CDS	CDS	UFM1_dependent
193	ENSG00000241878	PISD	chr22	-							193	235,264,309	121,142,164	384,335,377	108,117,127	340	149	2.50161616802e-05	0.0002510623623944	0.46,0.449,0.452	0.609,0.556,0.565	-0.123					RI	chr22|-|31620995|31621472|31620995|31621142|31621333|31621472	0.0002510623623944	-0.123	0.4536666666666666	0.5766666666666667	2683					31620995	31621142	31621333	31621472								31620995	31621472	182,181,224,276,194,219	53,79,64,100,134,155	0,4,21,8,7,3	121,142,164,108,117,127						193	chr22	-							193	231,278,358	132,107,165	354,219,279	98,90,124	340	149	0.114635304353	0.2471555169538618	0.434,0.532,0.487	0.613,0.516,0.496	-0.057					0.2471555169538618	-0.057	0.4843333333333333	0.5416666666666666	2435					31620995	31621142	31621333	31621472								31620995	31621472	147,188,199,188,168,170	80,73,153,153,51,108	4,17,6,13,0,1	132,107,165,98,90,124						0.0002510623623944	-0.123	22	-	31620995	31621472	31620995	31621142	31621333	31621472	477	0	1658	0	True	False	2.0		1658	2	True	True	1658	True	2.0	True	1	False	ENST00000473770	ENST00000473770	ENST00000266095;ENST00000382151;ENST00000397500;ENST00000422020;ENST00000435900;ENST00000437808;ENST00000439502;ENST00000460723;ENST00000474017;ENST00000478893;ENST00000491342	False	False	False	0.0	False	3UTR	3UTR	UFM1_dependent
197	ENSG00000185133	INPP5J	chr22	+							197	0,0,3	29,8,7	0,4,8	8,11,4	347	149	0.00119271295633	0.0064043045956353	0.0,0.0,0.155	0.0,0.135,0.462	-0.147					RI	chr22|+|31133609|31134696|31133609|31133714|31133912|31134696	0.0064043045956353	-0.147	0.0516666666666666	0.199	82					31133609	31133714	31133912	31134696								31133609	31134696	0,0,0,0,0,8	0,0,3,0,0,0	0,0,0,0,4,0	29,8,7,8,11,4						197	chr22	+							197	0,10,3	13,26,31	0,4,0	22,3,13	347	149	0.113724639	0.245630577582618	0.0,0.142,0.04	0.0,0.364,0.0	-0.061					0.245630577582618	-0.061	0.0606666666666666	0.1213333333333333	125					31133609	31133714	31133912	31134696								31133609	31134696	0,10,1,0,4,0	0,0,2,0,0,0	0,0,0,0,0,0	13,26,31,22,3,13						0.0064043045956353	-0.147	22	+	31133609	31134696	31133609	31133714	31133912	31134696	1087	0	5481	0	True	False	0.0		5481	0	False	False	5481	True	0.0	False	1	False	ENST00000461241	ENST00000461241	ENST00000331075;ENST00000400294;ENST00000401755;ENST00000402238;ENST00000404390;ENST00000404453;ENST00000405300;ENST00000412277;ENST00000620191	False	False	False	0.0	False	3UTR	3UTR	UFM1_dependent
318	ENSG00000166913	YWHAB	chr20	+							318	494,456,699	122,81,108	702,817,1071	99,50,137	1018	149	0.00352204324408	0.0154929477565986	0.372,0.452,0.486	0.509,0.705,0.534	-0.146					RI	chr20|+|44904967|44906096|44904967|44905131|44906000|44906096	0.0154929477565986	-0.146	0.4366666666666666	0.5826666666666667	4836					44904967	44905131	44906000	44906096								44904967	44906096	90,48,57,65,108,125	70,105,86,80,141,165	334,303,556,557,568,781	122,81,108,99,50,137						318	chr20	+							318	311,612,673	79,67,77	770,667,795	79,115,64	1018	149	0.29283997091	0.502818178591627	0.366,0.572,0.561	0.588,0.459,0.645	-0.064					0.502818178591627	-0.064	0.4996666666666666	0.5640000000000001	4309					44904967	44905131	44906000	44906096								44904967	44906096	36,68,64,97,50,104	45,111,127,121,133,98	230,433,482,552,484,593	79,67,77,79,115,64						0.0154929477565986	-0.146	20	+	44904967	44906096	44904967	44905131	44906000	44906096	1129	0	520	0	True	False	1.0		520	1	True	True	520	True	1.0	True	1	False	ENST00000631616	ENST00000631616	ENST00000353703;ENST00000372839;ENST00000477896;ENST00000479421;ENST00000633979	False	False	False	0.0	False	3UTR	3UTR	UFM1_dependent
514	ENSG00000167595	PROSER3	chr19	+							514	16,4,11	39,78,34	31,16,19	36,23,45	265	149	0.000140362356508	0.0010922613833845	0.187,0.028,0.154	0.326,0.281,0.192	-0.143					RI	chr19|+|35766767|35768065|35766767|35766955|35767071|35768065	0.0010922613833845	-0.143	0.123	0.2663333333333333	352					35766767	35766955	35767071	35768065								35766767	35768065	9,1,5,21,15,12	7,3,6,10,1,7	0,0,0,0,0,0	39,78,34,36,23,45						514	chr19	+							514	6,48,32	31,61,34	7,0,17	22,17,16	265	149	0.172685431261	0.338476896911775	0.098,0.307,0.346	0.152,0.0,0.374	0.075					0.338476896911775	0.075	0.2503333333333333	0.1753333333333333	291					35766767	35766955	35767071	35768065								35766767	35768065	6,8,15,3,0,9	0,40,17,4,0,8	0,0,0,0,0,0	31,61,34,22,17,16						0.0010922613833845	-0.143	19	+	35766767	35768065	35766767	35766955	35767071	35768065	1298	0	5459	0	True	False	2.0		5459	2	True	True	5459	True	2.0	True	1	True	ENST00000620918	ENST00000620918	ENST00000396908;ENST00000542591;ENST00000544876;ENST00000646935;ENST00000696040;ENST00000696041;ENST00000696042	False	True	True	1.0	True	Stop_Codon	Stop_Codon	UFM1_dependent
526	ENSG00000161265	U2AF1L4	chr19	-							526	57,102,111	3,14,24	58,60,29	0,2,0	535	149	1.69285541141e-07	3.203885611964852e-06	0.841,0.67,0.563	1.0,0.893,1.0	-0.273					RI	chr19|-|35744322|35745187|35744322|35744738|35745124|35745187	3.203885611964852e-06	-0.273	0.6913333333333334	0.9643333333333334	460					35744322	35744738	35745124	35745187								35744322	35745187	15,20,29,11,1,13	27,62,38,20,34,12	15,20,44,27,25,4	3,14,24,0,2,0						526	chr19	-							526	49,107,59	0,1,0	21,36,72	0,0,6	535	149	0.00866321862415	0.0316306996803155	1.0,0.968,1.0	1.0,1.0,0.77	0.066					0.0316306996803155	0.066	0.9893333333333332	0.9233333333333332	351					35744322	35744738	35745124	35745187								35744322	35745187	23,31,18,10,5,15	18,54,29,6,15,42	8,22,12,5,16,15	0,1,0,0,0,6						3.203885611964852e-06	-0.273	19	-	35744322	35745187	35744322	35744738	35745124	35745187	865	0	1482	0	True	False	0.0		1482	0	False	False	1482	True	0.0	False	1	False	ENST00000586476	ENST00000586476	ENST00000292879;ENST00000378975;ENST00000412391;ENST00000585554;ENST00000585771;ENST00000587886;ENST00000587987;ENST00000588100;ENST00000588892;ENST00000588980;ENST00000589429;ENST00000590135;ENST00000590650;ENST00000591057;ENST00000591084;ENST00000591855;ENST00000592913;ENST00000594792;ENST00000600296;ENST00000601236	False	False	False	0.0	False	5UTR	5UTR	UFM1_dependent
621	ENSG00000129347	KRI1	chr19	-							621	286,387,305	82,108,135	183,250,252	31,30,66	235	149	0.000544657350024	0.0033872605175934	0.689,0.694,0.589	0.789,0.841,0.708	-0.122					RI	chr19|-|10557551|10557895|10557551|10557682|10557768|10557895	0.0033872605175934	-0.122	0.6573333333333333	0.7793333333333333	2115					10557551	10557682	10557768	10557895								10557551	10557895	147,257,167,91,103,138	235,226,246,140,201,193	0,0,0,0,0,0	82,108,135,31,30,66						621	chr19	-							621	340,306,438	79,80,121	223,236,241	49,66,77	235	149	0.672444270364	0.8861374468259371	0.732,0.708,0.697	0.743,0.694,0.665	0.012					0.8861374468259371	0.012	0.7123333333333333	0.7006666666666667	2256					10557551	10557682	10557768	10557895								10557551	10557895	189,165,256,143,125,111	244,233,346,191,194,201	0,0,0,0,0,0	79,80,121,49,66,77						0.0033872605175934	-0.122	19	-	10557551	10557895	10557551	10557682	10557768	10557895	344	0	669	0	True	False	0.0		669	0	False	False	669	True	0.0	False	4	False	ENST00000478863;ENST00000536689;ENST00000537433;ENST00000543842	ENST00000478863;ENST00000536689;ENST00000537433;ENST00000543842	ENST00000312962;ENST00000536714;ENST00000537363;ENST00000539027;ENST00000612875;ENST00000618579;ENST00000652042	False	False	False	0.0	False	3UTR	3UTR	UFM1_dependent
626	ENSG00000130734	ATG4D	chr19	+							626	50,89,57	23,9,3	44,43,38	5,1,0	266	149	0.00453776132397	0.018964159548763	0.549,0.847,0.914	0.831,0.96,1.0	-0.16					RI	chr19|+|10546838|10547253|10546838|10547071|10547188|10547253	0.018964159548763	-0.16	0.77	0.9303333333333332	362					10546838	10547071	10547188	10547253								10546838	10547253	29,30,41,29,10,19	26,59,21,21,36,19	0,0,0,0,0,0	23,9,3,5,1,0						626	chr19	+							626	59,74,76	0,17,5	52,29,42	3,8,6	266	149	0.350884264049	0.5713716564537452	1.0,0.709,0.895	0.907,0.67,0.797	0.077					0.5713716564537452	0.077	0.868	0.7913333333333333	371					10546838	10547071	10547188	10547253								10546838	10547253	47,34,47,16,18,21	38,44,37,36,17,21	0,0,0,0,0,0	0,17,5,3,8,6						0.018964159548763	-0.16	19	+	10546838	10547253	10546838	10547071	10547188	10547253	415	0	1251	0	True	False	0.0		1251	0	False	False	1251	True	0.0	False	1	False	ENST00000590096	ENST00000590096	ENST00000309469;ENST00000585752;ENST00000586417;ENST00000586477;ENST00000586863;ENST00000587256;ENST00000588667;ENST00000588857;ENST00000589753	False	False	False	0.0	False	CDS	CDS	UFM1_dependent
