dataset	event_id	GeneID	event_type	inc_tx	exc_tx	alignment_score	len_inc	len_exc
UFM1_dependent_dPSI_positive	chrX|+|101098203|101098539|101098203|101098248|101098443|101098539	ENSG00000102384	RI	ENST00000682304	ENST00000403304	0.38666666666666666	29	75
UFM1_dependent_dPSI_positive	chr20|+|63737820|63738060|63737820|63737902|63737972|63738060	ENSG00000203896	RI	ENST00000487026	ENST00000309546	0.329153605015674	211	295
UFM1_dependent_dPSI_positive	chr19|+|44165587|44165807|44165587|44165613|44165756|44165807	ENSG00000167380	RI	ENST00000413984	ENST00000300823	1.0	94	94
UFM1_dependent_dPSI_positive	chr19|+|36101213|36102851|36101213|36101317|36101663|36102851	ENSG00000075702	RI	ENST00000587391	ENST00000270301	0.3115942028985507	483	1518
UFM1_dependent_dPSI_positive	chr19|-|35743154|35743345|35743154|35743205|35743295|35743345	ENSG00000161265	RI	ENST00000587987	ENST00000292879	0.13366336633663367	39	202
UFM1_dependent_dPSI_positive	chr19|+|35278697|35279074|35278697|35278792|35278969|35279074	ENSG00000105698	RI	ENST00000599471	ENST00000222305	0.5088161209068011	253	346
UFM1_dependent_dPSI_positive	chr19|-|18437598|18437988|18437598|18437760|18437859|18437988	ENSG00000105655	RI	ENST00000581800	ENST00000338128	0.2521150592216582	182	558
UFM1_dependent_dPSI_positive	chr19|-|18437859|18438162|18437859|18437988|18438092|18438162	ENSG00000105655	RI	ENST00000583534	ENST00000338128	0.26523297491039427	148	558
UFM1_dependent_dPSI_positive	chr19|-|49927693|49929504|49927693|49927815|49929325|49929504	ENSG00000213024	RI	ENST00000596217	ENST00000352066	1.0	522	522
UFM1_dependent_dPSI_positive	chr17|-|47816106|47816482|47816106|47816202|47816387|47816482	ENSG00000006025	RI	ENST00000613735	ENST00000007414	0.4156769596199525	357	842
UFM1_dependent_dPSI_positive	chr17|-|42329409|42329647|42329409|42329457|42329553|42329647	ENSG00000168610	RI	ENST00000677421	ENST00000264657	0.9600997506234414	802	770
UFM1_dependent_dPSI_positive	chr17|-|28556165|28556972|28556165|28556266|28556826|28556972	ENSG00000087111	RI	ENST00000706187	ENST00000268758	0.04883227176220807	471	41
UFM1_dependent_dPSI_positive	chr20|-|33659496|33659732|33659496|33659550|33659652|33659732	ENSG00000125967	RI	ENST00000246190	ENST00000375238	0.9141414141414141	396	362
UFM1_dependent_dPSI_positive	chr17|+|19281954|19283714|19281954|19282077|19282949|19283714	ENSG00000072134	RI	ENST00000395620	ENST00000314728	0.9110764430577223	584	641
UFM1_dependent_dPSI_positive	chr17|+|15700047|15700366|15700047|15700168|15700272|15700366	ENSG00000255104	RI	ENST00000413242	ENST00000412988	0.980806142034549	521	511
UFM1_dependent_dPSI_positive	chr16|-|70253267|70253800|70253267|70253381|70253713|70253800	ENSG00000090861	RI	ENST00000674768	ENST00000261772	0.5289256198347108	521	968
UFM1_dependent_dPSI_positive	chrX|+|12975109|12976361|12975109|12975168|12976245|12976361	ENSG00000205542	RI	ENST00000380636	ENST00000380633	1.0	44	44
UFM1_dependent_dPSI_positive	chr17|-|8232360|8233032|8232360|8232475|8232905|8233032	ENSG00000178971	RI	ENST00000699852	ENST00000449476	0.5412757973733584	615	1031
UFM1_dependent_dPSI_positive	chr15|-|74899991|74902786|74899991|74902063|74902603|74902786	ENSG00000178761	RI	ENST00000357635	ENST00000562698	0.8484848484848485	198	168
UFM1_dependent_dPSI_positive	chr14|-|24239668|24240155|24239668|24239931|24240063|24240155	ENSG00000092330	RI	ENST00000699695	ENST00000267415	0.22394678492239467	105	451
UFM1_dependent_dPSI_positive	chr14|-|24239681|24240875|24239681|24240330|24240418|24240875	ENSG00000092330	RI	ENST00000558566	ENST00000267415	0.30155210643015523	140	451
UFM1_dependent_dPSI_positive	chr14|+|24164062|24164955|24164062|24164134|24164586|24164955	ENSG00000213928	RI	ENST00000560542	ENST00000324076	0.16845878136200718	50	279
UFM1_dependent_dPSI_positive	chr22|+|24321287|24322918|24321287|24321323|24321404|24322918	ENSG00000100014	RI	ENST00000314328	ENST00000440893	0.1566696508504924	1117	175
UFM1_dependent_dPSI_positive	chr13|-|98855897|98860522|98855897|98856031|98860404|98860522	ENSG00000088387	RI	ENST00000630992	ENST00000339416	0.47421203438395415	705	1393
UFM1_dependent_dPSI_positive	chr13|+|37000785|37002309|37000785|37000822|37002272|37002309	ENSG00000120699	RI	ENST00000685624	ENST00000239893	0.12307692307692308	51	37
UFM1_dependent_dPSI_positive	chr13|+|20601704|20601933|20601704|20601748|20601850|20601933	ENSG00000032742	RI	ENST00000319980	ENST00000537103	0.4369747899159664	833	368
UFM1_dependent_dPSI_positive	chr12|+|57524028|57524416|57524028|57524092|57524279|57524416	ENSG00000166987	RI	ENST00000546632	ENST00000355673	0.05284147557328016	53	1003
UFM1_dependent_dPSI_positive	chr12|-|49186309|49186833|49186309|49186458|49186610|49186833	ENSG00000167552	RI	ENST00000546918	ENST00000295766	0.25934065934065936	231	451
UFM1_dependent_dPSI_positive	chr11|-|125102131|125102809|125102131|125102351|125102733|125102809	ENSG00000150433	RI	ENST00000524373	ENST00000279968	0.6086956521739131	70	115
UFM1_dependent_dPSI_positive	chr11|-|95862271|95865676|95862271|95862366|95865590|95865676	ENSG00000087053	RI	ENST00000675030	ENST00000346299	0.12130637636080871	86	643
UFM1_dependent_dPSI_positive	chr11|-|78441090|78443758|78441090|78441117|78443660|78443758	ENSG00000137513	RI	ENST00000695341	ENST00000281038	0.15513626834381553	104	477
UFM1_dependent_dPSI_positive	chr12|+|56157697|56157982|56157697|56157735|56157881|56157982	ENSG00000196465	RI	ENST00000553066	ENST00000550443	1.0	208	208
UFM1_dependent_dPSI_positive	chr11|+|64220219|64220669|64220219|64220326|64220435|64220669	ENSG00000149781	RI	ENST00000698866	ENST00000279227	0.2698650674662669	192	667
UFM1_dependent_dPSI_positive	chr11|+|61364251|61364518|61364251|61364315|61364432|61364518	ENSG00000149483	RI	ENST00000278826	ENST00000507563	0.13580246913580246	162	64
UFM1_dependent_dPSI_positive	chr11|+|8911188|8911671|8911188|8911223|8911443|8911671	ENSG00000166452	RI	ENST00000529876	ENST00000299576	0.7539267015706806	168	183
UFM1_dependent_dPSI_positive	chr14|+|20993117|20994063|20993117|20993191|20993968|20994063	ENSG00000165792	RI	ENST00000555640	ENST00000339374	0.3026315789473684	158	456
UFM1_dependent_dPSI_positive	chr19|-|1615284|1615821|1615284|1615515|1615685|1615821	ENSG00000071564	RI	ENST00000395423	ENST00000262965	0.8504936530324401	658	654
UFM1_dependent_dPSI_positive	chr19|-|1615284|1615821|1615284|1615520|1615685|1615821	ENSG00000071564	RI	ENST00000395423	ENST00000262965	0.8504936530324401	658	654
UFM1_dependent_dPSI_positive	chr19|-|1619110|1619474|1619110|1619234|1619315|1619474	ENSG00000071564	RI	ENST00000590436	ENST00000262965	0.3891336270190896	314	654
UFM1_dependent_dPSI_positive	chr19|+|17486562|17487335|17486562|17486957|17487099|17487335	ENSG00000130304	RI	ENST00000600277	ENST00000252595	0.3126934984520124	224	646
UFM1_dependent_dPSI_positive	chr2|+|85390137|85391748|85390137|85390265|85390759|85391748	ENSG00000115459	RI	ENST00000315658	ENST00000393852	0.8129675810473815	391	381
UFM1_dependent_dPSI_positive	chr3|+|48465486|48467645|48465486|48466309|48466629|48467645	ENSG00000164053	RI	ENST00000320211	ENST00000346691	0.965865992414665	791	764
UFM1_dependent_dPSI_positive	chr1|+|145826453|145826709|145826453|145826492|145826605|145826709	ENSG00000186141	RI	ENST00000334163	ENST00000466003	0.11610486891385768	534	62
UFM1_dependent_dPSI_positive	chr2|-|27449293|27449562|27449293|27449380|27449498|27449562	ENSG00000138002	RI	ENST00000675410	ENST00000260570	0.40480274442538594	715	1749
UFM1_dependent_dPSI_positive	chr12|+|69812777|69813033|69812777|69812877|69812963|69813033	ENSG00000127328	RI	ENST00000526994	ENST00000247833	0.3217391304347826	189	460
UFM1_dependent_dPSI_positive	chr17|+|7688476|7689079|7688476|7688561|7688647|7689079	ENSG00000141499	RI	ENST00000534050	ENST00000316024	0.9397810218978102	515	548
UFM1_dependent_dPSI_positive	chr2|-|9521202|9523338|9521202|9521321|9523248|9523338	ENSG00000151694	RI	ENST00000699317	ENST00000310823	0.25485436893203883	212	824
UFM1_dependent_dPSI_positive	chr1|+|3883506|3885429|3883506|3883800|3885037|3885429	ENSG00000169598	RI	ENST00000339350	ENST00000338895	0.26170798898071623	116	362
