ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	upstream_to_intron_count	intron_to_downstream_count	intron_count	upstream_to_downstream_count
197	ENSG00000185133.14	INPP5J	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696	197	0,0,3	29,8,7	0,4,8	8,11,4	347	149	0.00119271295633	0.0064043045956353	0.0,0.0,0.155	0.0,0.135,0.462	-0.147	0,0,0,0,0,8	0,0,3,0,0,0	0,0,0,0,4,0	29,8,7,8,11,4
215	ENSG00000161179.14	YDJC	chr22	-	21629009	21629407	21629009	21629187	21629307	21629407	215	230,175,138	5,6,14	55,52,86	11,13,24	269	149	8.32399149608e-10	2.8837692572860202e-08	0.962,0.942,0.845	0.735,0.689,0.665	0.22	87,64,65,25,22,53	144,99,81,31,36,33	0,14,0,0,0,0	5,6,14,11,13,24
216	ENSG00000161179.14	YDJC	chr22	-	21629307	21629761	21629307	21629407	21629542	21629761	216	188,249,248	21,15,8	104,112,115	3,15,13	284	149	0.262540847819	0.4635829322287456	0.824,0.897,0.942	0.948,0.797,0.823	0.032	71,155,109,43,33,33	122,94,139,61,74,82	0,0,0,2,6,0	21,15,8,3,15,13
217	ENSG00000161179.14	YDJC	chr22	-	21629009	21629761	21629009	21629407	21629601	21629761	217	249,325,308	14,13,7	132,162,145	4,5,15	343	149	0.340408590414	0.555456533324015	0.885,0.916,0.95	0.935,0.934,0.808	0.025	71,155,109,43,33,33	130,130,115,60,106,79	48,40,84,29,23,33	14,13,7,4,5,15
612	ENSG00000104889.7	RNASEH2A	chr19	+	12807205	12807506	12807205	12807329	12807418	12807506	612	85,106,154	33,7,30	22,52,36	9,28,53	238	149	0.000336269158252	0.0022709278396489	0.617,0.905,0.763	0.605,0.538,0.298	0.281	59,70,119,21,40,26	34,61,57,8,30,13	0,0,0,0,0,0	33,7,30,9,28,53
768	ENSG00000187531.14	SIRT7	chr17	-	81911938	81913880	81911938	81912614	81913773	81913880	768	716,713,719	316,309,296	638,648,785	208,224,310	1308	149	0.0644960273379	0.1604087854632632	0.205,0.208,0.217	0.259,0.248,0.224	-0.034	99,143,89,89,84,122	91,46,40,50,72,89	526,524,590,499,492,574	316,309,296,208,224,310
769	ENSG00000187531.14	SIRT7	chr17	-	81913773	81914167	81913773	81913880	81914086	81914167	769	284,250,174	284,243,229	144,154,140	180,213,235	355	149	0.0133349414638	0.044782816074616	0.296,0.302,0.242	0.251,0.233,0.2	0.052	91,96,56,49,43,60	83,82,79,45,49,33	110,72,39,50,62,47	284,243,229,180,213,235
770	ENSG00000187531.14	SIRT7	chr17	-	81914293	81914702	81914293	81914530	81914603	81914702	770	161,258,244	54,37,31	145,147,187	38,83,68	222	149	0.00171482327968	0.008590928391338	0.667,0.824,0.841	0.719,0.543,0.649	0.14	131,157,137,102,115,140	72,149,150,81,63,99	0,0,0,0,0,0	54,37,31,38,83,68
771	ENSG00000187531.14	SIRT7	chr17	-	81914293	81915512	81914293	81914530	81915439	81915512	771	756,1015,934	6,4,2	450,431,525	1,1,0	1058	149	0.0363924758425	0.1018301161292718	0.947,0.973,0.985	0.984,0.984,1.0	-0.021	131,157,137,102,115,140	98,133,201,67,60,74	527,725,596,281,256,311	6,4,2,1,1,0
772	ENSG00000187531.14	SIRT7	chr17	-	81914293	81915512	81914293	81914702	81915439	81915512	772	621,818,768	94,141,105	339,311,375	134,114,107	886	149	4.13680201206e-12	2.3060790852683562e-10	0.526,0.494,0.552	0.298,0.314,0.371	0.196	87,164,137,38,51,77	98,133,201,67,60,74	436,521,430,234,200,224	94,141,105,134,114,107
