ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	EventType	event_id	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	reads_cond1.WT	reads_cond2.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	reads_cond1.UFM	reads_cond2.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM
14	ENSG00000102125.17	TAFAZZIN	chrX	+	NA	NA	NA	NA	NA	NA	14	46,21,72	46,37,93	7,15,18	46,19,63	266	149	0.00158052042713	0.00805631858616887	0.359,0.241,0.302	0.079,0.307,0.138	0.126	NA	NA	NA	NA	RI	chrX|+|154420031|154420264|154420031|154420094|154420211|154420264	0.00805631858616887	0.126	0.30066666666666664	0.17466666666666666	315	168	483	NA	NA	NA	NA	154420031	154420094	154420211	154420264	NA	NA	NA	NA	NA	NA	NA	154420031	154420264	24,8,45,5,13,10	22,15,31,3,3,8	0,0,0,0,0,0	46,37,93,46,19,63	NA	NA	NA	NA	NA	14	chrX	+	NA	NA	NA	NA	NA	NA	14	35,37,77	23,37,54	13,46,20	68,46,29	266	149	0.00159727994729	0.00785875667691371	0.46,0.359,0.444	0.097,0.359,0.279	0.176	NA	NA	NA	NA	0.00785875667691371	0.176	0.421	0.245	263	222	485	NA	NA	NA	NA	154420031	154420094	154420211	154420264	NA	NA	NA	NA	NA	NA	NA	154420031	154420264	7,22,54,9,22,7	28,15,29,6,25,16	0,0,0,0,0,0	23,37,54,68,46,29	NA	NA	NA	NA	NA
19	ENSG00000196924.19	FLNA	chrX	-	NA	NA	NA	NA	NA	NA	19	6290,5734,6868	1184,1023,1340	10138,9613,11286	1070,960,1152	850	149	2.1368462555e-12	1.2599174268005768e-10	0.482,0.496,0.473	0.624,0.637,0.632	-0.147	NA	NA	NA	NA	RI	chrX|-|154350030|154351696|154350030|154350207|154350908|154351696	1.2599174268005768e-10	-0.147	0.48366666666666663	0.631	22439	34219	56658	NA	NA	NA	NA	154350030	154350207	154350908	154351696	NA	NA	NA	NA	NA	NA	NA	154350030	154351696	1175,1125,1314,1847,1666,2075	960,801,919,1393,1457,1624	4155,3808,4635,6898,6490,7587	1184,1023,1340,1070,960,1152	NA	NA	NA	NA	NA	19	chrX	-	NA	NA	NA	NA	NA	NA	19	5038,6085,7345	931,1474,1542	8945,7875,8977	957,932,1100	850	149	2.31314967181e-12	1.225360602461455e-10	0.487,0.42,0.455	0.621,0.597,0.589	-0.148	NA	NA	NA	NA	1.225360602461455e-10	-0.148	0.454	0.6023333333333333	22415	28786	51201	NA	NA	NA	NA	154350030	154350207	154350908	154351696	NA	NA	NA	NA	NA	NA	NA	154350030	154351696	944,1020,1386,1653,1467,1764	718,859,1000,1318,1066,1202	3376,4206,4959,5974,5342,6011	931,1474,1542,957,932,1100	NA	NA	NA	NA	NA
85	ENSG00000001497.18	LAS1L	chrX	-	NA	NA	NA	NA	NA	NA	85	633,678,839	14,10,19	538,489,754	54,26,48	2385	149	3.04985137145e-9	9.122774931576293e-8	0.739,0.809,0.734	0.384,0.54,0.495	0.288	NA	NA	NA	NA	RI	chrX|-|65517986|65522285|65517986|65518465|65520701|65522285	9.122774931576293e-8	0.288	0.7606666666666667	0.47300000000000003	2193	1909	4102	NA	NA	NA	NA	65517986	65518465	65520701	65522285	NA	NA	NA	NA	NA	NA	NA	65517986	65522285	51,44,53,56,25,41	122,106,173,123,88,117	460,528,613,359,376,596	14,10,19,54,26,48	NA	NA	NA	NA	NA	85	chrX	-	NA	NA	NA	NA	NA	NA	85	677,736,848	6,9,26	556,635,596	43,33,57	2385	149	1.59607267403e-8	3.934156276925376e-7	0.876,0.836,0.671	0.447,0.546,0.395	0.332	NA	NA	NA	NA	3.934156276925376e-7	0.332	0.7943333333333333	0.46266666666666667	2302	1920	4222	NA	NA	NA	NA	65517986	65518465	65520701	65522285	NA	NA	NA	NA	NA	NA	NA	65517986	65522285	56,51,76,41,39,34	156,166,232,134,146,123	465,519,540,381,450,439	6,9,26,43,33,57	NA	NA	NA	NA	NA
97	ENSG00000186787.10	SPIN2B	chrX	-	NA	NA	NA	NA	NA	NA	97	31,48,17	2,0,4	41,2,7	0,0,0	452	149	0.00316983308644	0.01427123090018361	0.836,1.0,0.584	1.0,1.0,1.0	-0.193	NA	NA	NA	NA	RI	chrX|-|57119681|57120631|57119681|57120101|57120404|57120631	0.01427123090018361	-0.193	0.8066666666666666	1	102	50	152	NA	NA	NA	NA	57119681	57120101	57120404	57120631	NA	NA	NA	NA	NA	NA	NA	57119681	57120631	4,3,0,6,0,1	2,0,0,0,1,0	25,45,17,35,1,6	2,0,4,0,0,0	NA	NA	NA	NA	NA	97	chrX	-	NA	NA	NA	NA	NA	NA	97	24,13,45	7,0,1	11,10,5	0,0,0	452	149	2.56308307762e-4	0.00166435039846743	0.531,1.0,0.937	1.0,1.0,1.0	-0.177	NA	NA	NA	NA	0.00166435039846743	-0.177	0.8226666666666667	1	90	26	116	NA	NA	NA	NA	57119681	57120101	57120404	57120631	NA	NA	NA	NA	NA	NA	NA	57119681	57120631	5,1,5,2,4,2	0,1,0,0,3,0	19,11,40,9,3,3	7,0,1,0,0,0	NA	NA	NA	NA	NA
118	ENSG00000102312.24	PORCN	chrX	+	NA	NA	NA	NA	NA	NA	118	231,147,192	0,0,0	150,163,105	3,0,4	1536	149	7.63332979749e-4	0.00448348451323837	1.0,1.0,1.0	0.829,1.0,0.718	0.151	NA	NA	NA	NA	RI	chrX|+|48512834|48514365|48512834|48512852|48514239|48514365	0.00448348451323837	0.151	1	0.849	570	425	995	NA	NA	NA	NA	48512834	48512852	48514239	48514365	NA	NA	NA	NA	NA	NA	NA	48512834	48514365	21,13,9,22,12,7	41,16,27,8,18,16	169,118,156,120,133,82	0,0,0,3,0,4	NA	NA	NA	NA	NA	118	chrX	+	NA	NA	NA	NA	NA	NA	118	317,208,297	0,2,2	141,122,88	0,8,2	1536	149	0.00333926410635	0.01457067625595928	1.0,0.91,0.935	1.0,0.597,0.81	0.146	NA	NA	NA	NA	0.01457067625595928	0.146	0.9483333333333334	0.8023333333333333	826	361	1187	NA	NA	NA	NA	48512834	48512852	48514239	48514365	NA	NA	NA	NA	NA	NA	NA	48512834	48514365	5,44,1,3,13,7	19,6,14,8,8,8	293,158,282,130,101,73	0,2,2,0,8,2	NA	NA	NA	NA	NA
130	ENSG00000215301.11	DDX3X	chrX	+	NA	NA	NA	NA	NA	NA	130	559,473,599	460,491,547	1066,860,1233	431,420,463	1027	149	1.11022302463e-16	1.2377977430965744e-14	0.15,0.123,0.137	0.264,0.229,0.279	-0.121	NA	NA	NA	NA	RI	chrX|+|41341483|41342653|41341483|41341616|41342494|41342653	1.2377977430965744e-14	-0.121	0.13666666666666666	0.25733333333333336	3129	4473	7602	NA	NA	NA	NA	41341483	41341616	41342494	41342653	NA	NA	NA	NA	NA	NA	NA	41341483	41342653	94,92,89,209,131,214	66,81,93,199,138,200	399,300,417,658,591,819	460,491,547,431,420,463	NA	NA	NA	NA	NA	130	chrX	+	NA	NA	NA	NA	NA	NA	130	454,354,713	508,586,400	1014,866,1104	363,321,316	1027	149	0	0	0.115,0.081,0.205	0.288,0.281,0.336	-0.168	NA	NA	NA	NA	0	-0.168	0.13366666666666666	0.3016666666666667	3015	3984	6999	NA	NA	NA	NA	41341483	41341616	41342494	41342653	NA	NA	NA	NA	NA	NA	NA	41341483	41342653	104,52,128,181,151,292	69,30,83,183,96,188	281,272,502,650,619,624	508,586,400,363,321,316	NA	NA	NA	NA	NA
144	ENSG00000182220.15	ATP6AP2	chrX	+	NA	NA	NA	NA	NA	NA	144	49,40,27	0,8,0	24,62,64	0,0,0	1189	149	0.00231342677758	0.01102248096357463	1.0,0.385,1.0	1.0,1.0,1.0	-0.205	NA	NA	NA	NA	RI	chrX|+|40599591|40600881|40599591|40599741|40600781|40600881	0.01102248096357463	-0.205	0.795	1	124	150	274	NA	NA	NA	NA	40599591	40599741	40600781	40600881	NA	NA	NA	NA	NA	NA	NA	40599591	40600881	4,3,7,10,24,11	14,11,2,6,24,11	31,26,18,8,14,42	0,8,0,0,0,0	NA	NA	NA	NA	NA	144	chrX	+	NA	NA	NA	NA	NA	NA	144	31,72,53	0,0,0	24,48,41	10,0,0	1189	149	0.0052323153403	0.02100927682185618	1.0,1.0,1.0	0.231,1.0,1.0	0.256	NA	NA	NA	NA	0.02100927682185618	0.256	1	0.7436666666666667	156	123	279	NA	NA	NA	NA	40599591	40599741	40600781	40600881	NA	NA	NA	NA	NA	NA	NA	40599591	40600881	0,6,0,5,22,15	9,22,6,0,0,0	22,44,47,19,26,26	0,0,0,10,0,0	NA	NA	NA	NA	NA
159	ENSG00000100429.18	HDAC10	chr22	-	NA	NA	NA	NA	NA	NA	159	259,349,279	161,198,214	139,154,135	156,154,221	231	149	1.19758495776e-6	1.7743269750364057e-5	0.509,0.532,0.457	0.365,0.392,0.283	0.153	NA	NA	NA	NA	RI	chr22|-|50245674|50246092|50245674|50245827|50245909|50246092	1.7743269750364057e-5	0.153	0.49933333333333335	0.3466666666666667	1460	959	2419	NA	NA	NA	NA	50245674	50245827	50245909	50246092	NA	NA	NA	NA	NA	NA	NA	50245674	50246092	218,237,215,96,91,94	66,138,86,50,69,46	0,0,0,0,6,0	161,198,214,156,154,221	NA	NA	NA	NA	NA	159	chr22	-	NA	NA	NA	NA	NA	NA	159	212,318,336	132,221,249	126,152,168	160,243,169	231	149	1.29357167933e-6	1.9099949563505796e-5	0.509,0.481,0.465	0.337,0.287,0.391	0.147	NA	NA	NA	NA	1.9099949563505796e-5	0.147	0.485	0.3383333333333333	1468	1018	2486	NA	NA	NA	NA	50245674	50245827	50245909	50246092	NA	NA	NA	NA	NA	NA	NA	50245674	50246092	139,240,263,98,123,135	82,101,124,45,39,55	0,0,2,0,0,0	132,221,249,160,243,169	NA	NA	NA	NA	NA
160	ENSG00000100429.18	HDAC10	chr22	-	NA	NA	NA	NA	NA	NA	160	602,506,549	346,544,533	109,116,115	309,302,441	451	149	0	0	0.365,0.235,0.254	0.104,0.113,0.079	0.186	NA	NA	NA	NA	RI	chr22|-|50246297|50246735|50246297|50246376|50246678|50246735	0	0.186	0.2846666666666667	0.09866666666666667	3080	1392	4472	NA	NA	NA	NA	50246297	50246376	50246678	50246735	NA	NA	NA	NA	NA	NA	NA	50246297	50246735	231,105,154,27,35,15	95,50,78,24,27,36	276,351,317,58,54,64	346,544,533,309,302,441	NA	NA	NA	NA	NA	160	chr22	-	NA	NA	NA	NA	NA	NA	160	478,625,533	363,488,522	90,128,132	251,362,414	451	149	0	0	0.303,0.297,0.252	0.106,0.105,0.095	0.182	NA	NA	NA	NA	0	0.182	0.284	0.102	3009	1377	4386	NA	NA	NA	NA	50246297	50246376	50246678	50246735	NA	NA	NA	NA	NA	NA	NA	50246297	50246735	141,189,154,30,55,37	90,107,90,14,5,22	247,329,289,46,68,73	363,488,522,251,362,414	NA	NA	NA	NA	NA
175	ENSG00000100359.21	SGSM3	chr22	+	NA	NA	NA	NA	NA	NA	175	117,194,209	342,350,343	51,77,81	251,376,358	239	149	2.44535725002e-10	9.58505909036744e-9	0.176,0.257,0.275	0.112,0.113,0.124	0.12	NA	NA	NA	NA	RI	chr22|+|40408793|40409372|40408793|40408842|40408932|40409372	9.58505909036744e-9	0.12	0.23600000000000002	0.11633333333333333	1555	1194	2749	NA	NA	NA	NA	40408793	40408842	40408932	40409372	NA	NA	NA	NA	NA	NA	NA	40408793	40409372	28,121,118,33,23,18	111,126,144,32,71,76	0,0,0,0,0,0	342,350,343,251,376,358	NA	NA	NA	NA	NA	175	chr22	+	NA	NA	NA	NA	NA	NA	175	90,231,347	222,365,445	84,90,101	262,250,438	239	149	2.91229053317e-7	5.313390492390825e-6	0.202,0.283,0.327	0.167,0.183,0.126	0.112	NA	NA	NA	NA	5.313390492390825e-6	0.112	0.27066666666666667	0.15866666666666668	1700	1225	2925	NA	NA	NA	NA	40408793	40408842	40408932	40409372	NA	NA	NA	NA	NA	NA	NA	40408793	40409372	50,81,160,43,42,39	65,204,257,52,67,79	0,0,0,0,0,0	222,365,445,262,250,438	NA	NA	NA	NA	NA
