ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	event_type	ID	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM	FDR	IncLevelDifference	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	inc_len_bp	exc_len_bp	inc_cds_overlap_bp	exc_cds_overlap_bp	inc_touches_cds	exc_touches_cds	inc_cds_overlap_mod3	exc_cds_overlap_mod3	delta_cds_overlap_bp	delta_cds_overlap_mod3	frameshift_candidate_inc	frameshift_candidate_delta	cds_overlap_bp	touches_cds	cds_overlap_mod3	frameshift_candidate	advanced_n_transcripts_matched	advanced_any_protein_pair	advanced_transcript_ids	inclusion_transcript_ids	exclusion_transcript_ids	advanced_overlaps_start_codon_any	advanced_overlaps_stop_codon_any	advanced_frameshift_any	advanced_frameshift_frac	advanced_nmd_proxy_any	RI_Position	Event_Position	dataset
19	ENSG00000196924	FLNA	chrX	-							19	6290,5734,6868	1184,1023,1340	10138,9613,11286	1070,960,1152	850	149	2.1368462555e-12	1.2599174268005768e-10	0.482,0.496,0.473	0.624,0.637,0.632	-0.147					RI	chrX|-|154350030|154351696|154350030|154350207|154350908|154351696	1.2599174268005768e-10	-0.147	0.4836666666666666	0.631	56658					154350030	154350207	154350908	154351696								154350030	154351696	1175,1125,1314,1847,1666,2075	960,801,919,1393,1457,1624	4155,3808,4635,6898,6490,7587	1184,1023,1340,1070,960,1152						19	chrX	-							19	5038,6085,7345	931,1474,1542	8945,7875,8977	957,932,1100	850	149	2.31314967181e-12	1.2253606024614548e-10	0.487,0.42,0.455	0.621,0.597,0.589	-0.148					1.2253606024614548e-10	-0.148	0.454	0.6023333333333333	51201					154350030	154350207	154350908	154351696								154350030	154351696	944,1020,1386,1653,1467,1764	718,859,1000,1318,1066,1202	3376,4206,4959,5974,5342,6011	931,1474,1542,957,932,1100						1.2599174268005768e-10	-0.147	X	-	154350030	154351696	154350030	154350207	154350908	154351696	1666	0	1820	0	True	False	2.0		1820	2	True	True	1820	True	2.0	True	1	False	ENST00000490936	ENST00000490936	ENST00000360319;ENST00000369850;ENST00000369856;ENST00000420627;ENST00000422373;ENST00000444578;ENST00000462590;ENST00000498411;ENST00000498491;ENST00000610817;ENST00000673639;ENST00000676696;ENST00000678304	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
97	ENSG00000186787	SPIN2B	chrX	-							97	31,48,17	2,0,4	41,2,7	0,0,0	452	149	0.00316983308644	0.0142712309001836	0.836,1.0,0.584	1.0,1.0,1.0	-0.193					RI	chrX|-|57119681|57120631|57119681|57120101|57120404|57120631	0.0142712309001836	-0.193	0.8066666666666666	1.0	152					57119681	57120101	57120404	57120631								57119681	57120631	4,3,0,6,0,1	2,0,0,0,1,0	25,45,17,35,1,6	2,0,4,0,0,0						97	chrX	-							97	24,13,45	7,0,1	11,10,5	0,0,0	452	149	0.000256308307762	0.0016643503984674	0.531,1.0,0.937	1.0,1.0,1.0	-0.177					0.0016643503984674	-0.177	0.8226666666666667	1.0	116					57119681	57120101	57120404	57120631								57119681	57120631	5,1,5,2,4,2	0,1,0,0,3,0	19,11,40,9,3,3	7,0,1,0,0,0						0.0142712309001836	-0.193	X	-	57119681	57120631	57119681	57120101	57120404	57120631	950	0	2979	0	True	False	0.0		2979	0	False	False	2979	True	0.0	False	1	True	ENST00000434397	ENST00000434397	ENST00000275988;ENST00000333933;ENST00000374910;ENST00000460948	True	True	False	0.0	False	CDS	CDS	UFM1_independent
130	ENSG00000215301	DDX3X	chrX	+							130	559,473,599	460,491,547	1066,860,1233	431,420,463	1027	149	1.11022302463e-16	1.2377977430965744e-14	0.15,0.123,0.137	0.264,0.229,0.279	-0.121					RI	chrX|+|41341483|41342653|41341483|41341616|41342494|41342653	1.2377977430965744e-14	-0.121	0.1366666666666666	0.2573333333333333	7602					41341483	41341616	41342494	41342653								41341483	41342653	94,92,89,209,131,214	66,81,93,199,138,200	399,300,417,658,591,819	460,491,547,431,420,463						130	chrX	+							130	454,354,713	508,586,400	1014,866,1104	363,321,316	1027	149	0.0	0.0	0.115,0.081,0.205	0.288,0.281,0.336	-0.168					0.0	-0.168	0.1336666666666666	0.3016666666666667	6999					41341483	41341616	41342494	41342653								41341483	41342653	104,52,128,181,151,292	69,30,83,183,96,188	281,272,502,650,619,624	508,586,400,363,321,316						1.2377977430965744e-14	-0.121	X	+	41341483	41342653	41341483	41341616	41342494	41342653	1170	0	7332	0	True	False	0.0		7332	0	False	False	7332	True	0.0	False	3	False	ENST00000642722;ENST00000645561;ENST00000646196	ENST00000642722;ENST00000645561;ENST00000646196	ENST00000399959;ENST00000441189;ENST00000457138;ENST00000478993;ENST00000542215;ENST00000610559;ENST00000611546;ENST00000615313;ENST00000615742;ENST00000622198;ENST00000625837;ENST00000626301;ENST00000629496;ENST00000629785;ENST00000630255;ENST00000630370;ENST00000630858;ENST00000631641;ENST00000642161;ENST00000642322;ENST00000642424;ENST00000642589;ENST00000642597;ENST00000642624;ENST00000642687;ENST00000642763;ENST00000642793;ENST00000643963;ENST00000644073;ENST00000644074;ENST00000644109;ENST00000644260;ENST00000644307;ENST00000644513;ENST00000644677;ENST00000644876;ENST00000644958;ENST00000645080;ENST00000645120;ENST00000645253;ENST00000645338;ENST00000645380;ENST00000645574;ENST00000645589;ENST00000645783;ENST00000646107;ENST00000646122;ENST00000646223;ENST00000646319;ENST00000646390;ENST00000646627;ENST00000646679;ENST00000646822;ENST00000646940;ENST00000647219;ENST00000647286	False	False	False	0.0	False	Stop_Codon	Stop_Codon	UFM1_independent
144	ENSG00000182220	ATP6AP2	chrX	+							144	49,40,27	0,8,0	24,62,64	0,0,0	1189	149	0.00231342677758	0.0110224809635746	1.0,0.385,1.0	1.0,1.0,1.0	-0.205					RI	chrX|+|40599591|40600881|40599591|40599741|40600781|40600881	0.0110224809635746	-0.205	0.795	1.0	274					40599591	40599741	40600781	40600881								40599591	40600881	4,3,7,10,24,11	14,11,2,6,24,11	31,26,18,8,14,42	0,8,0,0,0,0						144	chrX	+							144	31,72,53	0,0,0	24,48,41	10,0,0	1189	149	0.0052323153403	0.0210092768218561	1.0,1.0,1.0	0.231,1.0,1.0	0.256					0.0210092768218561	0.256	1.0	0.7436666666666667	279					40599591	40599741	40600781	40600881								40599591	40600881	0,6,0,5,22,15	9,22,6,0,0,0	22,44,47,19,26,26	0,0,0,10,0,0						0.0110224809635746	-0.205	X	+	40599591	40600881	40599591	40599741	40600781	40600881	1290	0	4076	0	True	False	2.0		4076	2	True	True	4076	True	2.0	True	1	False	ENST00000635829	ENST00000635829	ENST00000378438;ENST00000423649;ENST00000447485;ENST00000486558;ENST00000635734;ENST00000635774;ENST00000636196;ENST00000636251;ENST00000636287;ENST00000636409;ENST00000636574;ENST00000636580;ENST00000636639;ENST00000636787;ENST00000636970;ENST00000637019;ENST00000637140;ENST00000637165;ENST00000637327;ENST00000637482;ENST00000637526;ENST00000637614;ENST00000637793;ENST00000637930;ENST00000637955;ENST00000638046;ENST00000638153	False	False	False	0.0	False	CDS	CDS	UFM1_independent
317	ENSG00000166913	YWHAB	chr20	+							317	832,806,1038	82,110,104	1326,1448,2010	40,66,82	2308	149	1.1657341758599999e-14	1.035982893677322e-12	0.396,0.321,0.392	0.682,0.586,0.613	-0.257					RI	chr20|+|44901530|44904116|44901530|44901833|44903992|44904116	1.035982893677322e-12	-0.257	0.3696666666666667	0.627	7944					44901530	44901833	44903992	44904116								44901530	44904116	17,28,37,60,54,72	40,19,52,85,85,114	775,759,949,1181,1309,1824	82,110,104,40,66,82						317	chr20	+							317	501,771,894	100,139,115	1297,1060,1492	62,40,96	2308	149	2.33146835171e-15	2.011391053710956e-13	0.244,0.264,0.334	0.575,0.631,0.501	-0.288					2.011391053710956e-13	-0.288	0.2806666666666667	0.569	6567					44901530	44901833	44903992	44904116								44901530	44904116	32,38,28,57,41,70	30,22,46,109,74,72	439,711,820,1131,945,1350	100,139,115,62,40,96						1.035982893677322e-12	-0.257	20	+	44901530	44904116	44901530	44901833	44903992	44904116	2586	0	2059	0	True	False	1.0		2059	1	True	True	2059	True	1.0	True	1	False	ENST00000631616	ENST00000631616	ENST00000353703;ENST00000372839;ENST00000428262;ENST00000445830;ENST00000477896;ENST00000479421;ENST00000633979	False	False	False	0.0	False	Stop_Codon	Stop_Codon	UFM1_independent
342	ENSG00000101384	JAG1	chr20	-							342	46,16,27	2,9,0	9,6,28	0,0,0	533	149	7.05593215591e-05	0.0006017660080673	0.865,0.332,1.0	1.0,1.0,1.0	-0.268					RI	chr20|-|10648548|10649107|10648548|10648676|10649060|10649107	0.0006017660080673	-0.268	0.7323333333333333	1.0	143					10648548	10648676	10649060	10649107								10648548	10649107	13,6,17,3,0,7	7,0,0,0,0,5	26,10,10,6,6,16	2,9,0,0,0,0						342	chr20	-							342	18,6,2	0,0,0	17,4,7	0,4,2	533	149	4.58241267092e-05	0.000395331287424	1.0,1.0,1.0	1.0,0.218,0.495	0.429					0.000395331287424	0.429	1.0	0.571	60					10648548	10648676	10649060	10649107								10648548	10649107	18,6,2,17,3,3	0,0,0,0,1,2	0,0,0,0,0,2	0,0,0,0,4,2						0.0006017660080673	-0.268	20	-	10648548	10649107	10648548	10648676	10649060	10649107	559	0	316	0	True	False	1.0		316	1	True	True	316	True	1.0	True	1	False	ENST00000620743	ENST00000620743	ENST00000254958;ENST00000423891;ENST00000617965;ENST00000622545	False	False	False	0.0	False	CDS	CDS	UFM1_independent
1329	ENSG00000100241	SBF1	chr22	-							1329	4,4,4	113,58,104	22,19,16	37,97,93	232	149	1.39137724675e-08	3.454220759947773e-07	0.022,0.042,0.024	0.276,0.112,0.099	-0.133					RI	chr22|-|50467337|50467693|50467337|50467448|50467531|50467693	3.454220759947773e-07	-0.133	0.0293333333333333	0.1623333333333333	571					50467337	50467448	50467531	50467693								50467337	50467693	3,2,4,2,15,8	1,2,3,21,4,12	0,0,0,0,0,0	113,58,104,37,97,93						1329	chr22	-							1329	22,30,54	105,124,104	11,3,0	61,77,129	232	149	1.54035117994e-10	5.6720614485717445e-09	0.119,0.134,0.25	0.104,0.024,0.0	0.125					5.6720614485717445e-09	0.125	0.1676666666666666	0.0426666666666666	720					50467337	50467448	50467531	50467693								50467337	50467693	16,1,37,4,2,0	13,30,27,7,1,0	0,0,0,0,0,0	105,124,104,61,77,129						3.454220759947773e-07	-0.133	22	-	50467337	50467693	50467337	50467448	50467531	50467693	356	0	5875	0	True	False	1.0		5875	1	True	True	5875	True	1.0	True	1	False	ENST00000685180	ENST00000685180	ENST00000348911;ENST00000380817;ENST00000399627;ENST00000477234;ENST00000684986;ENST00000685809;ENST00000685960;ENST00000686222;ENST00000686421;ENST00000686427;ENST00000686801;ENST00000687016;ENST00000687340;ENST00000687704;ENST00000687878;ENST00000688066;ENST00000688124;ENST00000688848;ENST00000689129;ENST00000689981;ENST00000690155;ENST00000690369;ENST00000690990;ENST00000691233;ENST00000691344;ENST00000691792;ENST00000692076;ENST00000693052;ENST00000693440	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
1399	ENSG00000262152	GREP1	chr16	+							1399	0,0,6	12,4,4	9,12,7	0,0,2	578	149	4.93013707636e-09	1.4289941656391376e-07	0.0,0.0,0.279	1.0,1.0,0.474	-0.732					RI	chr16|+|2990086|2990587|2990086|2990122|2990551|2990587	1.4289941656391376e-07	-0.732	0.093	0.8246666666666667	56					2990086	2990122	2990551	2990587								2990086	2990587	0,0,2,3,0,5	0,0,0,6,2,2	0,0,4,0,10,0	12,4,4,0,0,2						1399	chr16	+							1399	7,7,13	0,8,0	2,4,3	7,8,2	578	149	0.000551029666558	0.0032120348999457	1.0,0.184,1.0	0.069,0.114,0.279	0.574					0.0032120348999457	0.574	0.728	0.154	61					2990086	2990122	2990551	2990587								2990086	2990587	0,0,0,0,2,0	7,2,9,2,2,3	0,5,4,0,0,0	0,8,0,7,8,2						1.4289941656391376e-07	-0.732	16	+	2990086	2990587	2990086	2990122	2990551	2990587	501	0	105	0	True	False	0.0		105	0	False	False	105	True	0.0	False	1	False	ENST00000572266	ENST00000572266	ENST00000571152;ENST00000573315;ENST00000573465	False	False	False	0.0	False	CDS	CDS	UFM1_independent
1539	ENSG00000174444	RPL4	chr15	-							1539	1373,1492,1609	436,562,699	1265,1612,2251	281,443,502	418	149	1.31492674937e-06	1.9243748990780047e-05	0.529,0.486,0.451	0.616,0.565,0.615	-0.11					RI	chr15|-|66500948|66501504|66500948|66501105|66501374|66501504	1.9243748990780047e-05	-0.11	0.4886666666666667	0.5986666666666667	12525					66500948	66501105	66501374	66501504								66500948	66501504	577,574,543,454,515,761	323,300,393,289,339,611	473,618,673,522,758,879	436,562,699,281,443,502						1539	chr15	-							1539	1011,1349,1780	514,595,660	1405,1546,1508	284,366,506	418	149	5.63800454356e-06	6.795989907895975e-05	0.412,0.447,0.49	0.638,0.601,0.515	-0.135					6.795989907895975e-05	-0.135	0.4496666666666666	0.5846666666666667	11524					66500948	66501105	66501374	66501504								66500948	66501504	295,452,586,429,469,572	233,317,437,399,377,338	483,580,757,577,700,598	514,595,660,284,366,506						1.9243748990780047e-05	-0.11	15	-	66500948	66501504	66500948	66501105	66501374	66501504	556	0	574	0	True	False	1.0		574	1	True	True	574	True	1.0	True	1	False	ENST00000567229	ENST00000567229	ENST00000307961;ENST00000561775;ENST00000563473;ENST00000564439;ENST00000564647;ENST00000566039;ENST00000568588;ENST00000569696	False	False	False	0.0	False	3UTR	3UTR	UFM1_independent
1698	ENSG00000086504	MRPL28	chr16	-							1698	189,126,243	97,141,140	177,194,216	64,78,47	859	149	2.60081280032e-05	0.0002597424119146	0.253,0.134,0.231	0.324,0.301,0.444	-0.15					RI	chr16|-|368500|370225|368500|369220|369930|370225	0.0002597424119146	-0.15	0.206	0.3563333333333333	1712					368500	369220	369930	370225								368500	370225	38,0,19,16,23,24	22,50,19,33,26,36	129,76,205,128,145,156	97,141,140,64,78,47						1698	chr16	-							1698	114,177,175	93,150,154	123,213,211	76,60,89	859	149	3.02569522748e-05	0.0002850810640347	0.175,0.17,0.165	0.219,0.381,0.291	-0.127					0.0002850810640347	-0.127	0.17	0.297	1635					368500	369220	369930	370225								368500	370225	16,15,21,17,57,32	23,48,50,25,20,23	75,114,104,81,136,156	93,150,154,76,60,89						0.0002597424119146	-0.15	16	-	368500	370225	368500	369220	369930	370225	1725	0	3456	0	True	False	0.0		3456	0	False	False	3456	True	0.0	False	1	False	ENST00000481453	ENST00000481453	ENST00000199706;ENST00000389675;ENST00000441883;ENST00000447696;ENST00000450882;ENST00000461550;ENST00000469744;ENST00000483764;ENST00000648346	False	False	False	0.0	False	NonCoding	NonCoding	UFM1_independent
