motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_735_ENST00000696628.1::X:154767061-154767255(+)	886	6.56796	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_530_ENST00000354454.7::12:25079290-25079397(+)	681	5.12027	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_813_ENST00000550829.1::12:52592491-52592891(-)	964	4.20287	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_1157_ENST00000556029.6::12:98544537-98544950(+)	1308	3.70067	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_1196_ENST00000380171.9::2:27216620-27216843(+)	1347	3.65084	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_169_ENST00000367053.6::1:207569238-207569846(+)	320	3.36335	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_552_ENST00000395745.6::3:47849079-47849191(+)	703	3.32591	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_343_ENST00000579762.1::17:28357881-28358313(+)	494	3.26484	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_988_ENST00000310574.8::2:27203345-27203778(-)	1139	3.23462	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_920_ENST00000648525.1::3:120689888-120690448(-)	1071	3.05984	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_719_ENST00000379109.7::11:31806462-31806848(-)	870	3.04935	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_489_ENST00000376490.7::1:11815911-11816614(+)	640	2.82674	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_150_ENST00000650912.1::5:131988904-131989406(-)	301	2.72349	fp
