ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	EventType	event_id	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM
19	ENSG00000196924.19	FLNA	chrX	-	NA	NA	NA	NA	NA	NA	19	6290,5734,6868	1184,1023,1340	10138,9613,11286	1070,960,1152	850	149	2.1368462555e-12	1.2599174268005768e-10	0.482,0.496,0.473	0.624,0.637,0.632	-0.147	NA	NA	NA	NA	RI	chrX|-|154350030|154351696|154350030|154350207|154350908|154351696	1.2599174268005768e-10	-0.147	0.48366666666666663	0.631	56658	NA	NA	NA	NA	154350030	154350207	154350908	154351696	NA	NA	NA	NA	NA	NA	NA	154350030	154351696	1175,1125,1314,1847,1666,2075	960,801,919,1393,1457,1624	4155,3808,4635,6898,6490,7587	1184,1023,1340,1070,960,1152	NA	NA	NA	NA	NA	19	chrX	-	NA	NA	NA	NA	NA	NA	19	5038,6085,7345	931,1474,1542	8945,7875,8977	957,932,1100	850	149	2.31314967181e-12	1.225360602461455e-10	0.487,0.42,0.455	0.621,0.597,0.589	-0.148	NA	NA	NA	NA	1.225360602461455e-10	-0.148	0.454	0.6023333333333333	51201	NA	NA	NA	NA	154350030	154350207	154350908	154351696	NA	NA	NA	NA	NA	NA	NA	154350030	154351696	944,1020,1386,1653,1467,1764	718,859,1000,1318,1066,1202	3376,4206,4959,5974,5342,6011	931,1474,1542,957,932,1100	NA	NA	NA	NA	NA
97	ENSG00000186787.10	SPIN2B	chrX	-	NA	NA	NA	NA	NA	NA	97	31,48,17	2,0,4	41,2,7	0,0,0	452	149	0.00316983308644	0.01427123090018361	0.836,1.0,0.584	1.0,1.0,1.0	-0.193	NA	NA	NA	NA	RI	chrX|-|57119681|57120631|57119681|57120101|57120404|57120631	0.01427123090018361	-0.193	0.8066666666666666	1	152	NA	NA	NA	NA	57119681	57120101	57120404	57120631	NA	NA	NA	NA	NA	NA	NA	57119681	57120631	4,3,0,6,0,1	2,0,0,0,1,0	25,45,17,35,1,6	2,0,4,0,0,0	NA	NA	NA	NA	NA	97	chrX	-	NA	NA	NA	NA	NA	NA	97	24,13,45	7,0,1	11,10,5	0,0,0	452	149	2.56308307762e-4	0.00166435039846743	0.531,1.0,0.937	1.0,1.0,1.0	-0.177	NA	NA	NA	NA	0.00166435039846743	-0.177	0.8226666666666667	1	116	NA	NA	NA	NA	57119681	57120101	57120404	57120631	NA	NA	NA	NA	NA	NA	NA	57119681	57120631	5,1,5,2,4,2	0,1,0,0,3,0	19,11,40,9,3,3	7,0,1,0,0,0	NA	NA	NA	NA	NA
130	ENSG00000215301.11	DDX3X	chrX	+	NA	NA	NA	NA	NA	NA	130	559,473,599	460,491,547	1066,860,1233	431,420,463	1027	149	1.11022302463e-16	1.2377977430965744e-14	0.15,0.123,0.137	0.264,0.229,0.279	-0.121	NA	NA	NA	NA	RI	chrX|+|41341483|41342653|41341483|41341616|41342494|41342653	1.2377977430965744e-14	-0.121	0.13666666666666666	0.25733333333333336	7602	NA	NA	NA	NA	41341483	41341616	41342494	41342653	NA	NA	NA	NA	NA	NA	NA	41341483	41342653	94,92,89,209,131,214	66,81,93,199,138,200	399,300,417,658,591,819	460,491,547,431,420,463	NA	NA	NA	NA	NA	130	chrX	+	NA	NA	NA	NA	NA	NA	130	454,354,713	508,586,400	1014,866,1104	363,321,316	1027	149	0	0	0.115,0.081,0.205	0.288,0.281,0.336	-0.168	NA	NA	NA	NA	0	-0.168	0.13366666666666666	0.3016666666666667	6999	NA	NA	NA	NA	41341483	41341616	41342494	41342653	NA	NA	NA	NA	NA	NA	NA	41341483	41342653	104,52,128,181,151,292	69,30,83,183,96,188	281,272,502,650,619,624	508,586,400,363,321,316	NA	NA	NA	NA	NA
144	ENSG00000182220.15	ATP6AP2	chrX	+	NA	NA	NA	NA	NA	NA	144	49,40,27	0,8,0	24,62,64	0,0,0	1189	149	0.00231342677758	0.01102248096357463	1.0,0.385,1.0	1.0,1.0,1.0	-0.205	NA	NA	NA	NA	RI	chrX|+|40599591|40600881|40599591|40599741|40600781|40600881	0.01102248096357463	-0.205	0.795	1	274	NA	NA	NA	NA	40599591	40599741	40600781	40600881	NA	NA	NA	NA	NA	NA	NA	40599591	40600881	4,3,7,10,24,11	14,11,2,6,24,11	31,26,18,8,14,42	0,8,0,0,0,0	NA	NA	NA	NA	NA	144	chrX	+	NA	NA	NA	NA	NA	NA	144	31,72,53	0,0,0	24,48,41	10,0,0	1189	149	0.0052323153403	0.02100927682185618	1.0,1.0,1.0	0.231,1.0,1.0	0.256	NA	NA	NA	NA	0.02100927682185618	0.256	1	0.7436666666666667	279	NA	NA	NA	NA	40599591	40599741	40600781	40600881	NA	NA	NA	NA	NA	NA	NA	40599591	40600881	0,6,0,5,22,15	9,22,6,0,0,0	22,44,47,19,26,26	0,0,0,10,0,0	NA	NA	NA	NA	NA
317	ENSG00000166913.13	YWHAB	chr20	+	NA	NA	NA	NA	NA	NA	317	832,806,1038	82,110,104	1326,1448,2010	40,66,82	2308	149	1.1657341758599999e-14	1.035982893677322e-12	0.396,0.321,0.392	0.682,0.586,0.613	-0.257	NA	NA	NA	NA	RI	chr20|+|44901530|44904116|44901530|44901833|44903992|44904116	1.035982893677322e-12	-0.257	0.3696666666666667	0.627	7944	NA	NA	NA	NA	44901530	44901833	44903992	44904116	NA	NA	NA	NA	NA	NA	NA	44901530	44904116	17,28,37,60,54,72	40,19,52,85,85,114	775,759,949,1181,1309,1824	82,110,104,40,66,82	NA	NA	NA	NA	NA	317	chr20	+	NA	NA	NA	NA	NA	NA	317	501,771,894	100,139,115	1297,1060,1492	62,40,96	2308	149	2.33146835171e-15	2.0113910537109559e-13	0.244,0.264,0.334	0.575,0.631,0.501	-0.288	NA	NA	NA	NA	2.0113910537109559e-13	-0.288	0.2806666666666667	0.569	6567	NA	NA	NA	NA	44901530	44901833	44903992	44904116	NA	NA	NA	NA	NA	NA	NA	44901530	44904116	32,38,28,57,41,70	30,22,46,109,74,72	439,711,820,1131,945,1350	100,139,115,62,40,96	NA	NA	NA	NA	NA
342	ENSG00000101384.12	JAG1	chr20	-	NA	NA	NA	NA	NA	NA	342	46,16,27	2,9,0	9,6,28	0,0,0	533	149	7.05593215591e-5	6.0176600806731e-4	0.865,0.332,1.0	1.0,1.0,1.0	-0.268	NA	NA	NA	NA	RI	chr20|-|10648548|10649107|10648548|10648676|10649060|10649107	6.0176600806731e-4	-0.268	0.7323333333333333	1	143	NA	NA	NA	NA	10648548	10648676	10649060	10649107	NA	NA	NA	NA	NA	NA	NA	10648548	10649107	13,6,17,3,0,7	7,0,0,0,0,5	26,10,10,6,6,16	2,9,0,0,0,0	NA	NA	NA	NA	NA	342	chr20	-	NA	NA	NA	NA	NA	NA	342	18,6,2	0,0,0	17,4,7	0,4,2	533	149	4.58241267092e-5	3.9533128742408e-4	1.0,1.0,1.0	1.0,0.218,0.495	0.429	NA	NA	NA	NA	3.9533128742408e-4	0.429	1	0.571	60	NA	NA	NA	NA	10648548	10648676	10649060	10649107	NA	NA	NA	NA	NA	NA	NA	10648548	10649107	18,6,2,17,3,3	0,0,0,0,1,2	0,0,0,0,0,2	0,0,0,0,4,2	NA	NA	NA	NA	NA
1329	ENSG00000100241.22	SBF1	chr22	-	NA	NA	NA	NA	NA	NA	1329	4,4,4	113,58,104	22,19,16	37,97,93	232	149	1.39137724675e-8	3.454220759947773e-7	0.022,0.042,0.024	0.276,0.112,0.099	-0.133	NA	NA	NA	NA	RI	chr22|-|50467337|50467693|50467337|50467448|50467531|50467693	3.454220759947773e-7	-0.133	0.029333333333333333	0.16233333333333333	571	NA	NA	NA	NA	50467337	50467448	50467531	50467693	NA	NA	NA	NA	NA	NA	NA	50467337	50467693	3,2,4,2,15,8	1,2,3,21,4,12	0,0,0,0,0,0	113,58,104,37,97,93	NA	NA	NA	NA	NA	1329	chr22	-	NA	NA	NA	NA	NA	NA	1329	22,30,54	105,124,104	11,3,0	61,77,129	232	149	1.54035117994e-10	5.6720614485717445e-9	0.119,0.134,0.25	0.104,0.024,0.0	0.125	NA	NA	NA	NA	5.6720614485717445e-9	0.125	0.16766666666666666	0.042666666666666665	720	NA	NA	NA	NA	50467337	50467448	50467531	50467693	NA	NA	NA	NA	NA	NA	NA	50467337	50467693	16,1,37,4,2,0	13,30,27,7,1,0	0,0,0,0,0,0	105,124,104,61,77,129	NA	NA	NA	NA	NA
1399	ENSG00000262152.7	GREP1	chr16	+	NA	NA	NA	NA	NA	NA	1399	0,0,6	12,4,4	9,12,7	0,0,2	578	149	4.93013707636e-9	1.4289941656391376e-7	0.0,0.0,0.279	1.0,1.0,0.474	-0.732	NA	NA	NA	NA	RI	chr16|+|2990086|2990587|2990086|2990122|2990551|2990587	1.4289941656391376e-7	-0.732	0.093	0.8246666666666667	56	NA	NA	NA	NA	2990086	2990122	2990551	2990587	NA	NA	NA	NA	NA	NA	NA	2990086	2990587	0,0,2,3,0,5	0,0,0,6,2,2	0,0,4,0,10,0	12,4,4,0,0,2	NA	NA	NA	NA	NA	1399	chr16	+	NA	NA	NA	NA	NA	NA	1399	7,7,13	0,8,0	2,4,3	7,8,2	578	149	5.51029666558e-4	0.00321203489994571	1.0,0.184,1.0	0.069,0.114,0.279	0.574	NA	NA	NA	NA	0.00321203489994571	0.574	0.728	0.15400000000000003	61	NA	NA	NA	NA	2990086	2990122	2990551	2990587	NA	NA	NA	NA	NA	NA	NA	2990086	2990587	0,0,0,0,2,0	7,2,9,2,2,3	0,5,4,0,0,0	0,8,0,7,8,2	NA	NA	NA	NA	NA
1539	ENSG00000174444.15	RPL4	chr15	-	NA	NA	NA	NA	NA	NA	1539	1373,1492,1609	436,562,699	1265,1612,2251	281,443,502	418	149	1.31492674937e-6	1.9243748990780047e-5	0.529,0.486,0.451	0.616,0.565,0.615	-0.11	NA	NA	NA	NA	RI	chr15|-|66500948|66501504|66500948|66501105|66501374|66501504	1.9243748990780047e-5	-0.11	0.4886666666666667	0.5986666666666667	12525	NA	NA	NA	NA	66500948	66501105	66501374	66501504	NA	NA	NA	NA	NA	NA	NA	66500948	66501504	577,574,543,454,515,761	323,300,393,289,339,611	473,618,673,522,758,879	436,562,699,281,443,502	NA	NA	NA	NA	NA	1539	chr15	-	NA	NA	NA	NA	NA	NA	1539	1011,1349,1780	514,595,660	1405,1546,1508	284,366,506	418	149	5.63800454356e-6	6.795989907895975e-5	0.412,0.447,0.49	0.638,0.601,0.515	-0.135	NA	NA	NA	NA	6.795989907895975e-5	-0.135	0.44966666666666666	0.5846666666666667	11524	NA	NA	NA	NA	66500948	66501105	66501374	66501504	NA	NA	NA	NA	NA	NA	NA	66500948	66501504	295,452,586,429,469,572	233,317,437,399,377,338	483,580,757,577,700,598	514,595,660,284,366,506	NA	NA	NA	NA	NA
1698	ENSG00000086504.18	MRPL28	chr16	-	NA	NA	NA	NA	NA	NA	1698	189,126,243	97,141,140	177,194,216	64,78,47	859	149	2.60081280032e-5	2.5974241191469e-4	0.253,0.134,0.231	0.324,0.301,0.444	-0.15	NA	NA	NA	NA	RI	chr16|-|368500|370225|368500|369220|369930|370225	2.5974241191469e-4	-0.15	0.20600000000000002	0.35633333333333334	1712	NA	NA	NA	NA	368500	369220	369930	370225	NA	NA	NA	NA	NA	NA	NA	368500	370225	38,0,19,16,23,24	22,50,19,33,26,36	129,76,205,128,145,156	97,141,140,64,78,47	NA	NA	NA	NA	NA	1698	chr16	-	NA	NA	NA	NA	NA	NA	1698	114,177,175	93,150,154	123,213,211	76,60,89	859	149	3.02569522748e-5	2.8508106403479e-4	0.175,0.17,0.165	0.219,0.381,0.291	-0.127	NA	NA	NA	NA	2.8508106403479e-4	-0.127	0.17	0.297	1635	NA	NA	NA	NA	368500	369220	369930	370225	NA	NA	NA	NA	NA	NA	NA	368500	370225	16,15,21,17,57,32	23,48,50,25,20,23	75,114,104,81,136,156	93,150,154,76,60,89	NA	NA	NA	NA	NA
