SYMBOL	cluster	uniprot	ENSEMBL	GENENAME	GO_terms	GO_names	pbc	p_value	present_median	present_average	present_consistency	xabsent_median	xabsent_average	xabsent_consistency
AAAS	I14_OG004517	Q9NRG9	ENSG00000094914	aladin WD repeat nucleoporin	GO:0000922; GO:0001578; GO:0005515; GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005813; GO:0005829; GO:0006749; GO:0006913; GO:0006979; GO:0007612; GO:0009566; GO:0015031; GO:0016020; GO:0031965; GO:0035264; GO:0046822; GO:0051028; GO:0072686; GO:0090307	spindle pole; microtubule bundle formation; protein binding; nucleus; nuclear envelope; nuclear pore; nucleoplasm; centrosome; cytosol; glutathione metabolic process; nucleocytoplasmic transport; response to oxidative stress; learning; fertilization; protein transport; membrane; nuclear membrane; multicellular organism growth; regulation of nucleocytoplasmic transport; mRNA transport; mitotic spindle; mitotic spindle assembly	0.4973	0.02774	1.0	0.8181818181818182	0.8181818181818181	0.0	0.3125	0.3125
AAAS	I14_OG004517	Q9NRG9	ENSG00000291836	aladin WD repeat nucleoporin	GO:0000922; GO:0001578; GO:0005515; GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005813; GO:0005829; GO:0006749; GO:0006913; GO:0006979; GO:0007612; GO:0009566; GO:0015031; GO:0016020; GO:0031965; GO:0035264; GO:0046822; GO:0051028; GO:0072686; GO:0090307	spindle pole; microtubule bundle formation; protein binding; nucleus; nuclear envelope; nuclear pore; nucleoplasm; centrosome; cytosol; glutathione metabolic process; nucleocytoplasmic transport; response to oxidative stress; learning; fertilization; protein transport; membrane; nuclear membrane; multicellular organism growth; regulation of nucleocytoplasmic transport; mRNA transport; mitotic spindle; mitotic spindle assembly	0.4973	0.02774	1.0	0.8181818181818182	0.8181818181818181	0.0	0.3125	0.3125
ABCB10	I60_OG000105	Q9NRK6	ENSG00000135776	ATP binding cassette subfamily B member 10	GO:0005515; GO:0005524; GO:0005739; GO:0005743; GO:0006783; GO:0006839; GO:0016887; GO:0031966; GO:0034514; GO:0042803; GO:0045648; GO:0046985; GO:0048821; GO:0055085; GO:0070455; GO:0140359	protein binding; ATP binding; mitochondrion; mitochondrial inner membrane; heme biosynthetic process; mitochondrial transport; ATP hydrolysis activity; mitochondrial membrane; mitochondrial unfolded protein response; protein homodimerization activity; positive regulation of erythrocyte differentiation; positive regulation of hemoglobin biosynthetic process; erythrocyte development; transmembrane transport; positive regulation of heme biosynthetic process; ABC-type transporter activity	0.2932	0.04578	1	1.0	1.0	1.0	0.8125	0.8125
ABCB8	I60_OG000105	Q9NUT2	ENSG00000197150	ATP binding cassette subfamily B member 8	GO:0005515; GO:0005524; GO:0005654; GO:0005730; GO:0005739; GO:0005743; GO:0006884; GO:0015833; GO:0016020; GO:0016887; GO:0031966; GO:0042626; GO:0043190; GO:0055085; GO:0062157; GO:0071805; GO:0140141	protein binding; ATP binding; nucleoplasm; nucleolus; mitochondrion; mitochondrial inner membrane; cell volume homeostasis; peptide transport; membrane; ATP hydrolysis activity; mitochondrial membrane; ATPase-coupled transmembrane transporter activity; ATP-binding cassette (ABC) transporter complex; transmembrane transport; mitochondrial ATP-gated potassium channel complex; potassium ion transmembrane transport; mitochondrial potassium ion transmembrane transport	0.2932	0.04578	1	1.0	1.0	1.0	0.8125	0.8125
ABCB9	I60_OG000105	Q9NP78	ENSG00000150967	ATP binding cassette subfamily B member 9	GO:0005515; GO:0005524; GO:0005764; GO:0005765; GO:0005789; GO:0006518; GO:0015031; GO:0015421; GO:0015440; GO:0015833; GO:0016020; GO:0016887; GO:0022857; GO:0035672; GO:0042803; GO:0043231; GO:0055085	protein binding; ATP binding; lysosome; lysosomal membrane; endoplasmic reticulum membrane; peptide metabolic process; protein transport; ABC-type oligopeptide transporter activity; ABC-type peptide transporter activity; peptide transport; membrane; ATP hydrolysis activity; transmembrane transporter activity; oligopeptide transmembrane transport; protein homodimerization activity; intracellular membrane-bounded organelle; transmembrane transport	0.2932	0.04578	1	1.0	1.0	1.0	0.8125	0.8125
ABCD1	I14_OG000396	P33897	ENSG00000101986	ATP binding cassette subfamily D member 1	GO:0000038; GO:0002082; GO:0005324; GO:0005515; GO:0005524; GO:0005737; GO:0005765; GO:0005777; GO:0005778; GO:0005789; GO:0005829; GO:0006635; GO:0007031; GO:0015607; GO:0015910; GO:0015916; GO:0015919; GO:0016020; GO:0016887; GO:0019899; GO:0030497; GO:0031966; GO:0031998; GO:0032000; GO:0036109; GO:0036113; GO:0042626; GO:0042758; GO:0042760; GO:0042802; GO:0042803; GO:0043217; GO:0043531; GO:0043651; GO:0046982; GO:0047617; GO:0048471; GO:0051900; GO:0052817; GO:0055089; GO:0055092; GO:1900016; GO:1900407; GO:1903427; GO:1990535; GO:2001280	very long-chain fatty acid metabolic process; regulation of oxidative phosphorylation; long-chain fatty acid transmembrane transporter activity; protein binding; ATP binding; cytoplasm; lysosomal membrane; peroxisome; peroxisomal membrane; endoplasmic reticulum membrane; cytosol; fatty acid beta-oxidation; peroxisome organization; ABC-type fatty-acyl-CoA transporter activity; long-chain fatty acid import into peroxisome; fatty-acyl-CoA transport; peroxisomal membrane transport; membrane; ATP hydrolysis activity; enzyme binding; fatty acid elongation; mitochondrial membrane; regulation of fatty acid beta-oxidation; positive regulation of fatty acid beta-oxidation; alpha-linolenic acid metabolic process; very long-chain fatty-acyl-CoA catabolic process; ATPase-coupled transmembrane transporter activity; long-chain fatty acid catabolic process; very long-chain fatty acid catabolic process; identical protein binding; protein homodimerization activity; myelin maintenance; ADP binding; linoleic acid metabolic process; protein heterodimerization activity; fatty acyl-CoA hydrolase activity; perinuclear region of cytoplasm; regulation of mitochondrial depolarization; very long-chain fatty acyl-CoA hydrolase activity; fatty acid homeostasis; sterol homeostasis; negative regulation of cytokine production involved in inflammatory response; regulation of cellular response to oxidative stress; negative regulation of reactive oxygen species biosynthetic process; neuron projection maintenance; positive regulation of unsaturated fatty acid biosynthetic process	0.3953	0.01257	1	1.0	1.0	1.0	0.6875	0.6875
ABCD2	I14_OG000396	Q9UBJ2	ENSG00000173208	ATP binding cassette subfamily D member 2	GO:0000038; GO:0005324; GO:0005515; GO:0005524; GO:0005777; GO:0005778; GO:0005829; GO:0006635; GO:0007031; GO:0009617; GO:0015910; GO:0016887; GO:0032000; GO:0042626; GO:0042760; GO:0042803; GO:0043217; GO:0046982; GO:0047617; GO:0140359; GO:1900016; GO:1903427; GO:1990535; GO:2001280	very long-chain fatty acid metabolic process; long-chain fatty acid transmembrane transporter activity; protein binding; ATP binding; peroxisome; peroxisomal membrane; cytosol; fatty acid beta-oxidation; peroxisome organization; response to bacterium; long-chain fatty acid import into peroxisome; ATP hydrolysis activity; positive regulation of fatty acid beta-oxidation; ATPase-coupled transmembrane transporter activity; very long-chain fatty acid catabolic process; protein homodimerization activity; myelin maintenance; protein heterodimerization activity; fatty acyl-CoA hydrolase activity; ABC-type transporter activity; negative regulation of cytokine production involved in inflammatory response; negative regulation of reactive oxygen species biosynthetic process; neuron projection maintenance; positive regulation of unsaturated fatty acid biosynthetic process	0.3953	0.01257	1	1.0	1.0	1.0	0.6875	0.6875
ABCD3	I14_OG000396	P28288	ENSG00000117528	ATP binding cassette subfamily D member 3	GO:0000038; GO:0005324; GO:0005515; GO:0005524; GO:0005739; GO:0005777; GO:0005778; GO:0005782; GO:0005829; GO:0006633; GO:0006635; GO:0006699; GO:0007031; GO:0009410; GO:0015721; GO:0015910; GO:0016020; GO:0016887; GO:0042626; GO:0042760; GO:0042803; GO:0043231; GO:0047617; GO:0140359; GO:1903512	very long-chain fatty acid metabolic process; long-chain fatty acid transmembrane transporter activity; protein binding; ATP binding; mitochondrion; peroxisome; peroxisomal membrane; peroxisomal matrix; cytosol; fatty acid biosynthetic process; fatty acid beta-oxidation; bile acid biosynthetic process; peroxisome organization; response to xenobiotic stimulus; bile acid and bile salt transport; long-chain fatty acid import into peroxisome; membrane; ATP hydrolysis activity; ATPase-coupled transmembrane transporter activity; very long-chain fatty acid catabolic process; protein homodimerization activity; intracellular membrane-bounded organelle; fatty acyl-CoA hydrolase activity; ABC-type transporter activity; phytanic acid metabolic process	0.3953	0.01257	1	1.0	1.0	1.0	0.6875	0.6875
ABCD4	I14_OG000396	O14678	ENSG00000119688	ATP binding cassette subfamily D member 4	GO:0005324; GO:0005515; GO:0005524; GO:0005765; GO:0005777; GO:0005778; GO:0005789; GO:0006635; GO:0007031; GO:0009235; GO:0015420; GO:0015889; GO:0015910; GO:0016020; GO:0016887; GO:0042626; GO:0042760; GO:0042802; GO:0043190; GO:0055085; GO:1990830	long-chain fatty acid transmembrane transporter activity; protein binding; ATP binding; lysosomal membrane; peroxisome; peroxisomal membrane; endoplasmic reticulum membrane; fatty acid beta-oxidation; peroxisome organization; cobalamin metabolic process; ABC-type vitamin B12 transporter activity; cobalamin transport; long-chain fatty acid import into peroxisome; membrane; ATP hydrolysis activity; ATPase-coupled transmembrane transporter activity; very long-chain fatty acid catabolic process; identical protein binding; ATP-binding cassette (ABC) transporter complex; transmembrane transport; cellular response to leukemia inhibitory factor	0.3953	0.01257	1	1.0	1.0	1.0	0.6875	0.6875
ACAD9	I60_OG000195	Q9H845	ENSG00000177646	acyl-CoA dehydrogenase family member 9	GO:0001676; GO:0003995; GO:0004466; GO:0005515; GO:0005634; GO:0005739; GO:0005743; GO:0030425; GO:0031966; GO:0032981; GO:0050660; GO:0051791; GO:0070991	long-chain fatty acid metabolic process; acyl-CoA dehydrogenase activity; long-chain fatty acyl-CoA dehydrogenase activity; protein binding; nucleus; mitochondrion; mitochondrial inner membrane; dendrite; mitochondrial membrane; mitochondrial respiratory chain complex I assembly; flavin adenine dinucleotide binding; medium-chain fatty acid metabolic process; medium-chain fatty acyl-CoA dehydrogenase activity	0.3887	0.00703	1	0.9545454545454546	1.0	1.0	0.625	0.625
