ID...1.WT	GeneID	geneSymbol	chr.WT	strand.WT	longExonStart_0base.WT	longExonEnd.WT	shortES.WT	shortEE.WT	flankingES.WT	flankingEE.WT	ID...12.WT	IJC_SAMPLE_1.WT	SJC_SAMPLE_1.WT	IJC_SAMPLE_2.WT	SJC_SAMPLE_2.WT	IncFormLen.WT	SkipFormLen.WT	PValue.WT	FDR.WT	IncLevel1.WT	IncLevel2.WT	IncLevelDifference.WT	across_short_boundary_count.WT	long_to_flanking_count.WT	exclusive_to_long_count.WT	short_to_flanking_count.WT	EventType	event_id	FDR_num.WT	dPSI_num.WT	mean_psi_ctrl.WT	mean_psi_case.WT	reads_cond1.WT	reads_cond2.WT	total_reads.WT	1stExonStart_0base.WT	1stExonEnd.WT	2ndExonStart_0base.WT	2ndExonEnd.WT	upstreamES.WT	upstreamEE.WT	downstreamES.WT	downstreamEE.WT	ID...14.WT	upstream_to_first_count.WT	first_to_downstream_count.WT	first_count.WT	upstream_to_second_count.WT	second_to_downstream_count.WT	second_count.WT	riExonStart_0base.WT	riExonEnd.WT	upstream_to_intron_count.WT	intron_to_downstream_count.WT	intron_count.WT	upstream_to_downstream_count.WT	exonStart_0base.WT	exonEnd.WT	upstream_to_target_count.WT	target_to_downstream_count.WT	target_count.WT	ID...1.UFM	chr.UFM	strand.UFM	longExonStart_0base.UFM	longExonEnd.UFM	shortES.UFM	shortEE.UFM	flankingES.UFM	flankingEE.UFM	ID...12.UFM	IJC_SAMPLE_1.UFM	SJC_SAMPLE_1.UFM	IJC_SAMPLE_2.UFM	SJC_SAMPLE_2.UFM	IncFormLen.UFM	SkipFormLen.UFM	PValue.UFM	FDR.UFM	IncLevel1.UFM	IncLevel2.UFM	IncLevelDifference.UFM	across_short_boundary_count.UFM	long_to_flanking_count.UFM	exclusive_to_long_count.UFM	short_to_flanking_count.UFM	FDR_num.UFM	dPSI_num.UFM	mean_psi_ctrl.UFM	mean_psi_case.UFM	reads_cond1.UFM	reads_cond2.UFM	total_reads.UFM	1stExonStart_0base.UFM	1stExonEnd.UFM	2ndExonStart_0base.UFM	2ndExonEnd.UFM	upstreamES.UFM	upstreamEE.UFM	downstreamES.UFM	downstreamEE.UFM	ID...14.UFM	upstream_to_first_count.UFM	first_to_downstream_count.UFM	first_count.UFM	upstream_to_second_count.UFM	second_to_downstream_count.UFM	second_count.UFM	riExonStart_0base.UFM	riExonEnd.UFM	upstream_to_intron_count.UFM	intron_to_downstream_count.UFM	intron_count.UFM	upstream_to_downstream_count.UFM	exonStart_0base.UFM	exonEnd.UFM	upstream_to_target_count.UFM	target_to_downstream_count.UFM	target_count.UFM
6	ENSG00000102125.17	TAFAZZIN	chrX	+	NA	NA	NA	NA	NA	NA	6	209,156,240	29,70,53	90,122,47	36,47,66	1141	149	0.00119439504899	0.00640772566964713	0.485,0.225,0.372	0.246,0.253,0.085	0.166	NA	NA	NA	NA	RI	chrX|+|154412085|154413567|154412085|154412214|154413206|154413567	0.00640772566964713	0.166	0.3606666666666667	0.19466666666666665	757	408	1165	NA	NA	NA	NA	154412085	154412214	154413206	154413567	NA	NA	NA	NA	NA	NA	NA	154412085	154413567	13,4,16,0,2,0	51,23,33,24,30,6	145,129,191,66,90,41	29,70,53,36,47,66	NA	NA	NA	NA	NA	6	chrX	+	NA	NA	NA	NA	NA	NA	6	231,194,197	49,24,30	88,94,96	5,14,10	1141	149	0.107785302884	0.23558286070085993	0.381,0.514,0.462	0.697,0.467,0.556	-0.121	NA	NA	NA	NA	0.23558286070085993	-0.121	0.45233333333333337	0.5733333333333334	725	307	1032	NA	NA	NA	NA	154412085	154412214	154413206	154413567	NA	NA	NA	NA	NA	NA	NA	154412085	154413567	9,22,11,4,1,1	9,42,41,25,16,11	213,130,145,59,77,84	49,24,30,5,14,10	NA	NA	NA	NA	NA
8	ENSG00000102125.17	TAFAZZIN	chrX	+	NA	NA	NA	NA	NA	NA	8	69,52,40	0,0,0	14,22,30	0,3,14	291	149	2.45636490037e-7	4.509709451817017e-6	1.0,1.0,1.0	1.0,0.79,0.523	0.229	NA	NA	NA	NA	RI	chrX|+|154413206|154413567|154413206|154413339|154413481|154413567	4.509709451817017e-6	0.229	1	0.771	161	83	244	NA	NA	NA	NA	154413206	154413339	154413481	154413567	NA	NA	NA	NA	NA	NA	NA	154413206	154413567	56,35,14,5,8,27	13,17,26,9,14,3	0,0,0,0,0,0	0,0,0,0,3,14	NA	NA	NA	NA	NA	8	chrX	+	NA	NA	NA	NA	NA	NA	8	47,25,45	5,4,0	9,8,21	6,2,0	291	149	0.235058954043	0.42568094223167585	0.828,0.762,1.0	0.434,0.672,1.0	0.161	NA	NA	NA	NA	0.42568094223167585	0.161	0.8633333333333333	0.702	126	46	172	NA	NA	NA	NA	154413206	154413339	154413481	154413567	NA	NA	NA	NA	NA	NA	NA	154413206	154413567	29,24,37,2,6,10	21,1,8,7,2,11	0,0,0,0,0,0	5,4,0,6,2,0	NA	NA	NA	NA	NA
10	ENSG00000102125.17	TAFAZZIN	chrX	+	NA	NA	NA	NA	NA	NA	10	62,52,38	0,0,0	14,20,30	9,3,3	272	149	8.11176348314e-9	2.191248179674647e-7	1.0,1.0,1.0	0.46,0.785,0.846	0.303	NA	NA	NA	NA	RI	chrX|+|154413206|154413567|154413206|154413358|154413481|154413567	2.191248179674647e-7	0.303	1	0.6970000000000001	152	79	231	NA	NA	NA	NA	154413206	154413358	154413481	154413567	NA	NA	NA	NA	NA	NA	NA	154413206	154413567	49,41,12,5,6,27	13,17,26,9,14,3	0,0,0,0,0,0	0,0,0,9,3,3	NA	NA	NA	NA	NA	10	chrX	+	NA	NA	NA	NA	NA	NA	10	47,24,38	0,5,0	9,8,21	0,0,0	272	149	0.163269122812	0.3248705873679302	1.0,0.724,1.0	1.0,1.0,1.0	-0.092	NA	NA	NA	NA	0.3248705873679302	-0.092	0.908	1	114	38	152	NA	NA	NA	NA	154413206	154413358	154413481	154413567	NA	NA	NA	NA	NA	NA	NA	154413206	154413567	29,23,30,2,6,11	21,1,8,7,2,11	0,0,0,0,0,0	0,5,0,0,0,0	NA	NA	NA	NA	NA
45	ENSG00000158290.19	CUL4B	chrX	-	NA	NA	NA	NA	NA	NA	45	104,61,72	8,13,3	42,43,79	12,13,23	599	149	0.00195503081732	0.00958121363821955	0.764,0.539,0.857	0.465,0.451,0.461	0.261	NA	NA	NA	NA	RI	chrX|-|120538123|120538770|120538123|120538209|120538659|120538770	0.00958121363821955	0.261	0.72	0.459	261	212	473	NA	NA	NA	NA	120538123	120538209	120538659	120538770	NA	NA	NA	NA	NA	NA	NA	120538123	120538770	32,43,46,16,22,41	25,6,1,8,1,6	47,12,25,18,20,32	8,13,3,12,13,23	NA	NA	NA	NA	NA	45	chrX	-	NA	NA	NA	NA	NA	NA	45	112,84,69	1,20,11	50,93,59	2,7,32	599	149	0.623041822303	0.844757423638935	0.965,0.511,0.609	0.861,0.768,0.314	0.047	NA	NA	NA	NA	0.844757423638935	0.047	0.695	0.6476666666666666	297	243	540	NA	NA	NA	NA	120538123	120538209	120538659	120538770	NA	NA	NA	NA	NA	NA	NA	120538123	120538770	56,10,15,28,16,21	12,39,31,0,18,11	44,35,23,22,59,27	1,20,11,2,7,32	NA	NA	NA	NA	NA
54	ENSG00000102384.14	CENPI	chrX	+	NA	NA	NA	NA	NA	NA	54	131,104,95	0,1,3	43,36,52	12,4,5	344	149	1.7521671225e-8	4.164453021383721e-7	1.0,0.978,0.932	0.608,0.796,0.818	0.229	NA	NA	NA	NA	RI	chrX|+|101098203|101098539|101098203|101098248|101098443|101098539	4.164453021383721e-7	0.229	0.97	0.7406666666666667	334	152	486	NA	NA	NA	NA	101098203	101098248	101098443	101098539	NA	NA	NA	NA	NA	NA	NA	101098203	101098539	48,24,18,8,8,20	75,57,39,24,28,24	8,23,38,11,0,8	0,1,3,12,4,5	NA	NA	NA	NA	NA	54	chrX	+	NA	NA	NA	NA	NA	NA	54	44,65,63	7,7,2	45,16,74	6,7,0	344	149	0.855492911154	1	0.731,0.801,0.932	0.765,0.497,1.0	0.067	NA	NA	NA	NA	1	0.067	0.8213333333333334	0.754	188	148	336	NA	NA	NA	NA	101098203	101098248	101098443	101098539	NA	NA	NA	NA	NA	NA	NA	101098203	101098539	10,21,6,8,5,17	18,16,53,21,8,38	16,28,4,16,3,19	7,7,2,6,7,0	NA	NA	NA	NA	NA
118	ENSG00000102312.24	PORCN	chrX	+	NA	NA	NA	NA	NA	NA	118	231,147,192	0,0,0	150,163,105	3,0,4	1536	149	7.63332979749e-4	0.00448348451323837	1.0,1.0,1.0	0.829,1.0,0.718	0.151	NA	NA	NA	NA	RI	chrX|+|48512834|48514365|48512834|48512852|48514239|48514365	0.00448348451323837	0.151	1	0.849	570	425	995	NA	NA	NA	NA	48512834	48512852	48514239	48514365	NA	NA	NA	NA	NA	NA	NA	48512834	48514365	21,13,9,22,12,7	41,16,27,8,18,16	169,118,156,120,133,82	0,0,0,3,0,4	NA	NA	NA	NA	NA	118	chrX	+	NA	NA	NA	NA	NA	NA	118	317,208,297	0,2,2	141,122,88	0,8,2	1536	149	0.00333926410635	0.01457067625595928	1.0,0.91,0.935	1.0,0.597,0.81	0.146	NA	NA	NA	NA	0.01457067625595928	0.146	0.9483333333333334	0.8023333333333333	826	361	1187	NA	NA	NA	NA	48512834	48512852	48514239	48514365	NA	NA	NA	NA	NA	NA	NA	48512834	48514365	5,44,1,3,13,7	19,6,14,8,8,8	293,158,282,130,101,73	0,2,2,0,8,2	NA	NA	NA	NA	NA
119	ENSG00000102312.24	PORCN	chrX	+	NA	NA	NA	NA	NA	NA	119	33,35,42	15,27,8	22,16,16	27,15,34	308	149	0.00100853288907	0.00564510875069223	0.516,0.385,0.717	0.283,0.34,0.185	0.27	NA	NA	NA	NA	RI	chrX|+|48514239|48514625|48514239|48514365|48514524|48514625	0.00564510875069223	0.27	0.5393333333333333	0.2693333333333333	160	130	290	NA	NA	NA	NA	48514239	48514365	48514524	48514625	NA	NA	NA	NA	NA	NA	NA	48514239	48514625	7,10,22,0,5,1	26,25,20,22,11,15	0,0,0,0,0,0	15,27,8,27,15,34	NA	NA	NA	NA	NA	119	chrX	+	NA	NA	NA	NA	NA	NA	119	65,19,16	3,21,31	31,36,27	30,11,33	308	149	0.567179656529	0.798023773693851	0.913,0.304,0.2	0.333,0.613,0.284	0.062	NA	NA	NA	NA	0.798023773693851	0.062	0.4723333333333333	0.41	155	168	323	NA	NA	NA	NA	48514239	48514365	48514524	48514625	NA	NA	NA	NA	NA	NA	NA	48514239	48514625	46,0,5,0,9,6	19,19,11,31,27,21	0,0,0,0,0,0	3,21,31,30,11,33	NA	NA	NA	NA	NA
168	ENSG00000100417.12	PMM1	chr22	-	NA	NA	NA	NA	NA	NA	168	153,168,220	17,8,14	94,98,130	20,31,32	371	149	1.49583462283e-8	3.668983162877424e-7	0.783,0.894,0.863	0.654,0.559,0.62	0.236	NA	NA	NA	NA	RI	chr22|-|41583958|41584372|41583958|41584058|41584280|41584372	3.668983162877424e-7	0.236	0.8466666666666667	0.611	580	405	985	NA	NA	NA	NA	41583958	41584058	41584280	41584372	NA	NA	NA	NA	NA	NA	NA	41583958	41584372	49,96,86,33,28,55	23,45,67,41,26,25	81,27,67,20,44,50	17,8,14,20,31,32	NA	NA	NA	NA	NA	168	chr22	-	NA	NA	NA	NA	NA	NA	168	166,192,210	26,14,36	116,146,115	23,11,36	371	149	0.326090795803	0.5427955666632627	0.719,0.846,0.701	0.669,0.842,0.562	0.064	NA	NA	NA	NA	0.5427955666632627	0.064	0.7553333333333333	0.6910000000000001	644	447	1091	NA	NA	NA	NA	41583958	41584058	41584280	41584372	NA	NA	NA	NA	NA	NA	NA	41583958	41584372	56,113,87,24,30,38	41,44,67,33,61,24	69,35,56,59,55,53	26,14,36,23,11,36	NA	NA	NA	NA	NA
173	ENSG00000100359.21	SGSM3	chr22	+	NA	NA	NA	NA	NA	NA	173	59,49,67	142,180,180	26,15,18	157,176,196	278	149	4.33009184064e-11	1.8965802262003203e-9	0.182,0.127,0.166	0.082,0.044,0.047	0.101	NA	NA	NA	NA	RI	chr22|+|40407016|40407328|40407016|40407071|40407200|40407328	1.8965802262003203e-9	0.101	0.15833333333333333	0.057666666666666665	677	588	1265	NA	NA	NA	NA	40407016	40407071	40407200	40407328	NA	NA	NA	NA	NA	NA	NA	40407016	40407328	47,19,26,6,6,18	14,30,47,23,9,2	0,0,0,0,0,0	142,180,180,157,176,196	NA	NA	NA	NA	NA	173	chr22	+	NA	NA	NA	NA	NA	NA	173	32,52,40	181,256,305	2,14,37	99,185,193	278	149	0.0161439643116	0.05241580670846903	0.087,0.098,0.066	0.011,0.039,0.093	0.036	NA	NA	NA	NA	0.05241580670846903	0.036	0.08366666666666667	0.04766666666666667	866	530	1396	NA	NA	NA	NA	40407016	40407071	40407200	40407328	NA	NA	NA	NA	NA	NA	NA	40407016	40407328	5,33,11,2,11,16	27,20,29,0,3,21	0,0,0,0,0,0	181,256,305,99,185,193	NA	NA	NA	NA	NA
215	ENSG00000161179.14	YDJC	chr22	-	NA	NA	NA	NA	NA	NA	215	230,175,138	5,6,14	55,52,86	11,13,24	269	149	8.32399149608e-10	2.8837692572860202e-8	0.962,0.942,0.845	0.735,0.689,0.665	0.22	NA	NA	NA	NA	RI	chr22|-|21629009|21629407|21629009|21629187|21629307|21629407	2.8837692572860202e-8	0.22	0.9163333333333333	0.6963333333333334	568	241	809	NA	NA	NA	NA	21629009	21629187	21629307	21629407	NA	NA	NA	NA	NA	NA	NA	21629009	21629407	87,64,65,25,22,53	144,99,81,31,36,33	0,14,0,0,0,0	5,6,14,11,13,24	NA	NA	NA	NA	NA	215	chr22	-	NA	NA	NA	NA	NA	NA	215	83,151,209	2,7,35	39,117,77	1,13,25	269	149	0.188456859065	0.36223065043781866	0.958,0.923,0.768	0.956,0.833,0.63	0.077	NA	NA	NA	NA	0.36223065043781866	0.077	0.883	0.8063333333333333	487	272	759	NA	NA	NA	NA	21629009	21629187	21629307	21629407	NA	NA	NA	NA	NA	NA	NA	21629009	21629407	46,30,115,15,73,42	44,121,84,28,50,39	0,0,10,0,0,0	2,7,35,1,13,25	NA	NA	NA	NA	NA
