number	bait	prey	IPTM	PTM	IPTMavg	PTMavg	RATIO	PEAK	PEAKavg	scaled_PEAK	scaled_PEAKavg	max_scaled_PEAK	mean_top3_scaled_PEAK
336	HsUFM1	Q92618	0.822:0.719:0.402:0.369:0.316	0.226:0.223:0.215:0.21:0.2	0.5256	0.2148	2.44693	2.88:5.02:13.51:14.55:16.27	10.446	0.904:0.833:0.55:0.515:0.458	0.652	0.904	0.7623333333333333
56	HsUFM1	Q16799	0.727:0.675:0.651:0.266:0.199	0.216:0.203:0.199:0.209:0.214	0.5036	0.2082	2.41883	3.08:4.8:5.55:16.83:19.11	9.874	0.897:0.84:0.815:0.439:0.363	0.671	0.897	0.8506666666666667
141	HsUFM1	Q9HAZ2	0.676:0.634:0.553:0.438:0.339	0.223:0.221:0.219:0.219:0.225	0.528	0.2214	2.38482	6.93:8.39:11.47:14.59:14.43	11.162	0.769:0.72:0.618:0.514:0.519	0.628	0.769	0.7023333333333334
265	HsUFM1	Q9P2Y4	0.816:0.689:0.407:0.398:0.303	0.268:0.253:0.222:0.226:0.22	0.5226	0.2378	2.19765	2.75:5.58:11.38:12.7:13.05	9.092	0.908:0.814:0.621:0.577:0.565	0.697	0.908	0.781
24	HsUFM1	O95197	0.686:0.645:0.422:0.415:0.334	0.242:0.252:0.242:0.232:0.236	0.5004	0.2408	2.07807	5.56:5.1:10.45:8.52:15.08	8.942	0.815:0.83:0.652:0.716:0.497	0.702	0.83	0.7869999999999999
682	HsUFM1	Q96HY6	0.827:0.718:0.706:0.646:0.599	0.36:0.343:0.357:0.335:0.299	0.6992	0.3388	2.06375	1.47:3.1:2.95:4.86:5.29	3.534	0.951:0.897:0.902:0.838:0.824	0.882	0.951	0.9166666666666666
373	HsUFM1	O15090	0.612:0.485:0.403:0.341:0.341	0.219:0.209:0.211:0.212:0.207	0.4364	0.2116	2.06238	8.49:10.73:14.45:15.62:15.16	12.89	0.717:0.642:0.518:0.479:0.495	0.57	0.717	0.6256666666666667
267	HsUFM1	Q7Z570	0.834:0.34:0.316:0.255:0.249	0.238:0.196:0.197:0.195:0.2	0.3988	0.2052	1.94347	2.62:17:11.56:18.66:18.66	13.7	0.913:0.433:0.615:0.378:0.378	0.543	0.913	0.6536666666666666
694	HsUFM1	Q03112	0.698:0.423:0.415:0.411:0.293	0.251:0.237:0.232:0.237:0.233	0.448	0.238	1.88235	6.07:13.36:12.19:14.62:18.11	12.87	0.798:0.555:0.594:0.513:0.396	0.571	0.798	0.649
425	HsUFM1	A4D1E1	0.632:0.377:0.371:0.272:0.234	0.212:0.202:0.201:0.201:0.2	0.3772	0.2032	1.8563	7.6:12.52:15.91:16.97:19.73	14.546	0.747:0.583:0.47:0.434:0.342	0.515	0.747	0.6
143	HsUFM1	Q13029	0.543:0.519:0.458:0.413:0.386	0.255:0.246:0.251:0.25:0.259	0.4638	0.2522	1.83902	9.66:9.83:10.38:12.2:15.09	11.432	0.678:0.672:0.654:0.593:0.497	0.619	0.678	0.668
716	HsUFM1	Q9H165	0.834:0.313:0.272:0.27:0.254	0.251:0.22:0.2:0.202:0.207	0.3886	0.216	1.79907	2.66:13.45:15.08:16.12:18.72	13.206	0.911:0.552:0.497:0.463:0.376	0.56	0.911	0.6533333333333333
464	HsUFM1	Q6ZN04	0.584:0.564:0.488:0.439:0.278	0.344:0.25:0.244:0.241:0.229	0.4706	0.2616	1.79893	2.8:8.38:10.78:12.55:11.73	9.248	0.907:0.721:0.641:0.582:0.609	0.692	0.907	0.7563333333333333
702	HsUFM1	Q86XN8	0.71:0.443:0.338:0.326:0.262	0.257:0.235:0.227:0.222:0.218	0.4158	0.2318	1.79379	3.43:12.08:11.43:14.66:13.41	11.002	0.886:0.597:0.619:0.511:0.553	0.633	0.886	0.7006666666666667
180	HsUFM1	Q9ULD2	0.487:0.48:0.356:0.335:0.309	0.227:0.231:0.226:0.214:0.222	0.3934	0.224	1.75625	9.96:9.89:14.54:16.69:17.41	13.698	0.668:0.67:0.515:0.444:0.42	0.543	0.67	0.6176666666666667
234	HsUFM1	Q2TB10	0.437:0.397:0.392:0.384:0.362	0.24:0.229:0.22:0.224:0.229	0.3944	0.2284	1.7268	8.77:10.1:9.66:9.53:9.4	9.492	0.708:0.663:0.678:0.682:0.687	0.684	0.708	0.6923333333333334
120	HsUFM1	O75362	0.418:0.352:0.343:0.342:0.318	0.214:0.205:0.205:0.204:0.208	0.3546	0.2072	1.71139	12.2:13.47:13.63:13.98:13.91	13.438	0.593:0.551:0.546:0.534:0.536	0.552	0.593	0.5633333333333334
138	HsUFM1	Q56UN5	0.775:0.723:0.425:0.412:0.361	0.32:0.331:0.317:0.317:0.32	0.5392	0.321	1.67975	3.72:5.93:12.33:12.62:12.82	9.484	0.876:0.802:0.589:0.579:0.573	0.684	0.876	0.7556666666666667
364	HsUFM1	Q8N3Z6	0.674:0.615:0.297:0.264:0.25	0.242:0.266:0.256:0.262:0.249	0.42	0.255	1.64706	3.48:5.76:12.23:15.52:16.95	10.788	0.884:0.808:0.592:0.483:0.435	0.64	0.884	0.7613333333333333
105	HsUFM1	P37275	0.424:0.388:0.35:0.273:0.255	0.212:0.208:0.206:0.204:0.203	0.338	0.2066	1.63601	9.91:10.67:10.56:18.14:19.03	13.662	0.67:0.644:0.648:0.395:0.366	0.545	0.67	0.654
369	HsUFM1	Q8IX07	0.433:0.409:0.34:0.304:0.299	0.222:0.219:0.219:0.217:0.217	0.357	0.2188	1.63163	11.69:12.62:14.31:16.95:14.83	14.08	0.61:0.579:0.523:0.435:0.506	0.531	0.61	0.5706666666666667
412	HsUFM1	Q9C0K0	0.372:0.365:0.365:0.301:0.292	0.204:0.224:0.204:0.204:0.209	0.339	0.209	1.62201	12.66:12.67:15.7:14.28:15.66	14.194	0.578:0.578:0.477:0.524:0.478	0.527	0.578	0.5599999999999999
